mode,development,scenario,score_id,value_mode,value
Rail,100000,scenario_21,rail_accident_cost,standalone,
Rail,100000,scenario_21,rail_airpollution_cost,integrated,90694.75013109244
Rail,100000,scenario_21,rail_airpollution_cost,standalone,
Rail,100000,scenario_21,rail_co2_cost,integrated,2667.492650914484
Rail,100000,scenario_21,rail_co2_cost,standalone,
Rail,100000,scenario_21,rail_construction_cost,integrated,0.0
Rail,100000,scenario_21,rail_construction_cost,standalone,0.0
Rail,100000,scenario_21,rail_land_consumption_cost,integrated,0.0
Rail,100000,scenario_21,rail_land_consumption_cost,standalone,
Rail,100000,scenario_21,rail_maint_cost,integrated,0.0
Rail,100000,scenario_21,rail_maint_cost,standalone,0.0
Rail,100000,scenario_21,rail_noise_cost,integrated,20984.134265546712
Rail,100000,scenario_21,rail_noise_cost,standalone,
Rail,100000,scenario_21,rail_operation_cost,integrated,1194824.4643038511
Rail,100000,scenario_21,rail_operation_cost,standalone,1132535.0372548352
Rail,100000,scenario_21,rail_tts_cost,integrated,6679048.930033874
Rail,100000,scenario_21,rail_tts_cost,standalone,5695934.313301338
Rail,100000,scenario_22,rail_accident_cost,integrated,19947.815413067572
Rail,100000,scenario_22,rail_accident_cost,standalone,
Rail,100000,scenario_22,rail_airpollution_cost,integrated,90694.75013109244
Rail,100000,scenario_22,rail_airpollution_cost,standalone,
Rail,100000,scenario_22,rail_co2_cost,integrated,2667.492650914484
Rail,100000,scenario_22,rail_co2_cost,standalone,
Rail,100000,scenario_22,rail_construction_cost,integrated,0.0
Rail,100000,scenario_22,rail_construction_cost,standalone,0.0
Rail,100000,scenario_22,rail_land_consumption_cost,integrated,0.0
Rail,100000,scenario_22,rail_land_consumption_cost,standalone,
Rail,100000,scenario_22,rail_maint_cost,integrated,0.0
Rail,100000,scenario_22,rail_maint_cost,standalone,0.0
Rail,100000,scenario_22,rail_noise_cost,integrated,20984.134265546712
Rail,100000,scenario_22,rail_noise_cost,standalone,
Rail,100000,scenario_22,rail_operation_cost,integrated,1194824.4643038511
Rail,100000,scenario_22,rail_operation_cost,standalone,1132535.0372548352
Rail,100000,scenario_22,rail_tts_cost,integrated,5448634.240398279
Rail,100000,scenario_22,rail_tts_cost,standalone,6369695.7959526125
Rail,100000,scenario_23,rail_accident_cost,integrated,19947.815413067572
Rail,100000,scenario_23,rail_accident_cost,standalone,
Rail,100000,scenario_23,rail_airpollution_cost,integrated,90694.75013109244
Rail,100000,scenario_23,rail_airpollution_cost,standalone,
Rail,100000,scenario_23,rail_co2_cost,integrated,2667.492650914484
Rail,100000,scenario_23,rail_co2_cost,standalone,
Rail,100000,scenario_23,rail_construction_cost,integrated,0.0
Rail,100000,scenario_23,rail_construction_cost,standalone,0.0
Rail,100000,scenario_23,rail_land_consumption_cost,integrated,0.0
Rail,100000,scenario_23,rail_land_consumption_cost,standalone,
Rail,100000,scenario_23,rail_maint_cost,integrated,0.0
Rail,100000,scenario_23,rail_maint_cost,standalone,0.0
Rail,100000,scenario_23,rail_noise_cost,integrated,20984.134265546712
Rail,100000,scenario_23,rail_noise_cost,standalone,
Rail,100000,scenario_23,rail_operation_cost,integrated,1194824.4643038511
Rail,100000,scenario_23,rail_operation_cost,standalone,1132535.0372548352
Rail,100000,scenario_23,rail_tts_cost,integrated,3712781.303173833
Rail,100000,scenario_23,rail_tts_cost,standalone,2580708.880320435
Rail,100000,scenario_24,rail_accident_cost,integrated,19947.815413067572
Rail,100000,scenario_24,rail_accident_cost,standalone,
Rail,100000,scenario_24,rail_airpollution_cost,integrated,90694.75013109244
Rail,100000,scenario_24,rail_airpollution_cost,standalone,
Rail,100000,scenario_24,rail_co2_cost,integrated,2667.492650914484
Rail,100000,scenario_24,rail_co2_cost,standalone,
Rail,100000,scenario_24,rail_construction_cost,integrated,0.0
Rail,100000,scenario_24,rail_construction_cost,standalone,0.0
Rail,100000,scenario_24,rail_land_consumption_cost,integrated,0.0
Rail,100000,scenario_24,rail_land_consumption_cost,standalone,
Rail,100000,scenario_24,rail_maint_cost,integrated,0.0
Rail,100000,scenario_24,rail_maint_cost,standalone,0.0
