mode,development,rail_accident_cost,rail_airpollution_cost,rail_co2_cost,rail_land_consumption_cost,rail_noise_cost,road_accident_cost,road_airpollution_cost,road_co2_cost,road_land_consumption_cost,road_noise_cost,total_externalities_chf,noise_externality_chf,new_link_km,surface_route_km,settlement_exposed_km,road_noise_relevant_share,development_label,total_externalities_mio_chf,noise_externality_mio_chf,externality_per_new_link_km,externality_per_surface_route_km,noise_per_settlement_exposed_km
Road,144,,,,,,343910.5215666932,75863.21421125255,85763.73035160397,123871.14936821614,24417.735696815656,653826.3511945815,24417.735696815656,3.785793073600738,3.785793073600738,2.6438531393428475,0.698361766727052,144,0.6538263511945814,0.024417735696815657,0.17270525316184676,0.17270525316184676,0.009235662652156577
Road,15,,,,,,-37882.64182873521,-8356.531108293446,-9447.098809322075,62885.75043230296,-4777.589481615034,2421.889204337189,-4777.589481615034,2.0719361379065697,1.9219361379065698,0.20717053591658913,0.107792622153536,15,0.0024218892043371886,-0.004777589481615034,0.0011689014733746584,0.0012601299057601273,-0.023061143615222313
Road,150,,,,,,371373.4470591446,81921.26032746444,92612.38076762223,71250.76586897523,12106.194802730974,629264.0488259374,12106.194802730974,3.10259064391735,2.1775906439173354,0.06767428503658275,0.0310775972635708,150,0.6292640488259374,0.012106194802730974,0.2028189087914688,0.2889726085954956,0.1788891422522856
Road,152,,,,,,-1222737.7002453883,-269723.6817743055,-304923.92595859995,264773.9184604759,-63251.101569160746,-1595862.4910869787,-63251.101569160746,12.792112422386184,8.092112422386185,0.8844128843269599,0.10929320283295892,152,-1.5958624910869788,-0.06325110156916075,-0.12475363242541716,-0.1972121008442928,-0.07151761659068884
Road,17,,,,,,688128.3775211906,151794.22330819297,171604.10314916554,388971.1759297055,11021.971163348167,1411519.8510716027,11021.971163348167,16.737872124991,11.887872124990999,1.2250962805476526,0.10305429497110949,17,1.4115198510716027,0.011021971163348167,0.08433090183333933,0.11873612335585848,0.00899682036290326
Road,176,,,,,,105945.77455328233,23370.576023955895,26420.549157050023,374836.9540934361,1988.6658405522176,532562.5196682767,1988.6658405522176,12.505897129994992,11.455897129994991,2.4318833129024156,0.2122822233219092,176,0.5325625196682766,0.0019886658405522174,0.042584911272854034,0.046488067553772584,0.0008177472290719308
Road,177,,,,,,3498.3867336095004,771.709050821098,872.420812018481,66728.46462637949,-472.2891513819074,71398.69207144665,-472.2891513819074,2.0393785032512066,2.0393785032512066,0.9698927221266774,0.4755824975993718,177,0.07139869207144665,-0.0004722891513819074,0.03501002484709034,0.03501002484709034,-0.0004869498869383431
Road,189,,,,,,-7640996.1254104255,-1685527.163311718,-1905496.6051402614,0.0,-414484.57061833324,-11646504.464480737,-414484.57061833324,,,,,189,-11.646504464480737,-0.4144845706183332,,,
Road,195,,,,,,387237.5080059292,85420.71317462862,96568.52912598991,113111.99524308808,11603.239448254473,693941.9849978903,11603.239448254473,3.9569680697766514,3.45696806977653,0.13509679132746294,0.03907956006553339,195,0.6939419849978903,0.011603239448254473,0.1753721467449343,0.2007371693898084,0.0858883422340448
Road,197,,,,,,81682.81328896212,18018.409944798892,20369.899534802185,93658.05307921988,1995.7501270179375,215724.925974801,1995.7501270179375,2.8624099351839822,2.8624099351839822,0.23735826287759468,0.0829225262112355,197,0.215724925974801,0.0019957501270179375,0.0753647908090199,0.0753647908090199,0.008408176327306302
Road,2,,,,,,526423.8184114518,116123.81825401296,131278.53782207155,162109.1619476834,23338.61955769515,959273.9559929149,23338.61955769515,4.9544364898436255,4.9544364898436255,1.1070998609989025,0.22345626253730527,2,0.9592739559929149,0.023338619557695152,0.19361918514030482,0.19361918514030482,0.021080862151529337
Road,201,,,,,,586705.9613896916,129421.45481668117,146311.58023045858,286300.00000000326,25974.113489585958,1174713.1099264205,25974.113489585958,9.009839317135294,8.750000000000098,1.9554993073929887,0.22348563513062478,201,1.1747131099264205,0.02597411348958596,0.13038113872822366,0.13425292684873227,0.013282599176275774
Road,202,,,,,,232616.1741381702,51312.79661713931,58009.364596712265,98965.30695219243,4734.672808235173,445638.3151124494,4734.672808235173,3.1246120706660285,3.0246120706660284,0.04361153652659236,0.014418885962122398,202,0.4456383151124494,0.004734672808235173,0.1426219655540981,0.1473373459804776,0.10856468689994864
Road,206,,,,,,74346.28594623253,16400.0455434054,18540.330756642514,71740.14028752226,10236.469666487663,191263.27220029035,10236.469666487663,2.1925470748020244,2.1925470748020244,1.5015003197067638,0.6848201057860258,206,0.19126327220029035,0.010236469666487663,0.0872333709038199,0.0872333709038199,0.006817494163762016
Road,209,,,,,,224008.68281490047,49414.07029988683,55862.845317541236,180304.64149864088,8996.133847672269,518586.37377864163,8996.133847672269,5.660533053136946,5.510533053136946,1.5112726234365093,0.274251621188661,209,0.5185863737786416,0.008996133847672269,0.09161440608340801,0.09410820491920091,0.005952687627739727
