ID_edge,flow,fftt_min,tt_min,delay_min
101,0.0,1.590538838197104,1.590538838197104,0.0
97,3905.1376174164097,0.8437238519548999,1.5699505080886431,0.7262266561337433
49,0.0,1.5433899496968133,1.5433899496968133,0.0
140,0.0,1.5401783750842923,1.5401783750842923,0.0
46,0.0,1.5355467695019904,1.5355467695019904,0.0
56,0.0,1.5018671828933277,1.5018671828933277,0.0
82,3905.140133076123,1.0220705209046181,1.498228262588677,0.4761577416840588
111,0.0,1.4907610990171607,1.4907610990171607,0.0
73,490.6417179691164,1.4805206751711264,1.4858086015377125,0.005287926366586149
117,0.0,1.4502098639931031,1.4502098639931031,0.0
141,0.0,1.4486529138200617,1.4486529138200617,0.0
106,0.0,1.4314192897238494,1.4314192897238494,0.0
153,0.0,1.4226558528308306,1.4226558528308306,0.0
152,0.0,1.4078696995688382,1.4078696995688382,0.0
89,1548.832668281288,1.2841633437636373,1.3973981902289483,0.11323484646531101
127,3905.138062096166,0.7479641449472775,1.3917667908991918,0.6438026459519143
75,0.0,1.3429650884681896,1.3429650884681896,0.0
136,0.0,1.3403412173443716,1.3403412173443716,0.0
15,0.0,1.3387624086365708,1.3387624086365708,0.0
167,0.0,1.3244868978907098,1.3244868978907098,0.0
47,0.0,1.311281049499133,1.311281049499133,0.0
37,0.0,1.252500041642843,1.252500041642843,0.0
33,3905.138526455859,0.6853202979649226,1.2414423121080125,0.5561220141430899
105,0.0,1.2166106929245653,1.2166106929245653,0.0
27,0.0,1.1701261748180594,1.1701261748180594,0.0
173,0.0,1.1465650101025842,1.1465650101025842,0.0
107,0.0,1.099201062247676,1.099201062247676,0.0
2,0.0,1.0890433954617267,1.0890433954617267,0.0
18,0.0,1.0756966208176637,1.0756966208176637,0.0
57,0.0,0.9742570383225386,0.9742570383225386,0.0
93,3905.139359243194,0.6694384427558976,0.9697045779973017,0.3002661352414041
90,1789.3503893379543,0.8454624441598385,0.9508798410732642,0.10541739691342566
123,0.0,0.8448804195176677,0.8448804195176677,0.0
14,0.0,0.815997172843155,0.815997172843155,0.0
87,1096.5525499096805,0.4764919716641499,0.7938286023490517,0.3173366306849018
100,0.0,0.7827488777687761,0.7827488777687761,0.0
85,891.4646057580233,0.5462019452868451,0.7675099052830834,0.2213079599962383
113,0.0,0.7564568073130633,0.7564568073130633,0.0
31,3905.138526455859,0.4740792737259113,0.7500335729257537,0.2759542991998424
78,794.2161404178245,0.7140043226845667,0.7266780035804443,0.012673680895877615
77,967.2127769400072,0.6528186691519334,0.6714135950342734,0.01859492588234002
74,232.30715110300463,0.6018588930733618,0.6043214023679007,0.0024625092945388394
24,0.0,0.5924495010145723,0.5924495010145723,0.0
58,0.0,0.5885920679869212,0.5885920679869212,0.0
156,0.0,0.5300646956815545,0.5300646956815545,0.0
115,0.0,0.5090704497605549,0.5090704497605549,0.0
3,0.0,0.45872538006118774,0.45872538006118774,0.0
76,1094.3223827825343,0.4180467035934558,0.43406153999367697,0.016014836400221166
79,761.102887559278,0.39791898264356873,0.4042958556856565,0.006376873042087783
53,0.0,0.3810770967116238,0.3810770967116238,0.0
172,0.0,0.3716398528147537,0.3716398528147537,0.0
81,3905.140138280984,0.2019683024823575,0.36586120156166524,0.16389289907930774
150,0.0,0.348467199437671,0.348467199437671,0.0
48,0.0,0.33373868927271527,0.33373868927271527,0.0
41,0.0,0.27702382535064474,0.27702382535064474,0.0
99,2.948587056901015,0.2559538052619277,0.25595392077443824,1.1551251055674783e-07
22,0.0,0.2342799536342425,0.2342799536342425,0.0
80,55.45578584998055,0.22914234102299946,0.22914917898755338,6.837964553918496e-06
39,0.0,0.21453018769706358,0.21453018769706358,0.0
