mode,development,scenario,score_id,standalone_value,integrated_value
Rail,100000,scenario_43,rail_construction_cost,0.0,0.0
Rail,100000,scenario_43,rail_land_consumption_cost,,0.0
Rail,100000,scenario_43,rail_maint_cost,0.0,0.0
Rail,100000,scenario_43,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_43,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_43,rail_tts_cost,6328124.262423034,5730875.114427988
Rail,100000,scenario_44,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_44,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_44,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_44,rail_construction_cost,0.0,0.0
Rail,100000,scenario_44,rail_land_consumption_cost,,0.0
Rail,100000,scenario_44,rail_maint_cost,0.0,0.0
Rail,100000,scenario_44,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_44,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_44,rail_tts_cost,5420276.653472314,6723716.2024530005
Rail,100000,scenario_45,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_45,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_45,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_45,rail_construction_cost,0.0,0.0
Rail,100000,scenario_45,rail_land_consumption_cost,,0.0
Rail,100000,scenario_45,rail_maint_cost,0.0,0.0
Rail,100000,scenario_45,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_45,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_45,rail_tts_cost,3624067.1807735465,5640891.473905834
Rail,100000,scenario_46,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_46,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_46,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_46,rail_construction_cost,0.0,0.0
Rail,100000,scenario_46,rail_land_consumption_cost,,0.0
Rail,100000,scenario_46,rail_maint_cost,0.0,0.0
Rail,100000,scenario_46,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_46,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_46,rail_tts_cost,5906222.571079247,6299158.292271731
Rail,100000,scenario_47,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_47,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_47,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_47,rail_construction_cost,0.0,0.0
Rail,100000,scenario_47,rail_land_consumption_cost,,0.0
Rail,100000,scenario_47,rail_maint_cost,0.0,0.0
Rail,100000,scenario_47,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_47,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_47,rail_tts_cost,3492063.042122837,4071030.679512335
Rail,100000,scenario_48,rail_accident_cost,,19947.815413067572
