development,n_scenarios,mean_tts,median_tts,std_tts,min_tts,max_tts,pos,neg,mean_network,mean_access,pos_share,range_tts,cv_abs,mean_mmin,median_mmin,min_mmin,max_mmin,range_mmin
202,10,-5737.46658685194,-4830.9032594381715,2886.2633389886873,-10565.052017883749,-2011.957322075672,0,10,-7124.213983290666,1386.747396438704,0.0,8553.094695808077,0.5030553634251901,-0.0057374665868519395,-0.004830903259438172,-0.010565052017883748,-0.002011957322075672,0.008553094695808077
206,10,627.3043791805801,496.2584442063817,425.4410245503512,72.45017436443595,1336.910960403853,10,0,136.10455864769173,491.1998205328491,1.0,1264.4607860394171,0.6782050925677993,0.0006273043791805801,0.0004962584442063817,7.245017436443595e-05,0.0013369109604038532,0.0012644607860394172
209,10,763.5011489081081,264.47384302847786,1601.5118887460453,-1307.9865023995517,3446.146066579852,5,5,996.057827556401,-232.5566786482832,0.5,4754.132568979403,2.097589363207097,0.0007635011489081082,0.00026447384302847785,-0.0013079865023995518,0.0034461460665798516,0.004754132568979403
227,10,229.3108555729501,217.91994976747083,47.82272036297351,157.99730836437084,304.8679973728722,10,0,-360.9006631705153,590.211518743468,1.0,146.87068900850136,0.20854974459663028,0.0002293108555729501,0.00021791994976747082,0.00015799730836437085,0.0003048679973728722,0.00014687068900850136
233,10,-581.4745413935743,-527.92314574786,161.85840207388375,-855.6058723294409,-379.43252816319,0,10,-830.958608615247,249.48406722165927,0.0,476.1733441662509,0.27835853601770844,-0.0005814745413935743,-0.00052792314574786,-0.000855605872329441,-0.00037943252816319,0.0004761733441662509
240,10,3.226308043382596,-5.539111367077567,39.99578420181667,-58.15464189462364,65.47090845438652,5,5,-435.7476495282375,438.9739575716001,0.5,123.62555034901015,12.396765486746089,3.2263080433825963e-06,-5.5391113670775665e-06,-5.8154641894623635e-05,6.547090845438651e-05,0.00012362555034901016
243,10,-7936.761982105474,-7150.649870837631,2503.2744400603233,-12129.900510802863,-4709.087417503004,0,10,-10225.298138365226,2288.5361562597313,0.0,7420.813093299859,0.31540248349444033,-0.007936761982105474,-0.007150649870837631,-0.012129900510802863,-0.004709087417503004,0.007420813093299859
245,10,-8949.806724479544,-7590.84221245721,4325.789371668383,-16195.501192823634,-3374.869880831975,0,10,-7982.955051701947,-966.8516727776271,0.0,12820.63131199166,0.48333885913273056,-0.008949806724479543,-0.00759084221245721,-0.016195501192823633,-0.003374869880831975,0.012820631311991659
249,10,-21602.979891996645,-18794.042964720633,8952.199187414364,-36576.631776181865,-10042.555330225849,0,10,-23372.744568890997,1769.7646768943505,0.0,26534.076445956016,0.4143964967875069,-0.021602979891996645,-0.018794042964720634,-0.03657663177618187,-0.010042555330225848,0.026534076445956015
250,10,688.8521086893161,625.6060565657099,212.2337380448949,406.0540729018394,1040.468929947354,10,0,-1229.715556868806,1918.5676655581235,1.0,634.4148570455145,0.30809768216970923,0.0006888521086893161,0.0006256060565657099,0.0004060540729018394,0.0010404689299473538,0.0006344148570455146
254,10,78117.4868595756,66925.04671033047,35702.00783017279,32011.51096652268,137852.73920042522,10,0,73011.55752544894,5105.92933412667,1.0,105841.22823390254,0.45702965194401235,0.07811748685957559,0.06692504671033046,0.03201151096652268,0.1378527392004252,0.10584122823390255
