development,scenario,total_mmin,top_edge,top_delta_delay,top_vcr,top_sq_vcr,n_more_delay,n_less_delay,max_delta_delay,min_delta_delay
469,scenario_70,-0.003896914702418144,178,0.2981372833506235,2.714598121769048,2.6900834474156134,23,1,0.2981372833506235,-0.05323996856993274
486,scenario_70,-0.01507026657071663,178,0.4546876216811029,2.727347433709825,2.6900834474156134,30,1,0.4546876216811029,-0.08190174064271627
493,scenario_70,3.642409142339602e-07,178,0.0007836927145241646,2.6901482979056963,2.6900834474156134,0,0,0.0007836927145241646,-0.004485150970889973
499,scenario_70,-0.004808461850157473,178,0.33773163764076486,2.7178305614698126,2.6900834474156134,29,1,0.33773163764076486,-0.11224668199010457
517,scenario_70,-0.0005114925720848841,86,0.17379847647152147,1.2347327246495707,1.0572839011936916,1,1,0.17379847647152147,-0.031027599913194814
521,scenario_70,-0.02389275391412282,178,0.7815511380844384,2.7537013526248804,2.6900834474156134,36,1,0.7815511380844384,-0.08989760311777606
531,scenario_70,-0.013700196745596709,178,0.4378589194224638,2.7259809226677145,2.6900834474156134,29,0,0.4378589194224638,-0.007066663863625422
533,scenario_70,-0.001324459613175597,178,0.0008189368677165021,2.6901512143042563,2.6900834474156134,0,0,0.0008189368677165021,-0.0009004471643709877
538,scenario_70,0.000261069501042366,86,0.1285378566610491,1.1920512534741254,1.0572839011936916,4,3,0.1285378566610491,-0.06678515649645955
540,scenario_70,0.0020674394091500436,99,5.095372457297742e-10,0.0024451006734904743,0.0024299954117864785,0,6,5.095372457297742e-10,-0.10942630413149956
546,scenario_70,-0.0031037372909783157,178,0.07704258713839351,2.6964482761143858,2.6900834474156134,2,0,0.07704258713839351,-0.005787535755457096
550,scenario_70,0.00013565711834235116,86,0.11783260353529967,1.1816382098866671,1.0572839011936916,4,3,0.11783260353529967,-0.07295589060988872
552,scenario_70,-0.004619895739646396,178,0.18817546017541176,2.705592571473855,2.6900834474156134,12,1,0.18817546017541176,-0.01246905255170816
556,scenario_70,-0.0018886511392355897,178,0.09821624613869062,2.6981938452100347,2.6900834474156134,5,5,0.09821624613869062,-0.09249386731065146
557,scenario_70,0.050032088078792204,0,0.0,0.0,0.0,0,40,0.0,-2.1277821212704353
558,scenario_70,-0.005773729115120368,178,0.2792230840618046,2.713052083660634,2.6900834474156134,23,1,0.2792230840618046,-0.10256064544675803
564,scenario_70,-0.006865414940267219,178,0.41470621984388956,2.7240993265662716,2.6900834474156134,29,1,0.41470621984388956,-0.08420441833346248
565,scenario_70,-0.0021247999310013838,103,1.912126170289241e-05,0.2223669791157464,0.2222910859399638,0,3,1.912126170289241e-05,-0.2727080559416373
569,scenario_70,0.0012148801598690915,99,3.4603747645078897e-10,0.0024402679711684073,0.0024299954117864785,0,2,3.4603747645078897e-10,-0.0682677700565435
594,scenario_70,-0.0025967641739526297,92,0.00016675300092394707,1.2407855704882889,1.2406553059319574,0,1,0.00016675300092394707,-0.48227403385207546
602,scenario_70,-0.0014624044716038045,103,1.2982777111592014e-05,0.22234261913778158,0.2222910859399638,0,3,1.2982777111592014e-05,-0.28729293302498204
612,scenario_70,-0.026118929522259977,178,0.8969301271584555,2.762920122732907,2.6900834474156134,36,1,0.8969301271584555,-0.08147667203977504
614,scenario_70,-0.0019764329053143736,178,0.07086780993301289,2.6959389257471402,2.6900834474156134,2,0,0.07086780993301289,-0.0014233451186043133
625,scenario_70,-0.0025946394688354337,178,0.07342541402970326,2.6961499159514837,2.6900834474156134,2,5,0.07342541402970326,-0.08957087293872212
627,scenario_70,0.0002436481348061934,178,0.0024265077661951295,2.690284233576956,2.6900834474156134,0,2,0.0024265077661951295,-0.03102002748835031
628,scenario_70,-0.003553420785996015,178,0.1784854870193584,2.704796977560245,2.6900834474156134,12,6,0.1784854870193584,-0.12956035800217958
629,scenario_70,-0.0012030847276479472,86,0.051834051783586244,1.1143858369399984,1.0572839011936916,3,1,0.051834051783586244,-0.09620799453843343
648,scenario_70,-0.0017545262550460177,178,0.005119645220222679,2.690507057975272,2.6900834474156134,0,1,0.005119645220222679,-0.12187631113310404
662,scenario_70,-0.02247762976980093,178,0.7341471712244392,2.7499012300683443,2.6900834474156134,36,1,0.7341471712244392,-0.08593213894666518
669,scenario_70,0.005238442353309947,89,0.02616674708186184,0.5820777337810868,0.5020815654692201,2,18,0.02616674708186184,-0.24531874917029484
670,scenario_70,9.25802181090694e-05,88,0.07118099201606376,0.7954753896233209,0.694332005726995,1,1,0.07118099201606376,-0.05787943153286024
673,scenario_70,0.002682137887838064,86,3.601632792005205e-08,1.0572839423810698,1.0572839011936916,0,7,3.601632792005205e-08,-0.10621444773219935
678,scenario_70,-0.004989528289556503,178,0.31654952770420763,2.716101947150222,2.6900834474156134,29,1,0.31654952770420763,-0.08078540412022295
680,scenario_70,-0.0011974693416778464,103,9.631794832332119e-05,0.2226730082812778,0.2222910859399638,0,3,9.631794832332119e-05,-0.2661535948566556
682,scenario_70,-0.005784888872253941,178,0.27922309192228667,2.7130520843034027,2.6900834474156134,23,1,0.27922309192228667,-0.10256064544675825
689,scenario_70,-0.009997414249541238,178,0.4303327606819245,2.7253694789819742,2.6900834474156134,29,1,0.4303327606819245,-0.035737460960254985
694,scenario_70,0.0010745616589951097,0,0.0,0.0,0.0,0,6,0.0,-0.3125660438254143
726,scenario_70,-0.0036712862232493935,178,0.17381109477580026,2.704413070060136,2.6900834474156134,11,6,0.17381109477580026,-0.1456830529347013
736,scenario_70,-0.00014830561482487246,178,0.007853562022521743,2.690733229946813,2.6900834474156134,0,0,0.007853562022521743,0.0
750,scenario_70,-0.015479979291090858,178,0.4491229407375812,2.726895680956417,2.6900834474156134,29,1,0.4491229407375812,-0.042146858931834785
755,scenario_70,0.0005785684571806342,178,0.002089322039999786,2.6902563337354457,2.6900834474156134,0,2,0.002089322039999786,-0.05750439218356773
759,scenario_70,-0.025803205921769025,178,0.8717476626199208,2.7609117217498733,2.6900834474156134,36,1,0.8717476626199208,-0.08337572073803146
761,scenario_70,0.0030048167000741232,86,3.607069176680966e-08,1.0572839424432388,1.0572839011936916,0,10,3.607069176680966e-08,-0.14453057550603532
764,scenario_70,-0.0015808261427859543,178,0.019328789263067137,2.691682264476238,2.6900834474156134,2,1,0.019328789263067137,-0.2677914275631601
767,scenario_70,0.0024700167562117566,91,0.01419789251814274,0.6126975043722799,0.5927100266000344,1,6,0.01419789251814274,-0.11475627161189195
770,scenario_70,0.001286997543365811,91,0.025559401484811062,0.6280578816040673,0.5927100266000344,1,2,0.025559401484811062,-0.06577048960733478
775,scenario_70,-0.016656402528202628,178,0.5083410015383762,2.7316977669120446,2.6900834474156134,31,0,0.5083410015383762,-0.002119801766233831
776,scenario_70,-0.005508746168688871,178,0.2556064968372027,2.7111199412818783,2.6900834474156134,20,7,0.2556064968372027,-0.1729459701644669
780,scenario_70,0.0004343052462785272,86,0.11649747789841247,1.180330494249865,1.0572839011936916,4,3,0.11649747789841247,-0.07659564478681957
789,scenario_70,-0.006952977742568822,178,0.3510795959100719,2.718919061890023,2.6900834474156134,25,1,0.3510795959100719,-0.118233850792824
791,scenario_70,-0.003011263797021238,178,0.06869336596196618,2.695759526251605,2.6900834474156134,2,0,0.06869336596196618,-0.0003648604739523442
809,scenario_70,-0.0031605239379203414,178,0.07303304961046209,2.6961175492494283,2.6900834474156134,2,0,0.07303304961046209,-0.00036486059521623204
810,scenario_70,-0.002751890287385089,178,0.003222455742406538,2.6903500912895693,2.6900834474156134,0,1,0.003222455742406538,-0.45537562452483504
811,scenario_70,-0.00032116174379806034,178,0.002024058689318764,2.690250933587172,2.6900834474156134,0,0,0.002024058689318764,-0.005560517961571199
813,scenario_70,0.00511459709260508,103,0.00016930621266997292,0.22296181352739775,0.2222910859399638,0,22,0.00016930621266997292,-0.4792356917357665
