development,scenario,total_mmin,ID_edge,flow,sq_flow,vcr,sq_vcr,delay_min,sq_delay_min,delta_delay_min
201,scenario_78,-0.037498202358417096,129,4518.809323017217,4455.030657165999,6.198641046662849,6.111153164836762,41.44303169414033,40.053046244049376,1.389985450090954
63,scenario_78,-0.037160531860202205,129,4518.358826625525,4455.030657165999,6.1980230817908435,6.111153164836762,41.43311653355857,40.053046244049376,1.3800702895091916
775,scenario_19,-0.038255840101124955,129,4356.340358824935,4290.090382360721,5.975775526508827,5.884897643841867,37.95650429055281,36.585866035357824,1.370638255194983
331,scenario_19,-0.03747008148958813,129,4354.66685597168,4290.090382360721,5.973479912169657,5.884897643841867,37.92151901421927,36.585866035357824,1.3356529788614466
750,scenario_78,-0.037668423954194064,129,4515.701892178888,4455.030657165999,6.194378452920285,6.111153164836762,41.37466711742503,40.053046244049376,1.3216208733756503
612,scenario_75,-0.037046409451687835,129,3378.4820480423195,3289.4195563899284,4.6344061015669675,4.512235331124731,20.621761357966257,19.341053556208216,1.2807078017580409
109,scenario_75,-0.03705706745335413,129,3378.4254153141064,3289.4195563899284,4.634328416068733,4.512235331124731,20.620931740722064,19.341053556208216,1.2798781845138478
612,scenario_78,-0.06729370103534556,174,4575.784605646524,4455.030657165999,2.0799020934756927,2.0250139350754544,6.069588584691502,5.692244578083761,0.3773440066077409
109,scenario_78,-0.06729103181586239,174,4575.708784306433,4455.030657165999,2.0798676292301965,2.0250139350754544,6.069347210216776,5.692244578083761,0.3771026321330151
759,scenario_78,-0.06631888851667486,174,4572.368879415943,4455.030657165999,2.078349490643611,2.0250139350754544,6.05872029997531,5.692244578083761,0.36647572189154864
351,scenario_78,-0.04121657280707697,174,4567.811381505829,4455.030657165999,2.0762779006844676,2.0250139350754544,6.044236774730029,5.692244578083761,0.35199219664626824
612,scenario_78,-0.06729370103534556,68,4575.784605646524,4455.030657165999,1.9596507947094322,1.9079360416128477,5.616831486027087,5.267635215504954,0.34919627052213364
109,scenario_78,-0.06729103181586239,68,4575.708784306433,4455.030657165999,1.95961832304344,1.9079360416128477,5.616608116727725,5.267635215504954,0.3489729012227709
612,scenario_19,-0.062194287831858035,174,4406.258123305204,4290.090382360721,2.0028446015023658,1.950041082891237,5.543827690444221,5.199497094561304,0.3443305958829175
109,scenario_19,-0.0621938276386807,174,4406.185049334274,4290.090382360721,2.0028113860610333,1.950041082891237,5.543607038023433,5.199497094561304,0.3441099434621293
759,scenario_78,-0.06631888851667486,68,4572.368879415943,4455.030657165999,1.9581879569233163,1.9079360416128477,5.60677391409429,5.267635215504954,0.3391386985893359
759,scenario_19,-0.06130184127195924,174,4402.97238929034,4290.090382360721,2.0013510860410637,1.950041082891237,5.533911229616212,5.199497094561304,0.33441413505490836
521,scenario_78,-0.06005521804013045,174,4560.342305564948,4455.030657165999,2.0728828661658856,2.0250139350754544,6.020544096828001,5.692244578083761,0.3282995187442399
612,scenario_78,-0.06729370103534556,61,4575.784605646524,4455.030657165999,1.9613307353821363,1.9095716490210028,5.264212376142401,4.936938301148633,0.3272740749937686
109,scenario_78,-0.06729103181586239,61,4575.708784306433,4455.030657165999,1.9612982358793112,1.9095716490210028,5.264003029746116,4.936938301148633,0.3270647285974828
351,scenario_78,-0.04121657280707697,68,4567.811381505829,4455.030657165999,1.9562361376898625,1.9079360416128477,5.593370778199453,5.267635215504954,0.3257355626944989
351,scenario_19,-0.03767497112435196,174,4398.471832290654,4290.090382360721,1.9993053783139336,1.950041082891237,5.520345194978516,5.199497094561304,0.3208481004172121
612,scenario_19,-0.062194287831858035,68,4406.258123305204,4290.090382360721,1.8870484468116506,1.8372978082915294,5.130289391167788,4.811643917002436,0.3186454741653524
109,scenario_19,-0.0621938276386807,68,4406.185049334274,4290.090382360721,1.8870171517491536,1.8372978082915294,5.130085198173938,4.811643917002436,0.31844128117150206
759,scenario_78,-0.06631888851667486,61,4572.368879415943,4455.030657165999,1.9598666435559122,1.9095716490210028,5.254786208600379,4.936938301148633,0.3178479074517462
759,scenario_19,-0.06130184127195924,68,4402.97238929034,4290.090382360721,1.8856412802099958,1.8372978082915294,5.121112642425838,4.811643917002436,0.3094687254234021
662,scenario_78,-0.056581092939046326,174,4553.9588713990015,4455.030657165999,2.0699813051813645,2.0250139350754544,6.0003381941678775,5.692244578083761,0.30809361608411656
351,scenario_78,-0.04121657280707697,61,4567.811381505829,4455.030657165999,1.9579131510955117,1.9095716490210028,5.2422245082837104,4.936938301148633,0.3052862071350777
521,scenario_78,-0.06005521804013045,68,4560.342305564948,4455.030657165999,1.9530373899635753,1.9079360416128477,5.5714454405309235,5.267635215504954,0.30381022502596977
612,scenario_64,-0.05571932138840121,174,4173.575982071969,4063.4200199596817,1.897079991850895,1.8470090999816735,4.867005736013061,4.5643821440509385,0.3026235919621225
109,scenario_64,-0.05572175393143785,174,4173.506571080048,4063.4200199596817,1.897048441400022,1.8470090999816735,4.866811473961858,4.5643821440509385,0.30242932991092
521,scenario_19,-0.05557900253317156,174,4391.406401802323,4290.090382360721,1.9960938190010558,1.950041082891237,5.499087029480668,5.199497094561304,0.29958993491936425
612,scenario_19,-0.062194287831858035,61,4406.258123305204,4290.090382360721,1.8886661480090887,1.8388728599917366,4.808214911442919,4.509573684111121,0.29864122733179777
