ID_edge,run,case,scenario,flow,capacity,flow_cap,ffs,length_m,length_m_geom,fftt_min,link_tt_min,delay_min
88,5iter_5scen_4dev_test_1542375,dev109,scenario_44,1203.24792011769,1404.0,0.8570141881180128,100.0,2951.1891622424446,2951.1891622424446,1.7707134973454668,2.0958489520325,0.3251354546870333
91,5iter_5scen_4dev_test_1542375,dev109,scenario_44,1753.3233044749632,2391.0,0.7333012565767307,100.0,4008.729740907578,4008.729740907578,2.4052378445445464,2.7285804217791885,0.3233425772346421
82,2iter_xscen_xdev_test,dev109,scenario_44,3376.628478328661,3013.0,1.12068651786547,80.0,1362.7606945394907,1362.7606945394907,1.022070520904618,1.3429848917040257,0.3209143707994075
87,5iter_5scen_4dev_test_1542375,dev109,scenario_44,1145.6984961491648,729.0,1.5716028753760836,100.0,794.1532861069165,794.1532861069165,0.4764919716641499,0.7707180923947137,0.2942261207305637
85,5iter_5scen_4dev_test_1542375,dev109,scenario_44,945.727683001916,729.0,1.2972944897145624,100.0,910.3365754780752,910.3365754780752,0.5462019452868451,0.7760127259532774,0.2298107806664323
93,2iter_xscen_xdev_test,dev109,scenario_44,3378.2985021094805,3061.0,1.1036584456417773,87.0,970.6857419960515,970.6857419960515,0.6694384427558976,0.8732928189524968,0.2038543761965991
31,2iter_xscen_xdev_test,dev109,scenario_44,3371.714022874459,2746.0,1.2278638102237651,99.0,782.2308016477537,782.2308016477537,0.4740792737259113,0.652765623045123,0.1786863493192116
89,5iter_5scen_4dev_test_1542375,dev109,scenario_44,1482.125736412747,2391.0,0.6198769286544321,100.0,2140.272239606062,2140.272239606062,1.2841633437636373,1.4075224524116854,0.1233591086480481
90,5iter_5scen_4dev_test_1542375,dev109,scenario_44,1666.7939092519282,2391.0,0.6971116308038178,99.0,1395.0130328637335,1395.0130328637335,0.8454624441598385,0.9481786542362748,0.1027162100764363
81,2iter_xscen_xdev_test,dev109,scenario_44,3376.1184866645613,2391.0,1.4120110776514267,80.0,269.29106997647665,269.29106997647665,0.2019683024823575,0.3026381548627745,0.100669852380417
103,5iter_5scen_4dev_test_1542375,dev109,scenario_44,926.5679178269904,3293.0,0.2813750130054632,106.0,6088.671354567422,6088.671354567422,3.4464177478683524,3.514632606419857,0.0682148585515047
77,5iter_5scen_4dev_test_1542375,dev109,scenario_44,841.6310040083238,2391.0,0.3519995834413734,93.0,1011.8689371854967,1011.8689371854967,0.6528186691519334,0.6730403323866563,0.0202216632347228
76,5iter_5scen_4dev_test_1542375,dev109,scenario_44,962.9508259599276,2391.0,0.4027397850104255,79.0,550.4281597313835,550.4281597313835,0.4180467035934558,0.4349984278643597,0.0169517242709039
78,5iter_5scen_4dev_test_1542375,dev109,scenario_44,685.3426980162639,2391.0,0.2866343362677808,100.0,1190.0072044742778,1190.0072044742778,0.7140043226845667,0.7286698362985787,0.014665513614012
73,5iter_5scen_4dev_test_1542375,dev109,scenario_44,545.4249668358591,2881.0,0.1893179336466015,79.0,1949.3522223086493,1949.3522223086495,1.4805206751711264,1.4937866141873568,0.0132659390162304
79,5iter_5scen_4dev_test_1542375,dev109,scenario_44,651.3693695388012,2391.0,0.2724254995979929,99.0,656.5663213618884,656.5663213618884,0.3979189826435687,0.4053019369112752,0.0073829542677064
74,5iter_5scen_4dev_test_1542375,dev109,scenario_44,258.23969134438903,1289.0,0.2003411104300923,80.0,802.4785240978157,802.4785240978157,0.6018588930733618,0.607898029546205,0.0060391364728431
102,5iter_5scen_4dev_test_1542375,dev109,scenario_44,281.4333360727909,3324.0,0.0846670686139563,119.0,5030.979565723924,5030.979565723924,2.536628352465844,2.541174315483841,0.0045459630179971
99,5iter_5scen_4dev_test_1542375,dev109,scenario_44,16.446483508411166,729.0,0.0225603340307423,100.0,426.5896754365461,426.5896754365461,0.2559538052619277,0.2559863733789901,3.2568117062425905e-05
80,5iter_5scen_4dev_test_1542375,dev109,scenario_44,51.41011278351132,2391.0,0.0215015109926856,100.0,381.9039017049991,381.9039017049991,0.2291423410229994,0.229168825006913,2.6483983913555557e-05
