ID_edge,length_m,flow,development,scenario,capacity,ffs,length_m_geom,fftt_min,flow_cap,link_tt_min,delay_min,run,case,case_type
98,2007.6948653871616,3338.3434348156707,126,scenario_44,1536.0,108.0,2007.6948653871616,1.115386036326201,2.173400673708119,2.4325650620889694,1.3171790257627685,2iter_xscen_xdev_test,dev126,development
63,5114.75070314698,3330.81449326797,126,scenario_44,2333.0,119.0,5114.7507031469795,2.5788659007463766,1.4276958822408787,3.8930015059635332,1.3141356052171567,2iter_xscen_xdev_test,dev126,development
178,6719.55714161299,3291.27740734196,140,scenario_44,1000.0,80.0,6719.55714161299,5.039667856209742,3.29127740734196,18.68772715354913,13.648059297339387,2iter_xscen_xdev_test,dev140,development
129,3327.5142290398862,3283.9054123834103,140,scenario_44,729.0,96.0,3327.5142290398862,2.079696393149929,4.504671347576695,12.630029444578412,10.550333051428483,2iter_xscen_xdev_test,dev140,development
174,6978.5477473254405,3283.9054123834103,140,scenario_44,2200.0,100.0,6978.5477473254405,4.187128648395264,1.4926842783560956,6.519470635912785,2.3323419875175206,2iter_xscen_xdev_test,dev140,development
68,8865.80644588534,3283.9054123834103,140,scenario_44,2335.0,119.0,8865.80644588534,4.470154510530423,1.4063834742541372,6.68055034034627,2.2103958298158464,2iter_xscen_xdev_test,dev140,development
61,8361.831024084971,3283.9054123834103,140,scenario_44,2333.0,120.0,8361.831024084971,4.1809155120424855,1.4075891180383242,6.251834935530539,2.0709194234880535,2iter_xscen_xdev_test,dev140,development
175,5286.2980122217705,3283.9054123834103,140,scenario_44,2200.0,100.0,5286.2980122217705,3.1717788073330624,1.4926842783560956,4.938543936533556,1.7667651292004933,2iter_xscen_xdev_test,dev140,development
176,4439.9389635413945,3283.9054123834103,140,scenario_44,2200.0,100.0,4439.9389635413945,2.663963378124837,1.4926842783560956,4.147861811097714,1.483898432972877,2iter_xscen_xdev_test,dev140,development
32,4235.803391000821,3283.9054123834103,140,scenario_44,2391.0,86.0,4235.803391000821,2.9552116681401075,1.3734443380942745,4.348852070351405,1.3936404022112971,2iter_xscen_xdev_test,dev140,development
98,2007.6948653871616,3291.2658486617047,140,scenario_44,1536.0,108.0,2007.6948653871616,1.115386036326201,2.142751203555797,2.3956770797503104,1.2802910434241095,2iter_xscen_xdev_test,dev140,development
63,5114.75070314698,3283.9054123834103,140,scenario_44,2333.0,119.0,5114.7507031469795,2.5788659007463766,1.4075891180383242,3.856247246780239,1.2773813460338626,2iter_xscen_xdev_test,dev140,development
178,6719.55714161299,3290.269245408888,143,scenario_44,1000.0,80.0,6719.55714161299,5.039667856209742,3.2902692454088878,18.679367270871616,13.639699414661873,2iter_xscen_xdev_test,dev143,development
129,3327.5142290398862,3282.897189587036,143,scenario_44,729.0,96.0,3327.5142290398862,2.079696393149929,4.503288325908143,12.623552124400094,10.543855731250165,2iter_xscen_xdev_test,dev143,development
174,6978.5477473254405,3282.897189587036,143,scenario_44,2200.0,100.0,6978.5477473254405,4.187128648395264,1.4922259952668344,6.518038707105908,2.3309100587106437,2iter_xscen_xdev_test,dev143,development
68,8865.80644588534,3282.897189587036,143,scenario_44,2335.0,119.0,8865.80644588534,4.470154510530423,1.4059516871893087,6.679193279726405,2.209038769195982,2iter_xscen_xdev_test,dev143,development
61,8361.831024084971,3282.897189587036,143,scenario_44,2333.0,120.0,8361.831024084971,4.1809155120424855,1.407156960817418,6.250563505699457,2.0696479936569716,2iter_xscen_xdev_test,dev143,development
175,5286.2980122217705,3282.897189587036,143,scenario_44,2200.0,100.0,5286.2980122217705,3.1717788073330624,1.4922259952668344,4.937459240594012,1.7656804332609495,2iter_xscen_xdev_test,dev143,development
176,4439.9389635413945,3282.897189587036,143,scenario_44,2200.0,100.0,4439.9389635413945,2.663963378124837,1.4922259952668344,4.146950779643482,1.4829874015186446,2iter_xscen_xdev_test,dev143,development
32,4235.803391000821,3282.897189587036,143,scenario_44,2391.0,86.0,4235.803391000821,2.9552116681401075,1.3730226639845402,4.347996452329247,1.3927847841891396,2iter_xscen_xdev_test,dev143,development
98,2007.6948653871616,3290.110239734692,143,scenario_44,1536.0,108.0,2007.6948653871616,1.115386036326201,2.14199885399394,2.394778181826072,1.2793921454998711,2iter_xscen_xdev_test,dev143,development
63,5114.75070314698,3282.897189587036,143,scenario_44,2333.0,119.0,5114.7507031469795,2.5788659007463766,1.407156960817418,3.855463005379731,1.2765971046333546,2iter_xscen_xdev_test,dev143,development
178,6719.55714161299,3324.07855285424,144,scenario_44,1000.0,80.0,6719.55714161299,5.039667856209742,3.3240785528542403,18.961118114841852,13.92145025863211,2iter_xscen_xdev_test,dev144,development
