ID_edge,length_m,flow,development,scenario,capacity,ffs,length_m_geom,fftt_min,flow_cap,link_tt_min,delay_min,run,case,case_type
113,1386.837480073949,0.0,0,scenario_44,2347.0,110.0,1386.8374800739493,0.7564568073130633,0.0,0.7564568073130633,0.0,2iter_xscen_xdev_test,dev0,development
114,4482.098099171079,0.0,0,scenario_44,2333.0,120.0,4482.098099171079,2.2410490495855395,0.0,2.2410490495855395,0.0,2iter_xscen_xdev_test,dev0,development
115,967.2338545450544,0.0,0,scenario_44,2096.0,114.0,967.2338545450543,0.5090704497605549,0.0,0.5090704497605549,0.0,2iter_xscen_xdev_test,dev0,development
116,6641.566474985803,0.0,0,scenario_44,2339.0,115.0,6641.566474985803,3.4651651173838975,0.0,3.4651651173838975,0.0,2iter_xscen_xdev_test,dev0,development
117,2900.4197279862065,0.0,0,scenario_44,2333.0,120.0,2900.4197279862065,1.4502098639931031,0.0,1.4502098639931031,0.0,2iter_xscen_xdev_test,dev0,development
118,7150.926141131028,0.0,0,scenario_44,2334.0,118.0,7150.926141131028,3.6360641395581497,0.0,3.6360641395581497,0.0,2iter_xscen_xdev_test,dev0,development
119,138.61280402907454,0.0,0,scenario_44,2139.0,117.0,138.61280402907454,0.07108348924567924,0.0,0.07108348924567924,0.0,2iter_xscen_xdev_test,dev0,development
120,4646.296659299301,0.0,0,scenario_44,2333.0,120.0,4646.296659299301,2.3231483296496505,0.0,2.3231483296496505,0.0,2iter_xscen_xdev_test,dev0,development
121,6375.642888146268,0.0,0,scenario_44,2333.0,119.0,6375.642888146268,3.214609859569547,0.0,3.214609859569547,0.0,2iter_xscen_xdev_test,dev0,development
122,9246.570828344114,0.0,0,scenario_44,2333.0,120.0,9246.570828344114,4.623285414172058,0.0,4.623285414172058,0.0,2iter_xscen_xdev_test,dev0,development
123,1534.8660954570962,0.0,0,scenario_44,2348.0,109.0,1534.8660954570962,0.8448804195176677,0.0,0.8448804195176677,0.0,2iter_xscen_xdev_test,dev0,development
124,1877.417300305622,965.6896672707352,0,scenario_44,729.0,79.0,1877.417300305622,1.425886557194143,1.324677184184822,2.051412168176068,0.6255256109819252,2iter_xscen_xdev_test,dev0,development
126,1897.1851262924465,3260.83901235159,0,scenario_44,1811.0,106.0,1897.1851262924463,1.0738783733730828,1.8005737229992216,1.9442744420232692,0.8703960686501864,2iter_xscen_xdev_test,dev0,development
127,1483.4622208121002,3259.95225045416,0,scenario_44,2333.0,119.0,1483.4622208121002,0.7479641449472775,1.3973220104818518,1.1130657889034847,0.36510164395620726,2iter_xscen_xdev_test,dev0,development
128,1875.2605068342427,3258.844470843138,0,scenario_44,1934.0,115.0,1875.2605068342427,0.9783967861743875,1.6850281648620156,1.6728921564507406,0.6944953702763531,2iter_xscen_xdev_test,dev0,development
129,3327.5142290398862,3258.128636477875,0,scenario_44,729.0,96.0,3327.5142290398862,2.079696393149929,4.469312258543038,12.465051348729922,10.385354955579993,2iter_xscen_xdev_test,dev0,development
130,225.05482885543543,3258.128636477875,0,scenario_44,729.0,100.0,225.05482885543543,0.13503289731326126,4.469312258543038,0.8093450584045092,0.6743121610912479,2iter_xscen_xdev_test,dev0,development
131,3113.508108488663,3258.128636477875,0,scenario_44,2339.0,118.0,3113.508108488663,1.583139716180676,1.3929579463351325,2.3510938159013457,0.7679540997206697,2iter_xscen_xdev_test,dev0,development
132,1886.9484527400857,3258.128636477875,0,scenario_44,2343.0,113.0,1886.9484527400857,1.001919532428364,1.3905798704557724,1.4862755823608336,0.4843560499324695,2iter_xscen_xdev_test,dev0,development
133,9519.946896653411,0.0,0,scenario_44,2279.0,117.0,9519.946896653411,4.882024049565852,0.0,4.882024049565852,0.0,2iter_xscen_xdev_test,dev0,development
134,162.64281702292567,0.0,0,scenario_44,2335.0,118.0,162.64281702292567,0.08269973746928423,0.0,0.08269973746928423,0.0,2iter_xscen_xdev_test,dev0,development
135,11699.839149833915,0.0,0,scenario_44,2334.0,119.0,11699.839149833917,5.899078562941471,0.0,5.899078562941471,0.0,2iter_xscen_xdev_test,dev0,development
