ID_edge,length_m,flow,development,scenario,capacity,ffs,length_m_geom,fftt_min,flow_cap,link_tt_min,delay_min,run
61,8361.831024084971,2832.03485626888,status_quo,scenario_44,2333,120,8361.831024084971,4.1809155120424855,1.2139026387779168,5.721122576607455,1.54020706456497,15iter_status_quo
62,2086.0938139797604,2832.03485626888,status_quo,scenario_44,2333,120,2086.0938139797604,1.0430469069898802,1.2139026387779168,1.4272948570360255,0.3842479500461453,15iter_status_quo
63,5114.75070314698,2832.03485626888,status_quo,scenario_44,2333,119,5114.75070314698,2.578865900746377,1.2139026387779168,3.5288940626297185,0.950028161883342,15iter_status_quo
64,2948.5542693597213,2832.03485626888,status_quo,scenario_44,2335,118,2948.5542693597213,1.499264882725282,1.2128628934770365,2.0506331860482945,0.5513683033230123,15iter_status_quo
65,2912.9705151237267,2832.03485626888,status_quo,scenario_44,2333,120,2912.9705151237267,1.4564852575618634,1.2139026387779168,1.9930397219297904,0.5365544643679268,15iter_status_quo
66,3047.1705599093475,2832.03485626888,status_quo,scenario_44,2333,120,3047.1705599093475,1.523585279954674,1.2139026387779168,2.0848587151375324,0.5612734351828585,15iter_status_quo
67,4872.77147040362,2832.03485626888,status_quo,scenario_44,2333,120,4872.77147040362,2.4363857352018097,1.2139026387779168,3.3339256425628974,0.8975399073610877,15iter_status_quo
68,8865.80644588534,2832.03485626888,status_quo,scenario_44,2335,119,8865.80644588534,4.470154510530423,1.2128628934770365,6.114094508366343,1.6439399978359202,15iter_status_quo
69,263.4135778567169,0.0,status_quo,scenario_44,2333,119,263.4135778567169,0.1328135686672522,0.0,0.1328135686672522,0.0,15iter_status_quo
70,5513.998529520909,0.0,status_quo,scenario_44,2333,119,5513.998529520909,2.7801673258088617,0.0,2.7801673258088617,0.0,15iter_status_quo
71,3232.558652026233,0.0,status_quo,scenario_44,2333,120,3232.558652026233,1.6162793260131163,0.0,1.6162793260131163,0.0,15iter_status_quo
72,113.6803311893096,0.0,status_quo,scenario_44,2333,120,113.6803311893096,0.0568401655946548,0.0,0.0568401655946548,0.0,15iter_status_quo
73,1949.3522223086493,541.9540407663587,status_quo,scenario_44,2881,79,1949.3522223086495,1.4805206751711264,0.1881131693045327,1.493618310249848,0.0130976350787217,15iter_status_quo
74,802.4785240978157,256.58005327960404,status_quo,scenario_44,1289,80,802.4785240978157,0.6018588930733618,0.1990535712021753,0.6078206551206181,0.0059617620472562,15iter_status_quo
75,1790.6201179575862,0.0,status_quo,scenario_44,729,80,1790.6201179575862,1.3429650884681896,0.0,1.3429650884681896,0.0,15iter_status_quo
76,550.4281597313835,945.1623062848316,status_quo,scenario_44,2391,79,550.4281597313835,0.4180467035934558,0.3953000026285369,0.4343779167159247,0.0163312131224688,15iter_status_quo
77,1011.8689371854967,826.840465584956,status_quo,scenario_44,2391,93,1011.8689371854967,0.6528186691519334,0.3458136618924952,0.6723358401835601,0.0195171710316266,15iter_status_quo
78,1190.0072044742778,672.5556031085691,status_quo,scenario_44,2391,100,1190.0072044742778,0.7140043226845667,0.2812863250140398,0.7281276845896479,0.0141233619050812,15iter_status_quo
79,656.5663213618884,643.9592853014277,status_quo,scenario_44,2391,99,656.5663213618884,0.3979189826435687,0.269326342660572,0.405134913006744,0.0072159303631753,15iter_status_quo
80,381.9039017049991,47.42098539908633,status_quo,scenario_44,2391,100,381.9039017049991,0.2291423410229994,0.0198331181091954,0.2291648744554091,2.253343240962713e-05,15iter_status_quo
81,269.29106997647665,3053.464937335596,status_quo,scenario_44,2391,80,269.29106997647665,0.2019683024823575,1.2770660549291493,0.2843157129170754,0.0823474104347179,15iter_status_quo
82,1362.7606945394907,3077.553624073069,status_quo,scenario_44,3013,80,1362.7606945394907,1.022070520904618,1.021425032881868,1.28865438916728,0.266583868262662,15iter_status_quo
83,2095.9886952448405,3142.0037665857885,status_quo,scenario_44,3262,80,2095.9886952448405,1.5719915214336304,0.963213907598341,1.936607500364177,0.3646159789305465,15iter_status_quo
84,1676.4231695514936,3120.9539078651187,status_quo,scenario_44,3021,80,1676.4231695514936,1.25731737716362,1.0330863647352264,1.592790850819445,0.3354734736558249,15iter_status_quo
85,910.3365754780752,943.6365570302418,status_quo,scenario_44,729,100,910.3365754780752,0.5462019452868451,1.2944260041567102,0.7749975669240603,0.2287956216372152,15iter_status_quo
86,2224.3324582106734,943.6365570302418,status_quo,scenario_44,729,99,2224.3324582106734,1.3480802777034384,1.2944260041567102,1.9127704400426613,0.5646901623392231,15iter_status_quo
87,794.1532861069165,1140.5400194421152,status_quo,scenario_44,729,100,794.1532861069165,0.4764919716641499,1.5645267756407617,0.7680745666122502,0.2915825949481002,15iter_status_quo
88,2951.1891622424446,1193.382624833739,status_quo,scenario_44,1404,100,2951.1891622424446,1.7707134973454668,0.8499876245254552,2.090539309667869,0.319825812322402,15iter_status_quo
89,2140.272239606062,1469.4359898065322,status_quo,scenario_44,2391,100,2140.272239606062,1.2841633437636373,0.6145696318722427,1.4054191295350182,0.1212557857713809,15iter_status_quo
90,1395.0130328637335,1650.2806132240128,status_quo,scenario_44,2391,99,1395.0130328637335,0.8454624441598385,0.690205191645342,0.946153471706566,0.1006910275467274,15iter_status_quo
91,4008.729740907578,1733.898373804902,status_quo,scenario_44,2391,100,4008.729740907578,2.4052378445445464,0.7251770697636561,2.7214555358075483,0.3162176912630019,15iter_status_quo
92,2550.193392452562,3037.557208992383,status_quo,scenario_44,2166,97,2550.193392452562,1.577439211826327,1.4023809829143044,2.3530157603465547,0.7755765485202277,15iter_status_quo
93,970.6857419960515,3153.1117868711704,status_quo,scenario_44,3061,87,970.6857419960515,0.6694384427558976,1.0300920571287715,0.8470219928433007,0.1775835500874031,15iter_status_quo
94,3121.847228370543,3153.896164441908,status_quo,scenario_44,2333,120,3121.847228370543,1.5609236141852714,1.351862908033394,2.274083593735799,0.7131599795505275,15iter_status_quo
95,1906.501637835958,3164.769920602972,status_quo,scenario_44,2333,119,1906.501637835958,0.9612613300013236,1.3565237550805709,1.4034791987574295,0.442217868756106,15iter_status_quo
96,2437.745041650941,3172.374455794695,status_quo,scenario_44,2333,120,2437.745041650941,1.2188725208254705,1.359783307241618,1.7822995865863525,0.563427065760882,15iter_status_quo
97,1687.4477039097997,3178.542452817025,status_quo,scenario_44,2333,120,1687.4477039097997,0.8437238519548999,1.3624271122233285,1.235255516148969,0.391531664194069,15iter_status_quo
98,2007.6948653871616,3183.382487886169,status_quo,scenario_44,1536,108,2007.6948653871616,1.115386036326201,2.0725146405508914,2.3131201691328527,1.1977341328066518,15iter_status_quo
99,426.5896754365461,2.5291130582142536,status_quo,scenario_44,729,100,426.5896754365461,0.2559538052619277,0.0034692908891827,0.2559545754256014,7.701636737800222e-07,15iter_status_quo
100,1461.1312385017154,0.0,status_quo,scenario_44,2013,112,1461.1312385017154,0.7827488777687761,0.0,0.7827488777687761,0.0,15iter_status_quo
101,3181.077676394208,0.0,status_quo,scenario_44,2721,120,3181.077676394208,1.590538838197104,0.0,1.590538838197104,0.0,15iter_status_quo
102,5030.979565723924,257.05263267283607,status_quo,scenario_44,3324,119,5030.979565723924,2.536628352465844,0.0773323202986871,2.5404207943395862,0.0037924418737422,15iter_status_quo
103,6088.671354567422,895.9506215724924,status_quo,scenario_44,3293,106,6088.671354567422,3.4464177478683524,0.27207732206878,3.5101989375286218,0.0637811896602693,15iter_status_quo
104,4526.605938756334,0.0,status_quo,scenario_44,729,96,4526.605938756334,2.8291287117227086,0.0,2.8291287117227086,0.0,15iter_status_quo
105,2027.6844882076089,0.0,status_quo,scenario_44,729,100,2027.6844882076089,1.2166106929245653,0.0,1.2166106929245653,0.0,15iter_status_quo
106,2361.841828044352,0.0,status_quo,scenario_44,729,99,2361.841828044352,1.4314192897238494,0.0,1.4314192897238494,0.0,15iter_status_quo
107,1832.0017704127936,0.0,status_quo,scenario_44,729,100,1832.0017704127936,1.099201062247676,0.0,1.099201062247676,0.0,15iter_status_quo
108,3976.529508207863,0.0,status_quo,scenario_44,729,99,3976.529508207863,2.410017883762341,0.0,2.410017883762341,0.0,15iter_status_quo
