development,scenario,tts_raw,net_benefit_raw,building_costs,externalities_raw,maintenance,maintenance_annual,maintenance_derived,construction_raw,construction_integrated,maintenance_raw,maintenance_integrated,tts_integrated,operation_raw,operation_integrated,cost_base_raw,cost_base_integrated,bcr_raw,bcr_integrated,net_benefit_integrated,mode,year,status_quo_tt,development_tt,tt_savings_daily,monetized_savings_yearly,net_benefit_reported,bcr_reported,TotalConstructionCost,YearlyMaintenanceCost,uncoveredOperatingCost
351,scenario_19,-934457726.0453396,-2500377267.9771247,215490664.74718246,1188206788.4624584,162222088.7221443,3244441.774442886,162222088.72214437,215490664.74718246,6199228.079227231,3244441.774442886,3831068.2981674233,-1040841086.7482762,0.0,0.0,218735106.52162534,10030296.377394654,-4.27209761114846,-103.76972400277491,-2239078171.588129,Road,,,,,,,,,,
356,scenario_19,-581426067.069738,-1636339631.3690248,291513841.5784751,544762757.3502324,218636965.37057927,4372739.307411585,218636965.37057924,291513841.5784751,8386260.232279089,4372739.307411585,5163372.96256509,-647618530.6677848,0.0,0.0,295886580.8858867,13549633.194844179,-1.9650301995073378,-47.79601937225965,-1205930921.2128613,Road,,,,,,,,,,
358,scenario_19,-703426895.2591426,-3691618912.24983,1557411441.409194,463626756.34251267,967153819.23898,19343076.384779602,967153819.2389803,1557411441.409194,44803559.12317945,19343076.384779602,22840492.10267761,-783508545.8686314,0.0,0.0,1576754517.7939737,67644051.22585706,-0.44612327874811,-11.582815216855813,-1314779353.437001,Road,,,,,,,,,,
390,scenario_19,-707607519.9387789,-1540852712.3095913,385392973.1395786,198244443.7114787,249607775.51975513,4992155.510395102,249607775.51975513,385392973.1395786,11086971.880785288,4992155.510395102,5894785.619532518,-788165113.8583406,0.0,0.0,390385128.6499737,16981757.500317805,-1.8125883083349532,-46.41245841860541,-1003391315.0701371,Road,,,,,,,,,,
392,scenario_19,37465638.00825298,-365834831.38841575,126427411.9691598,193892626.24721032,82980431.18029861,1659608.6236059722,82980431.18029863,126427411.9691598,3637059.466973926,1659608.6236059722,1959681.9506350604,41730914.40450618,0.0,0.0,128087020.59276576,5596741.417608987,0.2925014403088474,7.456287737934168,-157758453.26031312,Road,,,,,,,,,,
394,scenario_19,-232741514.707926,-861992536.9144228,223218285.19308734,254239866.6105637,151792870.40284565,3035857.408056913,151792870.40284562,223218285.19308734,6421536.000129825,3035857.408056913,3584769.8563678763,-259237977.65066996,0.0,0.0,226254142.60114425,10006305.856497701,-1.0286729428783017,-25.907460892006515,-523484150.11773133,Road,,,,,,,,,,
423,scenario_19,557501800.1396784,-445616385.3672172,221136245.255448,632055904.0478072,149926036.20364034,2998520.7240728065,149926036.20364022,221136245.255448,6361639.946355853,2998520.7240728065,3540682.337985838,620970605.034463,0.0,0.0,224134765.97952083,9902322.284341691,2.487350847617354,62.709593487619486,-20987621.29768586,Road,,,,,,,,,,
459,scenario_19,-23265080.60980891,-3195078994.5953145,1288511994.7396402,1056260988.1597748,827040931.0860904,16540818.621721808,827040931.0860906,1288511994.7396402,37067869.0308115,16540818.621721808,19531558.971588295,-25913694.23171192,0.0,0.0,1305052813.361362,56599428.0023998,-0.01782692652099355,-0.4578437476543612,-1138774110.3938866,Road,,,,,,,,,,
464,scenario_19,-1126313.121587518,-382371489.36198574,131288839.33600885,162641270.5954638,87315066.30892555,1746301.326178511,87315066.30892557,131288839.33600885,3776912.8433280787,1746301.326178511,2062049.5342127134,-1254538.2640831366,0.0,0.0,133035140.66218735,5838962.377540792,-0.008466282788000618,-0.21485637052717454,-169734771.23708773,Road,,,,,,,,,,
469,scenario_19,-490385689.44312006,-1208012438.4415357,157735155.08297828,448949050.9932869,110942542.92215021,2218850.858443004,110942542.92215025,157735155.08297828,4537719.550955379,2218850.858443004,2620040.6027019015,-546213659.2158848,0.0,0.0,159954005.94142127,7157760.153657281,-3.0657918603345906,-76.3106960124663,-1002320470.362829,Road,,,,,,,,,,
486,scenario_19,-1083263835.5342002,-4578062711.71952,1776737974.7240279,601931146.5852047,1116129754.8760872,22322595.097521745,1116129754.8760867,1776737974.7240279,51113137.33827317,22322595.097521745,26358736.681482878,-1206588031.0971036,0.0,0.0,1799060569.8215497,77471874.01975605,-0.6021274957083018,-15.574530064800193,-1885991051.7020645,Road,,,,,,,,,,
