mode,development,scenario_count,median_tts_minutes,mean_tts_minutes,std_tts_minutes,min_tts_minutes,max_tts_minutes,q1_tts_minutes,q3_tts_minutes,median_bcr_integrated,iqr_tts_minutes,abs_median_tts_minutes,relative_iqr_tts,relative_std_tts
Rail,101019,3,20.3769944509404,20.443001344508957,2.021921176015062,18.454891840585333,22.497117742001137,19.415943145762867,21.43705609647077,0.007549825234177369,2.021112950707902,20.3769944509404,0.09918601860416307,0.09922568222134202
Rail,101005,3,17.126412200930645,17.224297629465582,1.4407345490623753,15.835001881925564,18.711478805540537,16.480707041428104,17.91894550323559,0.013350732523499713,1.4382384618074866,17.126412200930645,0.08397780252710098,0.08412354742834498
Road,0,3,,,,,,,,38.499793720000255,,,,
Road,103,3,,,,,,,,-27.61121166360329,,,,
Road,104,3,,,,,,,,5.556113327580258,,,,
Road,109,3,,,,,,,,-13.905043947013127,,,,
Road,114,3,,,,,,,,-23.226538335962683,,,,
Road,12,3,,,,,,,,1.405211620497382,,,,
Road,126,3,,,,,,,,-26.802321756837816,,,,
Road,140,3,,,,,,,,-1.2739800940752484,,,,
Road,143,3,,,,,,,,-0.07207632501883908,,,,
Road,144,3,,,,,,,,-23.405262780687554,,,,
Road,15,3,,,,,,,,21.8790297472154,,,,
Road,150,3,,,,,,,,-17.67661334504681,,,,
Road,152,3,,,,,,,,19.36250846804672,,,,
Road,17,3,,,,,,,,0.9004665225543023,,,,
Road,176,3,,,,,,,,5.653951311129297,,,,
Road,177,3,,,,,,,,2.2325579483219697,,,,
Road,195,3,,,,,,,,-25.510175798747674,,,,
Road,197,3,,,,,,,,-5.397995166360656,,,,
Road,2,3,,,,,,,,-35.748115463517045,,,,
Road,201,3,,,,,,,,-35.822802241955685,,,,
Road,202,3,,,,,,,,-17.740545170622195,,,,
Road,206,3,,,,,,,,6.3839184451669375,,,,
Road,209,3,,,,,,,,5.139350723805335,,,,
Road,227,3,,,,,,,,0.565843271078323,,,,
Road,233,3,,,,,,,,2.0813134557834014,,,,
Road,240,3,,,,,,,,0.009039821063897573,,,,
Road,243,3,,,,,,,,-8.34377680263878,,,,
Road,245,3,,,,,,,,-17.909527636937526,,,,
Road,249,3,,,,,,,,-50.55682569628172,,,,
Road,25,3,,,,,,,,-28.826436764623953,,,,
