mode,development,scenarios,mean_bcr_integrated,std_bcr_integrated,min_bcr_integrated,max_bcr_integrated,mean_nb_integrated,std_nb_integrated,viable_scenarios_integrated
Road,755,3,-0.2283961641138478,0.23452850565443542,-0.48004693786333236,-0.01592473856469845,-487625395.0672888,16213173.257331837,0
Road,464,3,-0.309264116118176,0.5080147045561357,-0.8578603734036852,0.1449243955763316,-170286014.51174203,2966278.747140778,0
Road,270,3,-0.3874748297917894,0.6371109984280535,-1.1230763129767674,-0.010827180827983677,-340427824.6578607,12253276.255669735,0
Road,648,3,-0.39287495147307366,0.2638531314408284,-0.6325819907772577,-0.11015990643162567,-969053410.3863007,12425475.720553486,0
Road,459,3,-0.5576866867062266,0.11625610524008514,-0.6853193050250311,-0.4578437476543612,-1144425163.6343005,6580029.058375565,0
Road,811,3,-0.6532962945320029,0.47320622441619925,-1.102950932332894,-0.15961555673132027,-241202646.80596444,2807881.6830484862,0
Road,810,3,-1.1231862949346951,2.0113548222390674,-2.9183402312042483,1.050562675622285,-838171453.0847977,32195195.854042713,0
Road,533,3,-1.2112496826792174,0.7492827207191775,-2.0187293251705456,-0.5384242509117522,-1256824788.0425248,9590121.116446735,0
Road,140,3,-1.3882177138838758,0.7738603191175237,-2.212846861288617,-0.6778261862877619,-553896937.456378,4909561.605917607,0
Road,736,3,-1.6655974398737226,1.1356354981411114,-2.5626359019860474,-0.3887307679712828,-740220795.3850106,8270391.399449464,0
Road,987,3,-1.6961365105286204,1.2369695085499295,-2.8184107702285917,-0.3698399661816195,-272113253.4359943,9163251.681468615,0
Road,284,3,-2.5099871050112954,0.9291786050132033,-3.3289317554409785,-1.5002064218138786,-1077454737.795884,7026047.422051976,0
Road,558,3,-2.923675955882987,1.825756321045203,-4.970582488561501,-1.4631684838723602,-1527962143.355644,166836066.32064977,0
Road,682,3,-3.0252294285976187,1.8866577726485918,-5.140670082586824,-1.5167756097448686,-1525757604.620866,166768965.8344997,0
Road,255,3,-3.640820241660206,3.8371987991977745,-8.028948248816086,-0.9153956550734514,-326863602.21322346,24276007.182819758,0
Road,952,3,-4.414762640247612,2.836498778446423,-7.592619431810882,-2.139070107833574,-1522728490.9812317,214472292.6379433,0
Road,564,3,-4.917230863494425,3.6323207604701087,-8.98305321913898,-1.9923720772343727,-1000329850.2618777,320656132.9735122,0
Road,289,3,-5.696563856861348,4.130333586124186,-10.321779326473077,-2.376388790601283,-1014184710.4040365,323583192.3891149,0
Road,358,3,-6.261894834019375,4.753664838476665,-11.582815216855813,-2.433879887479937,-954850742.491706,321557147.84447104,0
Road,277,3,-6.841364689960095,5.415522884782026,-12.906816556500274,-2.491213860686053,-726122361.5834001,234696985.55271092,0
Road,822,3,-7.0759504837093745,4.20375174986994,-11.830920136863304,-3.853346450911488,-314879282.37010187,42795958.580570444,0
Road,197,3,-7.134958381384724,4.339598335942281,-12.073984523667622,-3.9328954541258945,-412417308.1423914,29024912.861763887,0
Road,895,3,-7.206599473641212,5.020388325044083,-12.825334549966492,-3.1616506792299623,-1107903647.1557698,346347301.0219272,0
Road,866,3,-7.343136716444967,4.482373874095904,-12.436192188541732,-3.9983201756483098,-719112049.6378169,32089975.032883488,0
Road,486,3,-9.116046991874406,5.767917113068931,-15.574530064800193,-4.477953042707564,-1385640264.7176309,446851347.9400713,0
Road,625,3,-9.257291149811842,4.581818315596808,-14.54257232437022,-6.408710628249671,-825396604.5706896,36874952.66951903,0
Road,331,3,-9.76310549271036,6.2508435815819245,-16.76018739868098,-4.730394053026173,-1346846730.1646335,502036495.4959548,0
Road,243,3,-10.121774856103603,5.269721468708679,-16.050516589480434,-5.971031176191594,-889691237.5445462,112903237.15133637,0
Road,878,3,-10.469415487330698,5.538195097766397,-16.775207638941257,-6.3949208294742395,-1222138353.546452,67327554.59510797,0
Road,556,3,-10.795156441748134,7.20948285014405,-19.043149385402515,-5.6941224744317305,-725448160.911778,51254725.25770667,0
