ID_edge,flow,capacity,ffs,length_m,fftt_min,scenario,case,development,flow_cap,link_tt_min,delay_min
178,2673.60904877895,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_70,dev28_scenario_70,28,2.67360904877895,14.045787835464175,9.006119979254432
178,2659.074902602904,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_100,dev254_scenario_100,254,2.659074902602904,13.948136701093343,8.9084688448836
129,2997.7249830106744,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_96,dev109_scenario_96,109,4.112105600837688,10.871307425454756,8.791611032304827
129,2920.7970561405327,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_100,dev109_scenario_100,109,4.006580323923913,10.425874630668421,8.346178237518492
129,2919.564290705512,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_96,dev267_scenario_96,267,4.004889287661882,10.418830862435778,8.339134469285849
129,2918.7430669366126,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_96,status_quo_scenario_96,status_quo,4.003762780434311,10.414140208898521,8.334443815748592
178,2571.430265759308,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_89,dev254_scenario_89,254,2.5714302657593078,13.37055835216092,8.330890495951177
129,2900.366995834252,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_96,dev28_scenario_96,28,3.9785555498412237,10.309525169058723,8.229828775908794
178,2509.2631491324023,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_70,dev254_scenario_70,254,2.5092631491324022,12.972610983548922,7.93294312733918
129,2844.679314265626,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_100,dev267_scenario_100,267,3.9021664118870043,9.996530052308929,7.916833659159
129,2843.910254826755,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_100,status_quo_scenario_100,status_quo,3.9011114606677024,9.992249996834481,7.912553603684552
129,2826.066579530094,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_100,dev28_scenario_100,28,3.876634539821802,9.893269304572721,7.813572911422792
129,2824.47946413674,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_89,dev109_scenario_89,109,3.8744574267993688,9.88449558371989,7.804799190569961
129,2755.736226271672,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_70,dev109_scenario_70,109,3.780159432471429,9.50920656178322,7.429510168633291
129,2750.852906741777,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_89,dev267_scenario_89,267,3.7734607774235625,9.482898872343956,7.403202479194027
129,2750.104410189,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_89,status_quo_scenario_89,status_quo,3.7724340331810704,9.478870654301316,7.399174261151387
129,2732.8092528991406,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_89,dev28_scenario_89,28,3.748709537584555,9.386097822335804,7.306401429185875
129,2721.8296417764705,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_96,dev254_scenario_96,254,3.733648342628903,9.327505885550362,7.2478094924004335
129,2683.942220696432,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_70,dev267_scenario_70,267,3.6816765716000437,9.12713360148241,7.0474372083324806
129,2683.251073955847,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_70,status_quo_scenario_70,status_quo,3.680728496510078,9.123504472604326,7.043808079454397
129,2666.45539668948,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_70,dev28_scenario_70,28,3.6576891586961318,9.03559971812355,6.955903324973621
129,2652.232059852136,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_100,dev254_scenario_100,254,3.638178408576318,8.961589641082664,6.8818932479327355
129,2564.6545583454463,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_89,dev254_scenario_89,254,3.5180446616535614,8.514608870634538,6.434912477484609
129,2502.5353641210945,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_70,dev254_scenario_70,254,3.4328331469425164,8.206660516972427,6.126964123822498
178,2003.226824381704,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_26,dev109_scenario_26,109,2.003226824381704,10.09561095428743,5.055943098077688
178,1951.005297053912,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_26,dev267_scenario_26,267,1.951005297053912,9.83544308948647,4.795775233276728
178,1950.480573738233,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_26,status_quo_scenario_26,status_quo,1.9504805737382331,9.832863786718944,4.793195930509202
178,1938.5514593518017,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_26,dev28_scenario_26,28,1.9385514593518016,9.774412826932624,4.734744970722882
174,4575.708784306433,2200.0,100.0,6978.5477473254405,4.187128648395264,scenario_78,dev109_scenario_78,109,2.0798676292301965,8.715350589261169,4.528221940865905
174,4456.446598542416,2200.0,100.0,6978.5477473254405,4.187128648395264,scenario_78,dev267_scenario_78,267,2.0256575447920073,8.482377844388022,4.295249195992758
174,4455.030657165999,2200.0,100.0,6978.5477473254405,4.187128648395264,scenario_78,status_quo_scenario_78,status_quo,2.0250139350754544,8.479648829358064,4.2925201809628
68,4575.708784306433,2335.0,119.0,8865.80644588534,4.470154510530423,scenario_78,dev109_scenario_78,109,1.95961832304344,8.761619033374298,4.291464522843875
174,4427.077501859828,2200.0,100.0,6978.5477473254405,4.187128648395264,scenario_78,dev28_scenario_78,28,2.0123079553908307,8.425950862008206,4.238822213612941
