ID_edge,max_delay_min,mean_delay_min,max_flow_cap,mean_flow,case_count
155,0.0,0.0,0.0,0.0,50
154,0.0,0.0,0.0,0.0,50
153,0.0,0.0,0.0,0.0,50
152,0.0,0.0,0.0,0.0,50
151,0.0,0.0,0.0,0.0,50
118,0.0,0.0,0.0,0.0,50
150,0.0,0.0,0.0,0.0,50
119,0.0,0.0,0.0,0.0,50
111,0.0,0.0,0.0,0.0,50
117,0.0,0.0,0.0,0.0,50
43,0.0,0.0,0.0,0.0,50
75,0.0,0.0,0.0,0.0,50
72,0.0,0.0,0.0,0.0,50
71,0.0,0.0,0.0,0.0,50
70,0.0,0.0,0.0,0.0,50
69,0.0,0.0,0.0,0.0,50
36,0.0,0.0,0.0,0.0,50
37,0.0,0.0,0.0,0.0,50
38,0.0,0.0,0.0,0.0,50
39,0.0,0.0,0.0,0.0,50
40,0.0,0.0,0.0,0.0,50
41,0.0,0.0,0.0,0.0,50
42,0.0,0.0,0.0,0.0,50
44,0.0,0.0,0.0,0.0,50
27,0.0,0.0,0.0,0.0,50
45,0.0,0.0,0.0,0.0,50
58,0.0,0.0,0.0,0.0,50
57,0.0,0.0,0.0,0.0,50
56,0.0,0.0,0.0,0.0,50
55,0.0,0.0,0.0,0.0,50
54,0.0,0.0,0.0,0.0,50
53,0.0,0.0,0.0,0.0,50
52,0.0,0.0,0.0,0.0,50
51,0.0,0.0,0.0,0.0,50
50,0.0,0.0,0.0,0.0,50
49,0.0,0.0,0.0,0.0,50
48,0.0,0.0,0.0,0.0,50
28,0.0,0.0,0.0,0.0,50
26,0.0,0.0,0.0,0.0,50
116,0.0,0.0,0.0,0.0,50
101,0.0,0.0,0.0,0.0,50
115,0.0,0.0,0.0,0.0,50
114,0.0,0.0,0.0,0.0,50
113,0.0,0.0,0.0,0.0,50
112,0.0,0.0,0.0,0.0,50
47,0.0,0.0,0.0,0.0,50
110,0.0,0.0,0.0,0.0,50
109,0.0,0.0,0.0,0.0,50
108,0.0,0.0,0.0,0.0,50
107,0.0,0.0,0.0,0.0,50
106,0.0,0.0,0.0,0.0,50
105,0.0,0.0,0.0,0.0,50
104,0.0,0.0,0.0,0.0,50
100,0.0,0.0,0.0,0.0,50
24,0.0,0.0,0.0,0.0,50
13,0.0,0.0,0.0,0.0,50
14,0.0,0.0,0.0,0.0,50
15,0.0,0.0,0.0,0.0,50
16,0.0,0.0,0.0,0.0,50
17,0.0,0.0,0.0,0.0,50
18,0.0,0.0,0.0,0.0,50
19,0.0,0.0,0.0,0.0,50
20,0.0,0.0,0.0,0.0,50
1,0.0,0.0,0.0,0.0,50
21,0.0,0.0,0.0,0.0,50
22,0.0,0.0,0.0,0.0,50
23,0.0,0.0,0.0,0.0,50
0,0.0,0.0,0.0,0.0,50
179,,,,519.5101966410518,40
