development,scenario,status_quo_origin_access_tt,status_quo_network_tt,status_quo_destination_access_tt,status_quo_total_tt,development_origin_access_tt,development_network_tt,development_destination_access_tt,development_total_tt,origin_access_savings,network_savings,destination_access_savings,tt_savings_peak,monetized_savings_yearly,monetized_savings,status_quo_origin_access_tt_min,status_quo_network_tt_min,status_quo_destination_access_tt_min,status_quo_total_tt_min,development_origin_access_tt_min,development_network_tt_min,development_destination_access_tt_min,development_total_tt_min,origin_access_savings_min,network_savings_min,destination_access_savings_min,tt_savings_peak_min,total_tts_min
109,scenario_44,28665.43507238786,626878.8518281425,28665.43507238786,684209.7219729181,28020.57755294957,665088.1430436249,28020.57755294957,721129.298149524,644.8575194382938,-38209.2912154824,644.8575194382938,-36919.576176605886,-12075778.041098174,-483031121.643927,1719926.1043432716,37612731.10968855,1719926.1043432716,41052583.31837509,1681234.6531769743,39905288.5826175,1681234.6531769743,43267757.88897144,38691.45116629763,-2292557.472928944,38691.45116629763,-2215174.570596353,-2215174.570596353
254,scenario_44,28665.43507238786,626878.8518281425,28665.43507238786,684209.7219729181,26112.47040379581,557832.4880133256,26112.47040379581,610057.4288209173,2552.964668592045,69046.36381481693,2552.964668592045,74152.29315200087,24253979.21846695,970159168.738678,1719926.1043432716,37612731.10968855,1719926.1043432716,41052583.31837509,1566748.2242277486,33469949.280799538,1566748.2242277486,36603445.729255036,153177.8801155227,4142781.8288890156,153177.8801155227,4449137.589120053,4449137.589120053
267,scenario_44,28665.43507238786,626878.8518281425,28665.43507238786,684209.7219729181,28577.866423558808,627457.9923928062,28577.866423558808,684613.7252399238,87.56864882905211,-579.1405646636849,87.56864882905211,-404.003267005668,-132142.73524977057,-5285709.409990823,1719926.1043432716,37612731.10968855,1719926.1043432716,41052583.31837509,1714671.9854135285,37647479.54356837,1714671.9854135285,41076823.51439543,5254.1189297431265,-34748.433879821096,5254.1189297431265,-24240.19602034008,-24240.19602034008
28,scenario_64,28665.435068393672,843010.264186838,28665.435068393672,900341.1343236254,27596.16297489777,836825.8533817449,27596.16297489777,892018.1793315405,1069.2720934958998,6184.410805093008,1069.2720934958998,8322.95499208488,2722299.861994429,108891994.4797772,1719926.1041036204,50580615.851210274,1719926.1041036204,54020468.05941752,1655769.778493866,50209551.202904694,1655769.778493866,53521090.75989243,64156.325609753985,371064.6483055805,64156.325609753985,499377.2995250928,499377.2995250928
109,scenario_64,28665.435068393672,843010.264186838,28665.435068393672,900341.1343236254,28020.577550501654,900021.7331540599,28020.57755050165,956062.8882550632,644.8575178920182,-57011.46896722191,644.8575178920219,-55721.75393143785,-18225657.01507446,-729026280.6029785,1719926.1041036204,50580615.851210274,1719926.1041036204,54020468.05941752,1681234.653030099,54001303.98924359,1681234.6530300989,57363773.29530379,38691.45107352109,-3420688.1380333146,38691.45107352131,-3343305.235886271,-3343305.235886271
254,scenario_64,28665.435068393672,843010.264186838,28665.435068393672,900341.1343236254,26112.470401543746,734521.966324875,26112.470401543746,786746.9071279626,2552.9646668499263,108488.29786196291,2552.9646668499263,113594.2271956628,37154778.47858137,1486191139.1432548,1719926.1041036204,50580615.851210274,1719926.1041036204,54020468.05941752,1566748.2240926246,44071317.9794925,1566748.2240926246,47204814.42767775,153177.88001099558,6509297.871717775,153177.88001099558,6815653.631739767,6815653.631739767
267,scenario_64,28665.435068393672,843010.264186838,28665.435068393672,900341.1343236254,28577.866419221577,843701.0384804829,28577.86641922158,900856.771318926,87.56864917209532,-690.7742936449358,87.56864917209168,-515.636995300767,-168656.2672129592,-6746250.688518369,1719926.1041036204,50580615.851210274,1719926.1041036204,54020468.05941752,1714671.9851532946,50622062.30882897,1714671.9851532949,54051406.27913556,5254.118950325719,-41446.45761869615,5254.118950325501,-30938.21971804602,-30938.21971804602
28,scenario_70,28665.435074543988,502775.8179659085,28665.43507454399,560106.6881149965,27596.16298059712,504787.6174880607,27596.16298059712,559979.943449255,1069.2720939468672,-2011.799522152287,1069.2720939468743,126.74466574157124,41456.06775297225,1658242.71011889,1719926.1044726393,30166549.07795451,1719926.1044726395,33606401.28689979,1655769.7788358273,30287257.049283642,1655769.7788358273,33598796.6069553,64156.325636812035,-120707.97132913722,64156.32563681246,7604.679944494274,7604.679944494274
109,scenario_70,28665.435074543988,502775.8179659085,28665.43507454399,560106.6881149965,28020.57755635289,530200.062237964,28020.57755635289,586241.2173506699,644.8575181910928,-27424.24427205557,644.8575181910965,-26134.52923567337,-8548168.937501498,-341926757.5000599,1719926.1044726393,30166549.07795451,1719926.1044726395,33606401.28689979,1681234.6533811735,31812003.73427784,1681234.6533811735,35174473.0410402,38691.45109146557,-1645454.6563233342,38691.45109146579,-1568071.7541404022,-1568071.7541404022
254,scenario_70,28665.435074543988,502775.8179659085,28665.43507454399,560106.6881149965,26112.47040714832,456355.2809205333,26112.47040714832,508580.2217348299,2552.9646673956668,46420.53704537515,2552.9646673956704,51526.46638016665,16853448.37851284,674137935.1405137,1719926.1044726393,30166549.07795451,1719926.1044726395,33606401.28689979,1566748.2244288994,27381316.855231997,1566748.2244288994,30514813.304089792,153177.88004374,2785232.222722509,153177.8800437402,3091587.982809999,3091587.982809999
