development,mean_total_tts,median_total_tts,std_total_tts,min_total_tts,max_total_tts,origin_access_savings,network_savings,destination_access_savings,access_savings,origin_access_savings_per_demand,network_savings_per_demand,destination_access_savings_per_demand,access_savings_per_demand,mean_total_tts_per_demand,n_scenarios
670,-4694.968212541775,-3738.639347129385,3590.7813840526455,-8667.097051755758,-1679.1682387401816,942.4693809370486,-6579.9069744158,942.4693809370474,1884.938761874096,0.10028677380561896,-0.6217833281465505,0.10028677380561886,0.2005735476112378,-0.4212097805353192,3
940,-4919.56707528738,-3785.48338766268,3190.1902267570836,-8521.852620187681,-2451.365218011779,259.1724636989723,-5437.912002685247,259.1724636989699,518.3449273979422,0.027578158793750546,-0.5107975745048152,0.027578158793750165,0.055156317587500704,-0.4556412569173193,3
614,-5227.354262093198,-4035.35440968466,3379.2298652518407,-9041.04695581016,-2605.6614207847742,130.24694294356837,-5487.848147980209,130.24694294356595,260.49388588713435,0.013859384681414446,-0.5120249778761119,0.013859384681414186,0.027718769362828632,-0.4843062085132934,3
935,-5971.467477339863,-4637.217549735797,3846.375931904524,-10307.303476035597,-2969.881406248198,186.1313036695392,-6343.730084678857,186.13130366953797,372.2626073390772,0.01980595689851274,-0.5929961251046354,0.01980595689851261,0.039611913797025354,-0.5533842113076158,3
791,-6246.496111702446,-5061.009195718914,3339.9530012232617,-10017.486197853228,-3660.9929415351935,246.48697305202106,-6739.470057806505,246.48697305202222,492.97394610404325,0.02622831446221403,-0.6460964754899744,0.026228314462214075,0.052456628924428095,-0.5936398465655428,3
809,-6634.141159183229,-5372.61344934674,3580.8770199817795,-10675.050335084088,-3854.75969311886,265.6574151211462,-7165.45598942542,265.657415121145,531.3148302422911,0.028268212866853534,-0.6862332206207674,0.028268212866853364,0.056536425733706895,-0.6296967948870682,3
878,-6987.049782614379,-5497.932583325775,3696.06544899773,-11195.392047322355,-4267.824717195006,42.303496155781126,-7071.6567749257665,42.3034961557787,84.60699231155984,0.004501452494493495,-0.6752191850520539,0.004501452494493235,0.00900290498898673,-0.6662162800630822,3
546,-7662.853238289749,-5915.897610595566,4814.394166409044,-13106.834384999003,-3965.827719274676,107.95603127078842,-7878.765300831331,107.95603127079085,215.91206254157927,0.011487441721298147,-0.7362409977248925,0.011487441721298362,0.022974883442596506,-0.7132661142822952,3
394,-7773.928056158203,-6161.7898690945,5821.235760905069,-14231.328287873184,-2928.6660115069244,711.3686611441093,-9196.665378446458,711.368661144108,1422.7373222882172,0.07569568779761748,-0.8518879725167494,0.07569568779761736,0.15139137559523486,-0.7004965969215095,3
726,-8319.911160104442,-6141.503010696033,5702.396352541994,-14790.400175455026,-4027.830294162268,303.64951764553433,-8927.210195395513,303.64951764553433,607.2990352910687,0.03231089636816755,-0.8297849168104614,0.03231089636816755,0.0646217927363351,-0.7651631240741255,3
628,-8840.624982329513,-6569.8726932338905,6153.646259162052,-15806.963767305948,-4145.038486448699,259.09285773478405,-9358.810697798966,259.0928577347816,518.1857154695657,0.027569688036078233,-0.8655993755869561,0.027569688036077972,0.05513937607215621,-0.8104599995148071,3
831,-9287.781024285126,-6914.471296058036,6453.238156835415,-16591.611168645555,-4357.260608151788,279.9170068176645,-9847.615037920341,279.9170068176645,559.834013635329,0.02978555496078186,-0.9112115044455226,0.02978555496078186,0.05957110992156372,-0.8516403945239682,3
678,-10408.414722212396,-8569.642522218404,6709.672283259873,-17845.76751022972,-4809.834134189063,-290.133730858488,-9828.147260495423,-290.1337308584904,-580.2674617169783,-0.030872701427404867,-0.899634644116586,-0.03087270142740521,-0.06174540285481008,-0.9613800469713967,3
