development,score_id,value,value_mode,development_label,value_mio_chf,plot_order
202,road_land_consumption_cost,-80404.65128737352,standalone_annual_proxy,202,-0.08040465128737352,86
202,road_maint_cost,-2581793.9789130255,standalone_annual_proxy,202,-2.5817939789130255,86
202,road_noise_cost,-6140122.291736708,standalone_annual_proxy,202,-6.140122291736708,86
202,road_tts_cost,-2113735.936135334,standalone_annual_proxy,202,-2.113735936135334,86
206,road_accident_cost,,standalone_annual_proxy,206,,30
206,road_airpollution_cost,,standalone_annual_proxy,206,,30
206,road_climate_cost,-156019.52169874072,standalone_annual_proxy,206,-0.15601952169874073,30
206,road_co2_cost,,standalone_annual_proxy,206,,30
206,road_construction_cost,-3573399.2561117746,standalone_annual_proxy,206,-3.5733992561117747,30
206,road_ecological_disruption_cost,-468560.29895958456,standalone_annual_proxy,206,-0.46856029895958456,30
206,road_land_consumption_cost,-5106.553484641387,standalone_annual_proxy,206,-0.005106553484641387,30
206,road_maint_cost,-1953768.115543394,standalone_annual_proxy,206,-1.953768115543394,30
206,road_noise_cost,-27297480.82033637,standalone_annual_proxy,206,-27.29748082033637,30
206,road_tts_cost,78615.64324196512,standalone_annual_proxy,206,0.07861564324196513,30
209,road_accident_cost,,standalone_annual_proxy,209,,25
209,road_airpollution_cost,,standalone_annual_proxy,209,,25
209,road_climate_cost,-399469.5471930178,standalone_annual_proxy,209,-0.3994695471930178,25
209,road_co2_cost,,standalone_annual_proxy,209,,25
209,road_construction_cost,-6342528.892824883,standalone_annual_proxy,209,-6.342528892824883,25
209,road_ecological_disruption_cost,-1241176.2823896154,standalone_annual_proxy,209,-1.2411762823896155,25
209,road_land_consumption_cost,-65234.98730372918,standalone_annual_proxy,209,-0.06523498730372919,25
209,road_maint_cost,-3580073.683422328,standalone_annual_proxy,209,-3.580073683422328,25
209,road_noise_cost,-16020512.078218585,standalone_annual_proxy,209,-16.020512078218584,25
209,road_tts_cost,176725.75054919004,standalone_annual_proxy,209,0.17672575054919004,25
227,road_accident_cost,,standalone_annual_proxy,227,,35
227,road_airpollution_cost,,standalone_annual_proxy,227,,35
227,road_climate_cost,-134172.47972749203,standalone_annual_proxy,227,-0.13417247972749202,35
227,road_co2_cost,,standalone_annual_proxy,227,,35
227,road_construction_cost,-4020969.2679245314,standalone_annual_proxy,227,-4.0209692679245315,35
227,road_ecological_disruption_cost,-233992.0589854638,standalone_annual_proxy,227,-0.2339920589854638,35
227,road_land_consumption_cost,-25237.759822066037,standalone_annual_proxy,227,-0.025237759822066035,35
227,road_maint_cost,-2270500.8357484313,standalone_annual_proxy,227,-2.270500835748431,35
227,road_noise_cost,-3562701.834830711,standalone_annual_proxy,227,-3.5627018348307113,35
227,road_tts_cost,50760.500740016134,standalone_annual_proxy,227,0.05076050074001613,35
233,road_accident_cost,,standalone_annual_proxy,233,,54
233,road_airpollution_cost,,standalone_annual_proxy,233,,54
233,road_climate_cost,-138633.91150894307,standalone_annual_proxy,233,-0.13863391150894308,54
233,road_co2_cost,,standalone_annual_proxy,233,,54
233,road_construction_cost,-3450677.4176571323,standalone_annual_proxy,233,-3.450677417657132,54
233,road_ecological_disruption_cost,-418911.3388511013,standalone_annual_proxy,233,-0.41891133885110127,54
233,road_land_consumption_cost,-5449.497720197919,standalone_annual_proxy,233,-0.005449497720197919,54
233,road_maint_cost,-1866227.8941063904,standalone_annual_proxy,233,-1.8662278941063903,54
233,road_noise_cost,-21628804.89514859,standalone_annual_proxy,233,-21.62880489514859,54
233,road_tts_cost,-261824.7306119177,standalone_annual_proxy,233,-0.2618247306119177,54
240,road_accident_cost,,standalone_annual_proxy,240,,40
240,road_airpollution_cost,,standalone_annual_proxy,240,,40
240,road_climate_cost,-154377.49251093605,standalone_annual_proxy,240,-0.15437749251093605,40
240,road_co2_cost,,standalone_annual_proxy,240,,40
240,road_construction_cost,-4510707.737560133,standalone_annual_proxy,240,-4.510707737560134,40
240,road_ecological_disruption_cost,-192378.28103611217,standalone_annual_proxy,240,-0.19237828103611215,40
240,road_land_consumption_cost,-18747.309233990447,standalone_annual_proxy,240,-0.018747309233990445,40
240,road_maint_cost,-2618383.4795429665,standalone_annual_proxy,240,-2.6183834795429664,40
240,road_noise_cost,-6680191.851597967,standalone_annual_proxy,240,-6.680191851597967,40
240,road_tts_cost,-964.1680155875702,standalone_annual_proxy,240,-0.0009641680155875701,40
