development,scenario,delta_vkm_peak_hour,delta_vkm_peak_hour_new_link,delta_vkm_peak_hour_existing_network,delta_vkm_peak_hour_noise_relevant,road_accident_cost_annual,road_airpollution_cost_annual,road_co2_cost_annual,road_noise_cost_annual,road_land_consumption_cost,pop_50m_sum,empl_50m_sum,mean_surface_share,mean_settlement_buffer_share,mean_noise_relevant_share,delta_vkm_annualized,delta_vkm_annualized_noise_relevant
28,scenario_19,19770.70234983703,24123.109172909397,-4352.406823072369,851.8555310956123,1043028.1158435898,230081.54859622844,260108.30279004335,7932.904633327891,371299.54841624544,7800.43437912368,6280.009023309961,0.8051985648566911,0.3287851009002104,0.2606650903917912,12356688.968648143,532409.7069347576
28,scenario_26,8956.680707850799,10934.681353437863,-1978.0006455870653,384.2028360524754,472520.8865935537,104233.37173761368,117836.33056266209,3577.8889107386767,371299.54841624544,7800.43437912368,6280.009023309961,0.8051985648566911,0.3287851009002104,0.2606650903917912,5597925.442406749,240126.77253279713
28,scenario_44,15132.019689917905,18471.66984051748,-3339.650150599577,650.0600051797435,798308.6137662313,176098.8791414196,199080.6340454824,6053.683798236361,371299.54841624544,7800.43437912368,6280.009023309961,0.8051985648566911,0.3287851009002104,0.2606650903917912,9457512.30619869,406287.50323733967
28,scenario_64,18741.32481008924,22882.65543606756,-4141.330625978318,804.3713223482421,988722.0170122704,218102.16747741355,246565.55453273657,7490.707939368005,371299.54841624544,7800.43437912368,6280.009023309961,0.8051985648566911,0.3287851009002104,0.2606650903917912,11713328.006305777,502732.0764676513
28,scenario_70,12360.597886147008,15083.830219387854,-2723.2323332408464,531.7848799101175,652098.792231043,143846.4579000358,162619.11593962158,4952.246694162972,371299.54841624544,7800.43437912368,6280.009023309961,0.8051985648566911,0.3287851009002104,0.2606650903917912,7725373.67884188,332365.5499438234
28,scenario_75,15163.65110703803,18511.610210504616,-3347.9591034665855,651.1611336939893,799977.368715675,176466.98975815508,199496.78487696903,6063.938057525276,371299.54841624544,7800.43437912368,6280.009023309961,0.8051985648566911,0.3287851009002104,0.2606650903917912,9477281.941898769,406975.7085587433
28,scenario_78,20542.925094296257,25076.483538420776,-4533.558444124518,882.9805025508391,1083767.692005967,239068.2907848727,270267.85827183514,8222.755930004687,371299.54841624544,7800.43437912368,6280.009023309961,0.8051985648566911,0.3287851009002104,0.2606650903917912,12839328.18393516,551862.8140942744
28,scenario_89,12677.404806925342,15478.873395618286,-2801.468588692944,543.7651626728311,668812.3373453551,147533.29844059367,166787.10699111153,5063.81307739074,371299.54841624544,7800.43437912368,6280.009023309961,0.8051985648566911,0.3287851009002104,0.2606650903917912,7923378.004328338,339853.22667051945
28,scenario_96,13458.445585551988,16434.597096526406,-2976.151510974418,576.9062661674119,710017.1199227769,156622.66050186125,177062.6747349183,5372.439603684023,371299.54841624544,7800.43437912368,6280.009023309961,0.8051985648566911,0.3287851009002104,0.2606650903917912,8411528.490969993,360566.4163546324
57,scenario_100,293.4155769218935,1595.7936896196588,-1302.3781126977651,145.5156737765297,15479.505529985649,3414.623776428538,3860.248683878661,1355.1147120439327,75704.86714302222,7323.867608512848,5560.613464898068,0.8069739402204477,0.3294344812665971,0.2615751308461336,183384.73557618345,90947.29611033108
57,scenario_19,427.7733503463221,2406.8131108938246,-1979.0397605475027,215.15094035728077,22567.71781420817,4978.212364655326,5627.893140493801,2003.593132077177,75704.86714302222,7323.867608512848,5560.613464898068,0.8069739402204477,0.3294344812665971,0.2615751308461336,267358.3439664513,134469.33772330047
57,scenario_26,216.33757311700208,1089.6435164226957,-873.3059433056934,104.13748346825678,11413.15909175384,2517.628507149113,2846.1911963205566,969.780314798141,75704.86714302222,7323.867608512848,5560.613464898068,0.8069739402204477,0.3294344812665971,0.2615751308461336,135210.9831981263,65085.92716766048
57,scenario_44,332.51942677004104,1843.1858046465136,-1510.6663778764723,166.21807871502926,17542.478008536986,3869.6948290363503,4374.708708443355,1547.9058580337105,75704.86714302222,7323.867608512848,5560.613464898068,0.8069739402204477,0.3294344812665971,0.2615751308461336,207824.64173127565,103886.29919689328
57,scenario_64,404.95112631731695,2285.4874215049335,-1880.5362951876168,204.14732172266324,21363.702857777927,4712.618732517774,5327.638255612197,1901.121933542301,75704.86714302222,7323.867608512848,5560.613464898068,0.8069739402204477,0.3294344812665971,0.2615751308461336,253094.4539483231,127592.07607666453
57,scenario_70,279.7616748074297,1503.6172478728456,-1223.8555730654157,138.01644331747735,14759.176856559468,3255.7264905714637,3680.61453418525,1285.2781283940085,75704.86714302222,7323.867608512848,5560.613464898068,0.8069739402204477,0.3294344812665971,0.2615751308461336,174851.04675464355,86260.27707342335
57,scenario_75,333.0876000215983,1847.238252717204,-1514.1506526956057,166.55092401228802,17572.45269863945,3876.306945251352,4382.183737784151,1551.005479864432,75704.86714302222,7323.867608512848,5560.613464898068,0.8069739402204477,0.3294344812665971,0.2615751308461336,208179.75001349897,104094.32750768002
57,scenario_78,443.0105341993567,2503.994270339708,-2060.983736140351,223.44493103467343,23371.57449485484,5155.535091745016,5828.357340560291,2080.830920260397,75704.86714302222,7323.867608512848,5560.613464898068,0.8069739402204477,0.3294344812665971,0.2615751308461336,276881.5838745979,139653.0818966709
57,scenario_89,284.97873012053583,1544.518556163919,-1259.539826043383,141.1939939558012,15034.409130921516,3316.439971777738,3749.251418148302,1314.8690687133983,75704.86714302222,7323.867608512848,5560.613464898068,0.8069739402204477,0.3294344812665971,0.2615751308461336,178111.7063253349,88246.24622237575
57,scenario_96,299.5778209676762,1640.4442108257158,-1340.8663898580398,149.08311279383324,15804.602417425966,3486.3368915113297,3941.320707105991,1388.3364878925718,75704.86714302222,7323.867608512848,5560.613464898068,0.8069739402204477,0.3294344812665971,0.2615751308461336,187236.13810479763,93176.94549614577
