development,scenario,tts_minutes,component
873,scenario_44,-16604.80182174535,total
878,scenario_44,-3904.4592977827415,total
887,scenario_44,-8672.26647611626,total
895,scenario_44,-15005.570510777065,total
935,scenario_44,-2930.3914501835825,total
938,scenario_44,6119.194514652598,total
940,scenario_44,-2517.2820602204883,total
945,scenario_44,-22559.791747135227,total
952,scenario_44,-15440.409538859269,total
958,scenario_44,819.4531369165052,total
964,scenario_44,120.11443247832358,total
970,scenario_44,-5135.724300964852,total
971,scenario_44,-235.0493985855719,total
987,scenario_44,-113.9567680992186,total
0,scenario_64,15287.923208909691,total
2,scenario_64,-27518.744330389654,total
12,scenario_64,-93.57802723068744,total
15,scenario_64,10907.144863715628,total
17,scenario_64,-5138.85637715261,total
25,scenario_64,-31424.322861947352,total
27,scenario_64,-29435.715084544965,total
28,scenario_64,4415.326216092217,total
57,scenario_64,8239.975815943326,total
62,scenario_64,2826.7066000850173,total
63,scenario_64,-32590.58861076273,total
73,scenario_64,-14912.86472227564,total
90,scenario_64,425.5956540912157,total
94,scenario_64,487.94532527576666,total
103,scenario_64,-29125.146728336695,total
104,scenario_64,333.1288630326744,total
109,scenario_64,-60652.946942416485,total
114,scenario_64,-1476.403911535046,total
126,scenario_64,-33537.80958470912,total
140,scenario_64,-683.473107431666,total
143,scenario_64,-84.661760441144,total
144,scenario_64,-24741.4767213664,total
150,scenario_64,-26331.721919086296,total
176,scenario_64,9557.189086904982,total
177,scenario_64,920.9342644705904,total
195,scenario_64,-25374.415778597584,total
197,scenario_64,-2511.142525385716,total
201,scenario_64,-32274.26007595344,total
202,scenario_64,-12054.159526565694,total
206,scenario_64,617.6862186185317,total
209,scenario_64,2188.6474753739312,total
227,scenario_64,264.891019263654,total
233,scenario_64,-1371.8517237028573,total
240,scenario_64,27.540552833117545,total
243,scenario_64,-14865.581264710983,total
245,scenario_64,-28070.086812734953,total
249,scenario_64,-30882.825764528126,total
250,scenario_64,1371.6293607254047,total
255,scenario_64,-2945.5464604625013,total
261,scenario_64,-13395.986175267026,total
267,scenario_64,69.19897391728591,total
270,scenario_64,-2663.7264309807215,total
273,scenario_64,295.5950293930946,total
277,scenario_64,-19281.514626628952,total
284,scenario_64,-1627.9142472655512,total
285,scenario_64,-30328.97629821766,total
289,scenario_64,-29597.54356384056,total
308,scenario_64,-2333.850284834509,total
331,scenario_64,-34406.96421592543,total
334,scenario_64,22411.94602746365,total
348,scenario_64,-33270.96814182913,total
351,scenario_64,-55564.57017551921,total
