mode,development,scenario,tts_annual_chf,cost_annual_chf_negative,cost_annual_chf_magnitude,bcr
Rail,100000,scenario_70,4168100.7331793862,-1329118.6567644724,1329118.6567644724,3.135988432609895
Rail,100000,scenario_71,5884636.920894483,-1329118.6567644724,1329118.6567644724,4.427472965596386
Rail,100000,scenario_72,3187028.0031027505,-1329118.6567644724,1329118.6567644724,2.3978506259637213
Rail,100000,scenario_73,3183385.9341385523,-1329118.6567644724,1329118.6567644724,2.3951104124051636
Rail,100000,scenario_74,6366537.776124347,-1329118.6567644724,1329118.6567644724,4.79004469896064
Rail,100000,scenario_75,5717455.730385159,-1329118.6567644724,1329118.6567644724,4.301689470151141
Rail,100000,scenario_76,5155023.940361264,-1329118.6567644724,1329118.6567644724,3.878528011118547
Rail,100000,scenario_77,6514600.546541737,-1329118.6567644724,1329118.6567644724,4.901443910508709
Rail,100000,scenario_78,8917573.426411098,-1329118.6567644724,1329118.6567644724,6.709388496674563
Rail,100000,scenario_79,6670160.711906737,-1329118.6567644724,1329118.6567644724,5.018483999121779
Rail,100000,scenario_8,4838091.937057193,-1329118.6567644724,1329118.6567644724,3.640075257716085
Rail,100000,scenario_80,11105907.436486848,-1329118.6567644724,1329118.6567644724,8.355843460599981
Rail,100000,scenario_81,5944270.161336802,-1329118.6567644724,1329118.6567644724,4.472339720072233
Rail,100000,scenario_82,7242185.255031059,-1329118.6567644724,1329118.6567644724,5.448862837168357
Rail,100000,scenario_83,5238377.833820928,-1329118.6567644724,1329118.6567644724,3.9412416695533596
Rail,100000,scenario_84,5334732.76037762,-1329118.6567644724,1329118.6567644724,4.013737022820955
Rail,100000,scenario_85,5045501.502745175,-1329118.6567644724,1329118.6567644724,3.796125708616298
Rail,100000,scenario_86,7283437.157062023,-1329118.6567644724,1329118.6567644724,5.47989987198915
Rail,100000,scenario_87,6656439.849334203,-1329118.6567644724,1329118.6567644724,5.008160720231138
Rail,100000,scenario_88,5072942.243762963,-1329118.6567644724,1329118.6567644724,3.816771525961597
Rail,100000,scenario_89,5445902.809909447,-1329118.6567644724,1329118.6567644724,4.097378952731451
Rail,100000,scenario_9,7950140.184882568,-1329118.6567644724,1329118.6567644724,5.98151274487104
Rail,100000,scenario_90,5536133.24557989,-1329118.6567644724,1329118.6567644724,4.16526637212115
Rail,100000,scenario_91,7484521.810279925,-1329118.6567644724,1329118.6567644724,5.631191596166291
Rail,100000,scenario_92,5368321.316251692,-1329118.6567644724,1329118.6567644724,4.039008322492452
Rail,100000,scenario_93,5790965.241007029,-1329118.6567644724,1329118.6567644724,4.356996428824655
Rail,100000,scenario_94,10570598.092002189,-1329118.6567644724,1329118.6567644724,7.953088340310131
Rail,100000,scenario_95,8321855.163964423,-1329118.6567644724,1329118.6567644724,6.261183018995951
Rail,100000,scenario_96,8100872.505934856,-1329118.6567644724,1329118.6567644724,6.094920468316305
Rail,100000,scenario_97,9265630.02057182,-1329118.6567644724,1329118.6567644724,6.97125871600322
Rail,100000,scenario_98,7927224.909309908,-1329118.6567644724,1329118.6567644724,5.964271789403268
