mode,development,scenario,score_id,value_mode,annual_value
Rail,100000,scenario_30,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_30,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_30,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_30,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_30,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_30,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_30,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_30,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_30,rail_tts_cost,standalone_annual_proxy,5358250.914831433
Rail,100000,scenario_31,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_31,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_31,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_31,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_31,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_31,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_31,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_31,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_31,rail_tts_cost,standalone_annual_proxy,4944682.621868719
Rail,100000,scenario_32,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_32,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_32,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_32,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_32,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_32,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_32,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_32,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_32,rail_tts_cost,standalone_annual_proxy,7126729.359687669
Rail,100000,scenario_33,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_33,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_33,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_33,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_33,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_33,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_33,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_33,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_33,rail_tts_cost,standalone_annual_proxy,4434149.055407162
Rail,100000,scenario_34,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_34,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_34,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_34,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_34,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_34,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_34,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_34,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_34,rail_tts_cost,standalone_annual_proxy,5968930.91788041
Rail,100000,scenario_35,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_35,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_35,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_35,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_35,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_35,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_35,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_35,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_35,rail_tts_cost,standalone_annual_proxy,5191925.4204402175
Rail,100000,scenario_36,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_36,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_36,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_36,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_36,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_36,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_36,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_36,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_36,rail_tts_cost,standalone_annual_proxy,5840363.188465287
Rail,100000,scenario_37,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_37,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_37,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_37,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_37,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_37,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_37,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_37,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_37,rail_tts_cost,standalone_annual_proxy,6462546.365105012
Rail,100000,scenario_38,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_38,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_38,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_38,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_38,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_38,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_38,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_38,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_38,rail_tts_cost,standalone_annual_proxy,4927214.514393641
Rail,100000,scenario_39,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_39,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_39,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_39,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_39,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_39,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_39,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_39,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_39,rail_tts_cost,standalone_annual_proxy,5149863.669082595
