development,score_id,value,value_mode,development_label,value_mio_chf,plot_order
101016,rail_maint_cost,549000.0,standalone_annual_proxy,X16 (101016),0.549,8
101016,rail_noise_cost,,standalone_annual_proxy,X16 (101016),,8
101016,rail_operation_cost,1845066.0495133616,standalone_annual_proxy,X16 (101016),1.8450660495133617,8
101016,rail_tts_cost,8599628.659387724,standalone_annual_proxy,X16 (101016),8.599628659387724,8
101017,rail_accident_cost,,standalone_annual_proxy,X17 (101017),,27
101017,rail_airpollution_cost,,standalone_annual_proxy,X17 (101017),,27
101017,rail_co2_cost,,standalone_annual_proxy,X17 (101017),,27
101017,rail_construction_cost,1583300.0,standalone_annual_proxy,X17 (101017),1.5833,27
101017,rail_land_consumption_cost,,standalone_annual_proxy,X17 (101017),,27
101017,rail_maint_cost,1234974.0,standalone_annual_proxy,X17 (101017),1.234974,27
101017,rail_noise_cost,,standalone_annual_proxy,X17 (101017),,27
101017,rail_operation_cost,9328074.887254942,standalone_annual_proxy,X17 (101017),9.328074887254942,27
101017,rail_tts_cost,2985723.214400358,standalone_annual_proxy,X17 (101017),2.985723214400358,27
101018,rail_accident_cost,,standalone_annual_proxy,X18 (101018),,35
101018,rail_airpollution_cost,,standalone_annual_proxy,X18 (101018),,35
101018,rail_co2_cost,,standalone_annual_proxy,X18 (101018),,35
101018,rail_construction_cost,1583300.0,standalone_annual_proxy,X18 (101018),1.5833,35
101018,rail_land_consumption_cost,,standalone_annual_proxy,X18 (101018),,35
101018,rail_maint_cost,1234974.0,standalone_annual_proxy,X18 (101018),1.234974,35
101018,rail_noise_cost,,standalone_annual_proxy,X18 (101018),,35
101018,rail_operation_cost,8422318.666801453,standalone_annual_proxy,X18 (101018),8.422318666801452,35
101018,rail_tts_cost,285658.0082181062,standalone_annual_proxy,X18 (101018),0.28565800821810616,35
101019,rail_accident_cost,,standalone_annual_proxy,X19 (101019),,37
101019,rail_airpollution_cost,,standalone_annual_proxy,X19 (101019),,37
101019,rail_co2_cost,,standalone_annual_proxy,X19 (101019),,37
101019,rail_construction_cost,1583300.0,standalone_annual_proxy,X19 (101019),1.5833,37
101019,rail_land_consumption_cost,,standalone_annual_proxy,X19 (101019),,37
101019,rail_maint_cost,1234974.0,standalone_annual_proxy,X19 (101019),1.234974,37
101019,rail_noise_cost,,standalone_annual_proxy,X19 (101019),,37
101019,rail_operation_cost,12379848.634120692,standalone_annual_proxy,X19 (101019),12.379848634120691,37
101019,rail_tts_cost,175830.36224226732,standalone_annual_proxy,X19 (101019),0.17583036224226734,37
101020,rail_accident_cost,,standalone_annual_proxy,X20 (101020),,26
101020,rail_airpollution_cost,,standalone_annual_proxy,X20 (101020),,26
101020,rail_co2_cost,,standalone_annual_proxy,X20 (101020),,26
101020,rail_construction_cost,1583300.0,standalone_annual_proxy,X20 (101020),1.5833,26
101020,rail_land_consumption_cost,,standalone_annual_proxy,X20 (101020),,26
101020,rail_maint_cost,1234974.0,standalone_annual_proxy,X20 (101020),1.234974,26
101020,rail_noise_cost,,standalone_annual_proxy,X20 (101020),,26
101020,rail_operation_cost,12074664.945059828,standalone_annual_proxy,X20 (101020),12.074664945059828,26
101020,rail_tts_cost,3024918.6464287424,standalone_annual_proxy,X20 (101020),3.0249186464287425,26
101021,rail_accident_cost,,standalone_annual_proxy,X21 (101021),,28
101021,rail_airpollution_cost,,standalone_annual_proxy,X21 (101021),,28
101021,rail_co2_cost,,standalone_annual_proxy,X21 (101021),,28
101021,rail_construction_cost,1583300.0,standalone_annual_proxy,X21 (101021),1.5833,28
101021,rail_land_consumption_cost,,standalone_annual_proxy,X21 (101021),,28
101021,rail_maint_cost,1234974.0,standalone_annual_proxy,X21 (101021),1.234974,28
101021,rail_noise_cost,,standalone_annual_proxy,X21 (101021),,28
101021,rail_operation_cost,14349670.091337211,standalone_annual_proxy,X21 (101021),14.349670091337211,28
