scenario,rank,net_benefit_mio_chf
scenario_29,8,-3883.8273982220726
scenario_29,9,-3829.647195542991
scenario_29,10,-3806.256401272942
scenario_29,11,-3673.517287166876
scenario_29,12,-3609.9521191378976
scenario_29,13,-3579.8774763965484
scenario_29,14,-3311.80032112913
scenario_29,15,-3220.288155765915
scenario_29,16,-3206.6380411174155
scenario_29,17,-3136.002073581439
scenario_29,18,-3085.777788305209
scenario_29,19,-3067.7439683375833
scenario_29,20,-3028.54901231974
scenario_29,21,-2982.9110941845465
scenario_29,22,-2907.549496114527
scenario_29,23,-2764.289108844926
scenario_29,24,-2690.5562389228257
scenario_29,25,-2605.3342028092297
scenario_29,26,-2494.756367392801
scenario_29,27,-2430.0464436051598
scenario_29,28,-2359.714764292984
scenario_29,29,-2303.9872719196283
scenario_29,30,-2225.296584393796
scenario_29,31,-2099.808624744368
scenario_29,32,-2099.7026921198003
scenario_29,33,-2061.3191724559024
scenario_29,34,-2026.7963650639194
scenario_29,35,-2012.2456310393177
scenario_29,36,-1785.0150235312638
scenario_29,37,-1741.0451542044314
scenario_29,38,-1734.589203521545
scenario_29,39,-1715.7935140689874
scenario_29,40,-1713.6747453550588
scenario_29,41,-1686.317128992458
scenario_29,42,-1666.371521704374
scenario_29,43,-1624.0121638558228
scenario_29,44,-1610.9908701388883
scenario_29,45,-1607.720096639038
scenario_29,46,-1569.964090762176
scenario_29,47,-1544.3283921104853
scenario_29,48,-1544.1100586943992
scenario_29,49,-1502.8347359451177
scenario_29,50,-1467.9819293404391
scenario_29,51,-1460.9222481753197
scenario_29,52,-1456.429147389821
scenario_29,53,-1454.9802931243626
scenario_29,54,-1450.728804455335
scenario_29,55,-1440.731045169611
scenario_29,56,-1429.6128407435092
scenario_29,57,-1409.0021591542925
scenario_29,58,-1408.9865006836758
scenario_29,59,-1399.10207399851
scenario_29,60,-1353.2570902591247
scenario_29,61,-1351.576785282926
scenario_29,62,-1348.7313881168093
scenario_29,63,-1346.017453346485
scenario_29,64,-1307.8999030774742
scenario_29,65,-1268.9834862605642
scenario_29,66,-1241.8326000044692
scenario_29,67,-1239.084158548561
scenario_29,68,-1234.0681917348243
scenario_29,69,-1222.7135600921154
scenario_29,70,-1214.0520493868244
scenario_29,71,-1212.7428493861803
scenario_29,72,-1208.9038078229685
scenario_29,73,-1206.4088953263704
scenario_29,74,-1172.7579509891405
scenario_29,75,-1136.094737503815
scenario_29,76,-1132.625924709982
scenario_29,77,-1126.933566313826
scenario_29,78,-1109.7965831391168
scenario_29,79,-1108.444007387754
scenario_29,80,-1102.2728226692361
scenario_29,81,-1091.6317504017918
scenario_29,82,-1084.2086835264752
scenario_29,83,-1065.6753303181604
scenario_29,84,-1031.661877299122
scenario_29,85,-1030.9933132508465
scenario_29,86,-1018.4097485650084
scenario_29,87,-1012.6883273090748
scenario_29,88,-996.7672741840702
scenario_29,89,-975.6046972220732
scenario_29,90,-969.9739128817287
scenario_29,91,-958.9519098696236
scenario_29,92,-953.8092881776952
scenario_29,93,-944.7750230322328
scenario_29,94,-921.7045995701764
scenario_29,95,-878.608279907583
scenario_29,96,-878.5692673333848
scenario_29,97,-863.5725180881636
scenario_29,98,-836.0571125717041
scenario_29,99,-815.3659029319969
scenario_29,100,-783.7907751191402
scenario_29,101,-767.0080543801448
scenario_29,102,-705.254751734019
scenario_29,103,-701.5265666626867
scenario_29,104,-683.8889630283811
scenario_29,105,-677.1469142696828
scenario_29,106,-661.7106815872767
scenario_29,107,-658.9040540502323
scenario_29,108,-653.1753302221608
scenario_29,109,-650.1012552317853
scenario_29,110,-646.376463599927
scenario_29,111,-632.4791584216342
scenario_29,112,-626.3915530498376
scenario_29,113,-594.9993394142722
scenario_29,114,-593.1080622349484
scenario_29,115,-573.9049827654828
scenario_29,116,-551.9310569907656
scenario_29,117,-540.2208082435287
scenario_29,118,-539.809303753096
scenario_29,119,-538.1352317797164
scenario_29,120,-532.7712057902611
scenario_29,121,-516.7365635191214
scenario_29,122,-508.7761758968997
scenario_29,123,-507.6698950212149
scenario_29,124,-475.4768788440507
scenario_29,125,-475.4133365380288
scenario_29,126,-474.89164933216915
scenario_29,127,-472.2845157255069
scenario_29,128,-457.30964225361225
