development,scenario,status_quo_origin_access_tt,status_quo_network_tt,status_quo_destination_access_tt,status_quo_total_tt,development_origin_access_tt,development_network_tt,development_destination_access_tt,development_total_tt,origin_access_savings,network_savings,destination_access_savings,tt_savings_peak,monetized_savings_yearly,monetized_savings,access_savings,total_tts,network_share,total_tts_mmin,network_savings_mmin,access_savings_mmin
750,scenario_36,28665.435073392306,1115900.49514917,28665.4350733923,1173231.3652959545,27765.899981278737,1162905.171833403,27765.899981278737,1218436.9717959603,899.535092113565,-47004.676684232894,899.5350921135614,-45205.606500005815,-14786000.4593769,-591440018.375076,1799.0701842271264,-45205.606500005815,1.0397975013171619,-0.04520560650000582,-0.047004676684232895,0.0017990701842271264
775,scenario_36,28665.435073392306,1115900.49514917,28665.4350733923,1173231.3652959545,27964.501107523123,1167109.3186339778,27964.501107523127,1223038.3208490242,700.9339658691788,-51208.82348480774,700.9339658691715,-49806.95555306971,-16291025.045483217,-651641001.8193287,1401.8679317383503,-49806.95555306971,1.0281460273203074,-0.04980695555306971,-0.05120882348480774,0.0014018679317383503
789,scenario_36,28665.435073392306,1115900.49514917,28665.4350733923,1173231.3652959545,27095.017101377096,1142816.630409754,27095.017101377096,1197006.664612508,1570.417972015206,-26916.135260584066,1570.4179720152024,-23775.29931655363,-7776504.151456083,-311060166.05824333,3140.8359440304084,-23775.29931655363,1.1321050011700007,-0.02377529931655363,-0.026916135260584065,0.0031408359440304083
895,scenario_36,28665.435073392306,1115900.49514917,28665.4350733923,1173231.3652959545,27069.665749672808,1150471.1954555265,27069.665749672804,1204610.526954872,1595.7693237194944,-34570.70030635642,1595.7693237194944,-31379.161658917557,-10263600.792604282,-410544031.7041713,3191.538647438989,-31379.161658917557,1.101708856410186,-0.031379161658917555,-0.03457070030635642,0.003191538647438989
2,scenario_38,28665.43506850503,1088745.9071708675,28665.43506850503,1146076.7773078778,26722.975477754924,1118793.119512206,26722.975477754928,1172239.0704677156,1942.459590750106,-30047.2123413384,1942.4595907501025,-26162.293159837835,-8557250.054363625,-342290002.174545,3884.9191815002087,-26162.293159837835,1.148493068163626,-0.026162293159837834,-0.0300472123413384,0.0038849191815002087
103,scenario_38,28665.43506850503,1088745.9071708675,28665.43506850503,1146076.7773078778,26826.881667591777,1119594.806315092,26826.88166759177,1173248.569650276,1838.5534009132532,-30848.89914422459,1838.5534009132607,-27171.792342398083,-8887440.411992706,-355497616.47970825,3677.106801826514,-27171.792342398083,1.1353280915550372,-0.027171792342398082,-0.03084889914422459,0.0036771068018265143
201,scenario_38,28665.43506850503,1088745.9071708675,28665.43506850503,1146076.7773078778,27762.27512856413,1134427.710091025,27762.275128564143,1189952.2603481535,903.1599399408952,-45681.80292015779,903.159939940888,-43875.48304027575,-14350939.244423524,-574037569.7769411,1806.3198798817832,-43875.48304027575,1.0411692306207527,-0.04387548304027575,-0.04568180292015779,0.0018063198798817831
249,scenario_38,28665.43506850503,1088745.9071708675,28665.43506850503,1146076.7773078778,27780.55272949753,1133173.6690115165,27780.552729497525,1188734.7744705114,884.8823390075013,-44427.76184064895,884.8823390075049,-42657.997162633575,-13952719.905278064,-558108796.2111225,1769.7646780150062,-42657.997162633575,1.041487289505603,-0.042657997162633576,-0.04442776184064895,0.0017697646780150062
334,scenario_38,28665.43506850503,1088745.9071708675,28665.43506850503,1146076.7773078778,28288.595193588917,1060304.0617611157,28288.59519358892,1116881.2521482934,376.83987491611697,28441.84540975187,376.8398749161133,29195.52515958436,9549369.68761405,381974787.504562,753.6797498322303,29195.52515958436,0.9741850935815392,0.02919552515958436,0.028441845409751868,0.0007536797498322303
469,scenario_38,28665.43506850503,1088745.9071708675,28665.43506850503,1146076.7773078778,27050.160665142863,1110179.491895339,27050.160665142863,1164279.8132256246,1615.274403362164,-21433.58472447144,1615.274403362164,-18203.035917746834,-5953909.664763027,-238156386.59052107,3230.548806724328,-18203.035917746834,1.177473077640583,-0.018203035917746833,-0.02143358472447144,0.003230548806724328
