run,case_type,development,scenario,od_pairs,total_demand,mean_tt_min_unweighted,median_tt_min_unweighted,p95_tt_min_unweighted,max_tt_min_unweighted,mean_tt_min_weighted,std_tt_min_unweighted
5iter_5scen_4dev_test_1542375,development,28,scenario_78,992,10522.79949059171,64.96692696276689,75.23418681024941,98.30895403239542,106.37629502436373,73.87158224350101,28.631592243983516
8iter_5scen_4dev_test_1547628,status_quo,status_quo,scenario_19,930,10004.725529239464,48.12257405400531,59.139566755820645,76.52135677641785,88.84613935677993,56.42676212805001,24.71833841812347
8iter_5scen_4dev_test_1547628,status_quo,status_quo,scenario_26,930,4540.663259143899,40.89491862843374,44.99219797492688,52.81122576015722,58.87083383914445,40.543064670354376,13.469339428190858
8iter_5scen_4dev_test_1547628,status_quo,status_quo,scenario_44,930,7660.214081615989,44.83022143956764,49.56181132762991,66.4334441212928,75.23199945674112,52.29183322183315,19.006677012360036
8iter_5scen_4dev_test_1547628,status_quo,status_quo,scenario_64,930,9479.923166176046,41.579876408112746,50.78048105913768,67.66874404151572,79.85101584286134,48.89038174870836,22.53973198674903
8iter_5scen_4dev_test_1547628,status_quo,status_quo,scenario_78,930,10391.082934411694,55.2568090627535,68.17291383011451,85.52143850577804,98.27512696941872,64.93648227287386,27.065648224621714
8iter_5scen_4dev_test_1547628,development,109,scenario_19,992,10247.288085326818,52.0042114761581,63.08947252767662,81.21469475014717,93.69284240659871,60.8849085487068,25.62225965197807
8iter_5scen_4dev_test_1547628,development,109,scenario_26,992,4650.643463030267,38.451826813325575,43.802484364702764,52.531982433371084,57.1074345549156,40.73276625336011,13.779852948868651
8iter_5scen_4dev_test_1547628,development,109,scenario_44,992,7845.948471774449,47.173787501051805,51.62436043059827,69.60994656691297,116.09026547678178,54.197504441166934,20.194215131859018
8iter_5scen_4dev_test_1547628,development,109,scenario_64,992,9709.963304356686,42.608797264221636,50.51009952154783,69.32515105292349,81.01524439046591,49.40837912615287,22.54599350188567
8iter_5scen_4dev_test_1547628,development,109,scenario_78,992,10643.1900165677,55.882570587129216,68.74323874085414,87.59346442045138,100.2811601633891,65.74160520659967,27.717592076136263
8iter_5scen_4dev_test_1547628,development,254,scenario_19,930,9406.061138683031,41.80262366336364,51.92461533144609,67.23133031221985,81.08843424496612,49.35135211430384,22.56486780516769
