development,scenario,status_quo_origin_access_tt,status_quo_network_tt,status_quo_destination_access_tt,status_quo_total_tt,development_origin_access_tt,development_network_tt,development_destination_access_tt,development_total_tt,origin_access_savings,network_savings,destination_access_savings,tt_savings_peak,monetized_savings_yearly,monetized_savings,run
267,scenario_44,28665.43507238786,519425.527372594,28665.43507238786,576756.3975173696,28577.866423558808,489925.0593798081,28577.866423558808,547080.7922269257,87.56864882905211,29500.46799278591,87.56864882905211,29675.60529044387,9706395.89708268,388255835.8833072,5iter_5scen_4dev_test_1542375
28,scenario_64,28665.435068393672,571039.8595965696,28665.435068393672,628370.729733357,27596.16297489777,548710.425547621,27596.16297489777,603902.7514974165,1069.2720934958998,22329.434048948577,1069.2720934958998,24467.97823594045,8003067.881338854,320122715.25355417,5iter_5scen_4dev_test_1542375
109,scenario_64,28665.435068393672,571039.8595965696,28665.435068393672,628370.729733357,28020.577550501654,607732.2261134827,28020.57755050165,663773.3812144861,644.8575178920182,-36692.36651691317,644.8575178920219,-35402.65148112911,-11579617.25528598,-463184690.2114392,5iter_5scen_4dev_test_1542375
254,scenario_64,28665.435068393672,571039.8595965696,28665.435068393672,628370.729733357,26112.470401543746,513668.4356355511,26112.470401543746,565893.3764386387,2552.9646668499263,57371.423961018445,2552.9646668499263,62477.35329471831,20435300.97348078,817412038.9392312,5iter_5scen_4dev_test_1542375
267,scenario_64,28665.435068393672,571039.8595965696,28665.435068393672,628370.729733357,28577.866419221577,544579.8941822208,28577.86641922158,601735.627020664,87.56864917209532,26459.96541434876,87.56864917209168,26635.10271269293,8711898.17894331,348475927.1577324,5iter_5scen_4dev_test_1542375
28,scenario_78,28665.43506636572,736078.4226044666,28665.43506636572,793409.2927371981,27596.16297348544,708612.4458998006,27596.162973485432,763804.7718467715,1069.2720928802846,27465.976704665925,1069.2720928802885,29604.52089042659,9683145.37457703,387325814.9830812,5iter_5scen_4dev_test_1542375
109,scenario_78,28665.43506636572,736078.4226044666,28665.43506636572,793409.2927371981,28020.577549127647,767167.8112580486,28020.577549127644,823208.9663563039,644.8575172380733,-31089.38865358208,644.857517238077,-29799.67361910583,-9746976.579582533,-389879063.1833012,5iter_5scen_4dev_test_1542375
254,scenario_78,28665.43506636572,736078.4226044666,28665.43506636572,793409.2927371981,26112.470399258345,586127.97250722,26112.470399258345,638352.9133057366,2552.964667107375,149950.45009724656,2552.964667107375,155056.37943146145,50716357.43904051,2028654297.5616205,5iter_5scen_4dev_test_1542375
267,scenario_78,28665.43506636572,736078.4226044666,28665.43506636572,793409.2927371981,28577.866417209305,710752.9658768375,28577.8664172093,767908.698711256,87.56864915641563,25325.45672762906,87.56864915641927,25500.59402594203,8340819.295985206,333632771.8394082,5iter_5scen_4dev_test_1542375
28,scenario_19,28665.43507365332,527108.1778431139,28665.43507365332,584439.0479904206,27596.162980641533,501126.51014491776,27596.162980641537,556318.8361062009,1069.272093011783,25981.667698196132,1069.2720930117794,28120.211884219665,9197652.637130182,367906105.4852073,8iter_5scen_4dev_test_1547628
109,scenario_19,28665.43507365332,527108.1778431139,28665.43507365332,584439.0479904206,28020.577555922187,581677.2209132762,28020.577555922187,637718.3760251206,644.8575177311286,-54569.0430701623,644.8575177311286,-53279.32803470001,-17426780.211349793,-697071208.4539917,8iter_5scen_4dev_test_1547628
254,scenario_19,28665.43507365332,527108.1778431139,28665.43507365332,584439.0479904206,26112.47040659138,448764.5042986738,26112.470406591376,500989.44511185656,2552.964667061937,78343.67354444007,2552.9646670619404,83449.60287856404,27294974.274863653,1091798970.9945462,8iter_5scen_4dev_test_1547628
267,scenario_19,28665.43507365332,527108.1778431139,28665.43507365332,584439.0479904206,28577.866424341984,500795.576415018,28577.866424341984,557951.309263702,87.56864931133168,26312.60142809595,87.56864931133168,26487.738726718584,8663697.875197537,346547915.0079015,8iter_5scen_4dev_test_1547628
28,scenario_26,28665.435067869967,393886.0852594794,28665.435067869963,451216.9553952193,27596.1629741454,391428.4614035451,27596.1629741454,446620.7873518359,1069.272093724565,2457.623855934304,1069.2720937245613,4596.168043383455,1503329.964190005,60133198.567600206,8iter_5scen_4dev_test_1547628
109,scenario_26,28665.435067869967,393886.0852594794,28665.435067869963,451216.9553952193,28020.577550014328,402313.8925559373,28020.57755001433,458355.0476559659,644.8575178556384,-8427.807296457875,644.8575178556312,-7138.092260746576,-2334751.010285859,-93390040.41143437,8iter_5scen_4dev_test_1547628
254,scenario_26,28665.435067869967,393886.0852594794,28665.435067869963,451216.9553952193,26112.470400992635,361048.7099151194,26112.47040099264,413273.6507171047,2552.964666877331,32837.375344360014,2552.964666877324,37943.304678114655,12410622.5718,496424902.872,8iter_5scen_4dev_test_1547628
267,scenario_26,28665.435067869967,393886.0852594794,28665.435067869963,451216.9553952193,28577.866418752077,387143.0426344466,28577.86641875207,444298.7754719508,87.56864911789307,6743.042625032773,87.56864911789307,6918.179923268559,2262821.3499024245,90512853.99609698,8iter_5scen_4dev_test_1547628
28,scenario_44,28665.43507238786,498731.0323088312,28665.43507238786,556061.902453607,27596.162978194625,555908.446427555,27596.162978194625,611100.7723839444,1069.2720941932348,-57177.41411872383,1069.2720941932348,-55038.869930337416,-18002297.03971453,-720091881.5885812,8iter_5scen_4dev_test_1547628
109,scenario_44,28665.43507238786,498731.0323088312,28665.43507238786,556061.902453607,28020.57755294957,526893.8076469196,28020.57755294957,582934.9627528187,644.8575194382938,-28162.775338088395,644.8575194382938,-26873.060299211764,-8789730.139533848,-351589205.5813539,8iter_5scen_4dev_test_1547628
254,scenario_44,28665.43507238786,498731.0323088312,28665.43507238786,556061.902453607,26112.47040379581,546417.7534708541,26112.47040379581,598642.6942784458,2552.964668592045,-47686.721162022906,2552.964668592045,-42580.791824838845,-13927467.326041035,-557098693.0416415,8iter_5scen_4dev_test_1547628
267,scenario_44,28665.43507238786,498731.0323088312,28665.43507238786,556061.902453607,28577.866423558808,541144.0634343511,28577.866423558808,598299.7962814687,87.56864882905211,-42413.03112551989,87.56864882905211,-42237.89382786176,-13815311.106196448,-552612444.2478579,8iter_5scen_4dev_test_1547628
28,scenario_64,28665.435068393672,454876.4945408162,28665.435068393672,512207.3646776035,27596.16297489777,462582.6288791575,27596.16297489777,517774.954828953,1069.2720934958998,-7706.134338341304,1069.2720934958998,-5567.590151349548,-1821065.945337248,-72842637.81348991,8iter_5scen_4dev_test_1547628
109,scenario_64,28665.435068393672,454876.4945408162,28665.435068393672,512207.3646776035,28020.577550501654,469832.2514380963,28020.57755050165,525873.4065390996,644.8575178920182,-14955.75689728011,644.8575178920219,-13666.041861496167,-4469934.525531038,-178797381.02124152,8iter_5scen_4dev_test_1547628
254,scenario_64,28665.435068393672,454876.4945408162,28665.435068393672,512207.3646776035,26112.470401543746,381889.19036202726,26112.470401543746,434114.1311651148,2552.9646668499263,72987.30417878891,2552.9646668499263,78093.23351248866,25542995.128043164,1021719805.1217264,8iter_5scen_4dev_test_1547628
267,scenario_64,28665.435068393672,454876.4945408162,28665.435068393672,512207.3646776035,28577.866419221577,454005.3398214105,28577.86641922158,511161.0726598536,87.56864917209532,871.1547194056911,87.56864917209168,1046.29201774986,342224.6808056833,13688987.232227333,8iter_5scen_4dev_test_1547628
28,scenario_78,28665.43506636572,609014.8394910047,28665.43506636572,666345.7096237362,27596.16297348544,580533.3242415888,27596.162973485432,635725.6501885597,1069.2720928802846,28481.515249415883,1069.2720928802885,30620.059435176547,10015311.106922328,400612444.27689314,8iter_5scen_4dev_test_1547628
109,scenario_78,28665.43506636572,609014.8394910047,28665.43506636572,666345.7096237362,28020.577549127647,627845.2721093628,28020.577549127644,683886.427207618,644.8575172380733,-18830.432618358056,644.857517238077,-17540.717583881808,-5737276.376394674,-229491055.05578697,8iter_5scen_4dev_test_1547628
254,scenario_78,28665.43506636572,609014.8394910047,28665.43506636572,666345.7096237362,26112.470399258345,459545.1341754301,26112.470399258345,511770.0749739469,2552.964667107375,149469.7053155746,2552.964667107375,154575.63464978937,50559113.8333686,2022364553.334744,8iter_5scen_4dev_test_1547628
267,scenario_78,28665.43506636572,609014.8394910047,28665.43506636572,666345.7096237362,28577.866417209305,577810.5262670252,28577.8664172093,634966.2591014437,87.56864915641563,31204.313223979552,87.56864915641927,31379.45052229252,10263695.274999846,410547810.9999938,8iter_5scen_4dev_test_1547628
