mode_rail,vtt_chf_per_hour_rail,base_vtt_chf_per_hour_rail,mean_net_benefit_rows_rail,median_net_benefit_rows_rail,share_positive_rows_rail,mean_net_benefit_developments_rail,median_net_benefit_developments_rail,share_positive_developments_rail,positive_developments_rail,total_developments_rail,total_rows_rail,mode_road,vtt_chf_per_hour_road,base_vtt_chf_per_hour_road,mean_net_benefit_rows_road,median_net_benefit_rows_road,share_positive_rows_road,mean_net_benefit_developments_road,median_net_benefit_developments_road,share_positive_developments_road,positive_developments_road,total_developments_road,total_rows_road,combined_mean_net_benefit_developments,delta_mean_net_benefit_developments,delta_share_positive_developments
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,27.19125,31.4,-1142984651.9518814,-1058097196.4290655,0.021739130434782608,-1142984651.9518814,-1022707934.2914817,0.014492753623188406,2,138,414,-1146445696.2946348,1139523607.609128,0.34448160535117056
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,27.305,31.4,-1143362621.661035,-1060072789.6978059,0.021739130434782608,-1143362621.661035,-1024406904.7425975,0.014492753623188406,2,138,414,-1146823666.0037885,1139901577.3182817,0.34448160535117056
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,27.418750000000003,31.4,-1143740591.370189,-1061460866.1354997,0.021739130434782608,-1143740591.370189,-1026105875.1937134,0.014492753623188406,2,138,414,-1147201635.7129424,1140279547.0274355,0.34448160535117056
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,27.532500000000002,31.4,-1144118561.0793428,-1062629966.0333118,0.021739130434782608,-1144118561.0793428,-1027804845.644829,0.014492753623188406,2,138,414,-1147579605.4220963,1140657516.7365894,0.34448160535117056
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,27.646250000000002,31.4,-1144496530.7884967,-1063493923.6835575,0.021739130434782608,-1144496530.7884965,-1029503816.0959449,0.014492753623188406,2,138,414,-1147957575.13125,1141035486.445743,0.34448160535117056
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,27.76,31.4,-1144874500.4976504,-1063915943.2233078,0.021739130434782608,-1144874500.4976506,-1031202786.5470607,0.014492753623188406,2,138,414,-1148335544.840404,1141413456.1548972,0.34448160535117056
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,27.87375,31.4,-1145252470.2068043,-1063568489.858017,0.021739130434782608,-1145252470.206804,-1032901756.9981763,0.014492753623188406,2,138,414,-1148713514.5495574,1141791425.8640506,0.34448160535117056
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,27.9875,31.4,-1145630439.9159582,-1063221036.492726,0.021739130434782608,-1145630439.9159582,-1034600727.4492922,0.014492753623188406,2,138,414,-1149091484.2587116,1142169395.5732048,0.34448160535117056
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,28.10125,31.4,-1146008409.6251118,-1062873583.1274351,0.021739130434782608,-1146008409.6251118,-1036299697.9004079,0.014492753623188406,2,138,414,-1149469453.9678652,1142547365.2823584,0.34448160535117056
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,28.215,31.4,-1146386379.3342657,-1062526129.7621442,0.021739130434782608,-1146386379.3342657,-1037998668.3515236,0.014492753623188406,2,138,414,-1149847423.6770191,1142925334.9915123,0.34448160535117056
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,28.32875,31.4,-1146764349.0434196,-1062178676.3968532,0.021739130434782608,-1146764349.0434194,-1039697638.8026395,0.014492753623188406,2,138,414,-1150225393.3861728,1143303304.700666,0.34448160535117056
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,28.4425,31.4,-1147142318.7525733,-1061831223.0315624,0.021739130434782608,-1147142318.7525735,-1041396609.2537553,0.014492753623188406,2,138,414,-1150603363.095327,1143681274.40982,0.34448160535117056
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,28.55625,31.4,-1147520288.4617271,-1061483769.6662714,0.021739130434782608,-1147520288.4617271,-1043095579.7048708,0.014492753623188406,2,138,414,-1150981332.8044806,1144059244.1189737,0.34448160535117056
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,28.67,31.4,-1147898258.170881,-1061136316.3009806,0.021739130434782608,-1147898258.1708813,-1044794550.1559868,0.014492753623188406,2,138,414,-1151359302.5136347,1144437213.8281279,0.34448160535117056
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,28.78375,31.4,-1148276227.880035,-1060788862.9356897,0.021739130434782608,-1148276227.8800347,-1046493520.6071025,0.014492753623188406,2,138,414,-1151737272.222788,1144815183.5372813,0.34448160535117056
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,28.8975,31.4,-1148654197.5891886,-1060441409.5703988,0.024154589371980676,-1148654197.5891886,-1048192491.0582184,0.021739130434782608,3,138,414,-1152115241.931942,1145193153.2464352,0.3372352285395764
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,29.01125,31.4,-1149032167.2983425,-1060093956.2051079,0.024154589371980676,-1149032167.2983425,-1049891461.5093341,0.021739130434782608,3,138,414,-1152493211.6410959,1145571122.955589,0.3372352285395764
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,29.125,31.4,-1149410137.0074964,-1059746502.839817,0.024154589371980676,-1149410137.0074964,-1051590431.9604497,0.021739130434782608,3,138,414,-1152871181.3502498,1145949092.664743,0.3372352285395764
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,29.23875,31.4,-1149788106.71665,-1059030890.2203157,0.024154589371980676,-1149788106.71665,-1053289402.4115655,0.021739130434782608,3,138,414,-1153249151.0594034,1146327062.3738966,0.3372352285395764
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,29.3525,31.4,-1150166076.425804,-1058332336.4286506,0.024154589371980676,-1150166076.425804,-1054988372.8626813,0.021739130434782608,3,138,414,-1153627120.7685573,1146705032.0830505,0.3372352285395764
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,29.46625,31.4,-1150544046.1349576,-1058745244.000201,0.024154589371980676,-1150544046.1349578,-1056687343.313797,0.021739130434782608,3,138,414,-1154005090.4777112,1147083001.7922044,0.3372352285395764
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,29.58,31.4,-1150922015.8441114,-1059158151.5717514,0.024154589371980676,-1150922015.8441114,-1058386313.7649128,0.021739130434782608,3,138,414,-1154383060.1868649,1147460971.501358,0.3372352285395764
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,29.69375,31.4,-1151299985.5532653,-1059571059.1433018,0.024154589371980676,-1151299985.5532656,-1060085284.2160287,0.021739130434782608,3,138,414,-1154761029.896019,1147838941.2105122,0.3372352285395764
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,29.8075,31.4,-1151677955.2624192,-1059983966.7148521,0.024154589371980676,-1151677955.2624192,-1061784254.6671443,0.021739130434782608,3,138,414,-1155138999.6051726,1148216910.9196658,0.3372352285395764
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,29.92125,31.4,-1152055924.9715729,-1060396874.2864025,0.024154589371980676,-1152055924.9715729,-1063483225.1182601,0.021739130434782608,3,138,414,-1155516969.3143263,1148594880.6288195,0.3372352285395764
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,30.035,31.4,-1152433894.6807268,-1060809781.857953,0.024154589371980676,-1152433894.6807268,-1065182195.569376,0.021739130434782608,3,138,414,-1155894939.0234802,1148972850.3379734,0.3372352285395764
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,30.14875,31.4,-1152811864.3898804,-1061222689.4295032,0.024154589371980676,-1152811864.3898807,-1066881166.0204918,0.021739130434782608,3,138,414,-1156272908.732634,1149350820.0471272,0.3372352285395764
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,30.2625,31.4,-1153189834.0990345,-1061635597.0010536,0.026570048309178744,-1153189834.0990343,-1068580136.4716074,0.021739130434782608,3,138,414,-1156650878.4417877,1149728789.756281,0.3372352285395764
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,30.37625,31.4,-1153567803.8081884,-1062048504.572604,0.026570048309178744,-1153567803.8081882,-1070279106.9227232,0.021739130434782608,3,138,414,-1157028848.1509416,1150106759.4654348,0.3372352285395764
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780,Road,30.49,31.4,-1153945773.517342,-1062461412.1441543,0.026570048309178744,-1153945773.5173423,-1071978077.373839,0.021739130434782608,3,138,414,-1157406817.8600957,1150484729.174589,0.3372352285395764
