development,scenario,tts_raw,net_benefit_raw,building_costs,externalities_raw,maintenance,maintenance_derived,construction_raw,construction_integrated,maintenance_raw,maintenance_integrated,tts_integrated,operation_raw,operation_integrated,cost_base_raw,cost_base_integrated,bcr_raw,bcr_integrated,net_benefit_integrated,mode,year,status_quo_tt,development_tt,tt_savings_daily,monetized_savings_yearly,net_benefit_reported,bcr_reported,TotalConstructionCost,YearlyMaintenanceCost,uncoveredOperatingCost
101008,scenario_3,4293982.790790915,,,,,,64910000.0,2065644.541866943,1457895.0,1538079.225,4782831.357561444,2348724.399368907,2477904.2413341966,68716619.39936891,6081628.008201139,0.0624882718085277,0.7864393138008023,-1298796.650639695,Rail,2050.0,60294.783871813626,59520.81437095009,773.969500863539,4293982.790790915,-60300000.0,0.64,64910000.0,1457895.0,2348724.399368907
101009,scenario_3,130176.64644707508,,,,,,18300000.0,582364.7375776469,549000.0,579195.0,144996.6096707575,6029353.94372662,6360968.410631583,24878353.94372662,7522528.14820923,0.0052325265064371,0.0192749839966068,-7377531.538538473,Rail,2050.0,60294.783871813626,60271.32016481163,23.463707001996227,130176.64644707508,-189940000.0,0.02,18300000.0,549000.0,6029353.94372662
101010,scenario_3,4718505.481996364,,,,,,18300000.0,582364.7375776469,549000.0,579195.0,5255683.844033522,3678039.6755888616,3880331.8577462486,22527039.67558886,5041891.595323896,0.2094596338421471,1.042403182350828,213792.24870962556,Rail,2050.0,60294.783871813626,59444.29622185033,850.4876499632956,4718505.481996364,-12900000.0,0.9,18300000.0,549000.0,3678039.6755888616
101011,scenario_3,6830692.579747833,,,,,,18300000.0,582364.7375776469,549000.0,579195.0,7608332.929127242,6382115.932128592,6733132.308395664,25231115.932128593,7894692.045973311,0.2707249492302408,0.963727639383714,-286359.11684606876,Rail,2050.0,60294.783871813626,59063.58477668965,1231.1990951239786,6830692.579747833,-27410000.0,0.86,18300000.0,549000.0,6382115.932128592
101012,scenario_3,7765357.176672616,,,,,,18300000.0,582364.7375776469,549000.0,579195.0,8649404.437974855,4781397.43325049,5044374.292079266,23630397.43325049,6205934.029656913,0.3286172904458191,1.3937312895433769,2443470.408317942,Rail,2050.0,60294.783871813626,58895.11603175007,1399.6678400635574,7765357.176672616,34160000.0,1.21,18300000.0,549000.0,4781397.43325049
101013,scenario_3,3347497.002618235,,,,,,40721000.0,1295872.922344227,794059.5,837732.7725,3728592.8736841623,2672944.478542223,2819956.4248620453,44188003.97854222,4953562.119706273,0.0757557866665302,0.7527094207320153,-1224969.2460221103,Rail,2050.0,60294.783871813626,59691.41382808287,603.3700437307562,3347497.002618235,-50060000.0,0.63,40721000.0,794059.5,2672944.478542223
101014,scenario_3,3456172.7787040626,,,,,,40721000.0,1295872.922344227,794059.5,837732.7725,3849640.84592694,3637776.376419882,3837854.077122975,45152835.87641988,5971459.771967202,0.0765438695404063,0.644673328287153,-2121818.9260402624,Rail,2050.0,60294.783871813626,59671.82554832695,622.9583234866732,3456172.7787040626,-73010000.0,0.54,40721000.0,794059.5,3637776.376419882
101015,scenario_3,2290874.0674680993,,,,,,18300000.0,582364.7375776469,549000.0,579195.0,2551678.6768706627,3141343.089817573,3314116.959757539,21990343.089817572,4475676.6973351855,0.1041763676951847,0.5701213133624978,-1923998.0204645228,Rail,2050.0,60294.783871813626,59881.86496996285,412.918901850775,2290874.0674680993,-58480000.0,0.5,18300000.0,549000.0,3141343.089817573
101016,scenario_3,5728200.425781807,,,,,,18300000.0,582364.7375776469,549000.0,579195.0,6380327.531256768,1845066.0495133616,1946544.6822365965,20694066.04951336,3108104.419814243,0.276804008070541,2.052803467792787,3272223.1114425245,Rail,2050.0,60294.783871813626,59262.3036220332,1032.480249780427,5728200.425781807,60780000.0,1.74,18300000.0,549000.0,1845066.0495133616
101017,scenario_3,1990027.3580790637,,,,,,63332000.0,2015427.51695451,1234974.0,1302897.5699999998,2216582.06712854,9328074.887254942,9841119.006053964,73895048.88725494,13159444.093008474,0.02693045593779,0.1684404030643053,-10942862.025879934,Rail,2050.0,60294.783871813626,59936.09112522403,358.6927465895933,1990027.3580790637,-295310000.0,0.14,63332000.0,1234974.0,9328074.887254942
