development,scenario,total_mmin,network_mmin,max_vcr,max_delay_min,mean_delta_delay_min,max_delta_delay_min,min_delta_delay_min,links_more_delay,links_less_delay
694,scenario_26,-5.5452693192230075e-05,-0.00029584961536352055,2.6594020811266,6.220331446975318,-0.0016668352965627312,0.0,-0.14443393220305234,0,3
464,scenario_26,-5.5343284931092055e-05,-6.392072649096373e-05,2.6673456553344836,6.262973785958363,2.1883088039872112e-05,0.0014294882046650415,-0.001434173160324681,0,0
273,scenario_26,-4.9757802207488566e-05,-0.0006538466557080392,2.6672870003349543,6.263096312096729,-5.93938709436342e-05,0.0015465899298856556,-0.008978273595923847,0,0
493,scenario_26,-4.617149016197072e-05,-5.3854275331657846e-05,2.667166470817263,6.262247789096075,-2.438892366724515e-07,0.0006980669292317998,-0.0020753308039684892,0,0
670,scenario_78,-1.7933645213022827e-05,-0.0019028724076279905,6.111014468478139,45.64820864478742,0.0002605633984558702,0.24125549092721732,-0.19628149796481864,1,1
964,scenario_26,-1.6262667023343966e-05,-0.0001397492467337288,2.6665373834257537,6.259452666516126,-5.178906209610998e-05,0.0,-0.002552753028425947,0,0
9,scenario_44,0.06415339274129132,0.05960852498311852,4.250394268481778,19.121059091773798,-0.059808832573316796,0.0,-2.8396012682004788,0,40
9,scenario_75,0.06440280917274277,0.059857941417157536,4.258781197791242,19.211581553712712,-0.06010758674684389,0.0,-2.85373848174288,0,40
152,scenario_44,0.06535112548445189,0.0612143540091773,4.241475721356562,19.025057805405602,-0.06186766951261739,0.0,-2.935602554568675,0,40
152,scenario_75,0.06560773019062599,0.06147095871962572,4.249843212442331,19.11510154606429,-0.06217667665387872,0.0,-2.9502184893913004,0,40
557,scenario_44,0.07283019667871635,0.06867073803120934,4.192770893267481,18.50585568333833,-0.07275553878322462,0.0,-3.4548046766359484,0,41
557,scenario_75,0.07312329826179531,0.06896383961832185,4.201033720196609,18.59335368317196,-0.07311814235418153,0.0,-3.4719663522836335,0,41
254,scenario_44,0.07415229315200088,0.06904636381481692,4.199668318355576,18.579021784678716,-0.07000910668600037,0.0,-3.381638575295561,0,43
254,scenario_75,0.07444146199291642,0.06933553265926289,4.207956792183501,18.66699544961571,-0.07035549801816075,0.0,-3.398324585839884,0,43
9,scenario_64,0.09795838417125295,0.09341351641571906,5.260535168573791,31.870632254123375,-0.09989888625584778,0.0,-4.740804344992572,0,41
152,scenario_64,0.10013297929278424,0.09599620782173485,5.249479519896452,31.71034333606747,-0.10333820480568749,0.0,-4.901093263048477,0,42
9,scenario_19,0.10954605480733001,0.10500118705056259,5.554575485886175,36.30735914339381,-0.11358513070565301,0.0,-5.390437552222764,0,43
152,scenario_19,0.1120543201088811,0.1079175486368368,5.542925398715663,36.12511664426288,-0.11749538351087124,0.0,-5.572680051353693,0,43
557,scenario_64,0.11257799667254069,0.10841853802848864,5.1891416971416,30.843974952075666,-0.12151498259920927,0.0,-5.767461647040282,0,43
254,scenario_64,0.1135942271956628,0.10848829786196292,5.197775642734307,30.967276275256975,-0.11690141238287288,0.0,-5.644160323858973,0,45
