development,scenario_count,mean_delta_vkm_annualized,median_delta_vkm_annualized,std_delta_vkm_annualized,mean_delta_vkm_peak_hour,median_delta_vkm_peak_hour,std_delta_vkm_peak_hour
358,10,6294082.163564587,6001365.159117654,1549447.2910081276,10070.53146170334,9602.184254588248,2479.1156656130042
390,10,2875033.2409519013,2740984.145102596,708464.978276795,4600.053185523042,4385.574632164154,1133.5439652428722
392,10,106644.36993991592,101820.45601572942,19911.9601630622,170.63099190386552,162.91272962516706,31.859136260899525
394,10,1518572.4974332848,1448843.2491132459,369116.1692444463,2429.7159958932552,2318.149198581193,590.5858707911142
423,10,80630.18058923478,76849.43309236928,15767.961467091112,129.00828894277564,122.95909294779086,25.22873834734577
459,10,4165384.129583186,3971706.948011062,1027569.2553359442,6664.6146073330965,6354.731116817699,1644.1108085375108
464,10,9310.43310803013,9006.104169748596,3580.448858034421,14.896692972848209,14.409766671597753,5.728718172855074
469,10,4401658.100267165,4196639.372589973,1084263.7887766405,7042.652960427464,6714.622996143957,1734.822062042625
486,10,7210629.864122157,6875548.744855164,1776512.1541823975,11537.007782595449,11000.877991768262,2842.419446691836
493,10,27859.647280310524,26842.951663398548,1651.8837068669427,44.57543564849684,42.94872266143768,2.643013930987107
499,10,4212004.115601571,4016588.5742977625,1032231.39043289,6739.206584962514,6426.54171887642,1651.5702246926235
517,10,599025.860783486,571695.1616627311,142085.6743689191,958.4413772535776,914.7122586603698,227.33707899027053
521,10,9800732.7019226,9346070.20458889,2413632.6407376667,15681.17232307616,14953.712327342224,3861.8122251802665
531,10,5142766.780661505,4903749.080773361,1268970.100855639,8228.426849058407,7845.998529237378,2030.3521613690225
533,10,1814146.8517862305,1728718.9990042883,445997.2673268287,2902.634962857969,2765.9503984068615,713.5956277229258
538,10,1105353.8145394735,1053296.0878472668,264431.4857570226,1768.5661032631579,1685.2737405556272,423.090377211236
540,10,1016694.0854180421,968310.3524512553,250426.83642362303,1626.7105366688677,1549.2965639220088,400.6829382777968
546,10,651973.3711722748,621059.1274398846,164403.86879524917,1043.1573938756396,993.6946039038153,263.0461900723986
550,10,1547429.512424448,1474779.1410506596,372519.2201519218,2475.887219879117,2359.6466256810554,596.0307522430749
552,10,1595478.5958886244,1520628.9784234846,394051.787321769,2552.7657534217988,2433.006365477576,630.4828597148303
556,10,891599.7840335174,849186.667397874,223128.28074472686,1426.559654453628,1358.6986678365981,357.00524919156294
558,10,7865718.190167546,7500410.059160784,1935197.0480224572,12585.149104268075,12000.656094657254,3096.3152768359305
564,10,6982174.304968575,6657638.479717838,1718929.1746888196,11171.47888794972,10652.22156754854,2750.286679502112
565,10,2836257.5505009037,2704389.3562371703,701040.1331235162,4538.012080801445,4327.022969979473,1121.6642129976258
569,10,869532.2617742767,828111.2671180884,214938.62834962137,1391.2516188388431,1324.9780273889417,343.9018053593943
57,10,207213.33834932328,197530.38991803664,45488.610830942314,331.54134135891724,316.0486238688586,72.78177732950772
594,10,3654121.4967573076,3484137.8745821086,902287.4173517086,5846.594394811693,5574.620599331374,1443.6598677627342
602,10,2804506.1371070845,2674070.9465969754,693221.8524273896,4487.209819371335,4278.513514555161,1109.1549638838235
612,10,10587973.987288222,10096943.274771139,2607476.1345545114,16940.758379661154,16155.10923963382,4171.961815287218
614,10,1129210.6309918438,1075788.7852365668,277306.7129064704,1806.73700958695,1721.2620563785067,443.6907406503526
62,10,161414.04221578268,153753.65372484806,34138.519849249235,258.26246754525226,246.00584595975693,54.62163175879876
625,10,1732718.523484635,1651033.6179016372,429343.81176582485,2772.3496375754157,2641.6537886426195,686.9500988253196
627,10,1385110.282948624,1321240.8299806817,336505.0591144506,2216.1764527177984,2113.9853279690906,538.4080945831212
628,10,1290502.6428443228,1229787.1015051354,322140.65953700495,2064.8042285509164,1967.6593624082168,515.425055259208
629,10,922337.4951542439,879624.8472430869,222637.75714362488,1475.73999224679,1407.3997555889391,356.22041142979987
63,10,7384719.394943831,7041570.105988782,1819355.9598037207,11815.551031910129,11266.51216958205,2910.9695356859543
648,10,1468123.8911730908,1399694.4454584315,363492.4872928694,2348.9982258769455,2239.5111127334903,581.5879796685911
662,10,9743203.108620305,9291073.943652092,2399023.0530644413,15589.124973792486,14865.718309843345,3838.436884903107
669,10,-666076.1408508283,-635030.9961140689,167829.6306848786,-1065.7218253613253,-1016.0495937825101,268.5274090958057
670,10,1888262.4203793462,1801412.2106127357,460615.20733591943,3021.2198726069537,2882.2595369803776,736.9843317374713
673,10,-368720.12155275873,-351709.84580448084,95780.01868828383,-589.9521944844139,-562.7357532871694,153.2480299012541
678,10,5275844.808557836,5030731.975824617,1291375.3516626812,8441.351693692539,8049.171161319387,2066.20056266029
680,10,2789089.6617894545,2659230.6713566724,689238.3846815618,4462.543458863127,4254.769074170676,1102.7814154904988
682,10,7878210.572275567,7512315.853473809,1938272.4472698492,12605.13691564091,12019.705365558093,3101.2359156317584
689,10,7196926.650461497,6862432.082169916,1771739.7026535613,11515.082640738394,10979.891331471865,2834.783524245698
694,10,1887164.4435620639,1798737.0286416737,464816.27101315354,3019.4631096993025,2877.979245826678,743.7060336210459
726,10,1283186.4062387962,1223109.6031077541,322454.7206834855,2053.098249982074,1956.9753649724069,515.9275530935769
