development,component,scenario_count,mean_tts_minutes,median_tts_minutes,std_tts_minutes,min_tts_minutes,max_tts_minutes,n_positive,n_negative
126,total,10,-20903.52412422782,-16129.607523700717,13188.880919464622,-43907.96927375696,-5573.4693323202955,0,10
140,access_only,10,180.28004843183317,171.87241468652428,43.98189692698303,108.29217509804039,246.35935896709998,10,0
140,destination_access,10,83.9969987592256,80.0819625164986,20.503724590194828,50.4372479588601,114.80766369945196,10,0
140,network,10,-590.6298794138886,-472.91614119923906,332.7682836931172,-1165.8799046408385,-193.73263506317744,0,10
140,origin_access,10,96.28304967260756,91.79045217002567,23.478177105999094,57.85492713918029,131.55169526764803,10,0
140,total,10,-410.3498309820687,-301.0437265127548,289.8309076527187,-919.5205456737896,-85.44045996511704,0,10
143,access_only,10,-3.847083611403832,-3.6680341490555293,0.9399830699413085,-5.259935107671481,-2.3084922187754273,0,10
143,destination_access,10,-7.4026762781941216,-7.05831593930634,1.8100478905707855,-10.123856127080217,-4.439971517967933,0,10
143,network,10,-74.88013408702682,-75.31430541543523,5.762554817006852,-81.20618261070922,-61.32390931999544,0,10
143,origin_access,10,3.5555926667902895,3.3902817902508104,0.8700649682752978,2.131479299192506,4.8639210194087354,10,0
143,total,10,-78.72721769845229,-78.98574406356784,6.647691353719193,-86.46611771848984,-63.63240153877996,0,10
144,access_only,10,-844.7391153602532,-805.7470361441265,208.074942528542,-1158.3126165987924,-504.1515271706976,0,10
144,destination_access,10,-394.72046721298665,-376.5486783416909,97.46817351309085,-541.7181611166016,-235.18012141982945,0,10
144,network,10,-14645.636927445832,-11211.171252699278,9432.98717206721,-31134.316389989577,-3746.531390433782,0,10
144,origin_access,10,-450.0186481472665,-429.19835780243557,110.60719366398305,-616.5944554821908,-268.97140575086814,0,10
144,total,10,-15490.376042806103,-12016.918288843473,9636.163202727561,-32292.62900658837,-4250.682917604485,0,10
15,access_only,10,238.82706045479443,227.74506380291677,58.57213178484708,142.96099247605343,326.9634044058985,10,0
15,destination_access,10,101.09685748712054,96.37944690505537,24.65086439399167,60.749606901898005,138.12673306086072,10,0
15,network,10,6245.716399563074,4524.321369424928,4581.674005119183,1117.1347136517288,14315.212122946745,10,0
15,origin_access,10,137.7302029676739,131.3656168978614,33.92173513587951,82.21138557415543,188.83667134503776,10,0
15,total,10,6484.543460017859,4752.066433227796,4638.66303422841,1260.0957061277877,14642.175527352609,10,0
150,access_only,10,202.61036790160887,193.31749065647818,50.179884698901816,120.47599154364252,278.326654406279,10,0
150,destination_access,10,216.72988282534698,206.54685670324398,52.51840631182363,130.7756259342732,295.4638477279659,10,0
150,network,10,-16358.158133938405,-12454.122380175657,10684.219290337402,-35045.97761731339,-4055.102146933292,0,10
150,origin_access,10,-14.119514923738098,-13.894824360575512,2.537578759064831,-19.036302883163444,-10.299634390630672,0,10
150,total,10,-16155.547766036814,-12260.804889519233,10635.278255028205,-34767.65096290712,-3934.626155389647,0,10
17,access_only,10,69.27184779710859,66.17942896158273,18.35133623874443,39.23395044325474,97.25203665119625,10,0
17,destination_access,10,-265.52117764401066,-253.34975345365456,65.83481066918509,-364.92383978027647,-157.77326054953485,0,10
17,network,10,-4835.0206752634895,-4929.390690538887,475.9656691737327,-5226.975316384807,-3620.35212845169,0,10
17,origin_access,10,334.79302544111925,319.57043539585175,84.18465437642347,197.0072109927896,462.1758764314727,10,0
17,total,10,-4765.748827466368,-4849.594691137609,461.8075574170653,-5138.85637715261,-3581.1181780084153,0,10
176,access_only,10,-155.8096755929273,-148.64678806999655,38.65033130160348,-214.12968332153105,-92.55451149732835,0,10
176,destination_access,10,-179.52261350116277,-171.2386277653677,44.25295932205579,-246.2189021286904,-107.0980357427834,0,10
