development,scenario,tts_annual,access_only_minutes,cost_annual,mode,value_mode,cost_annual_negative,net_annual
150,scenario_96,50945.4732164089,182.15141261732788,-22919256.86296056,Road,access_only_integrated_proxy,22919256.86296056,22970202.33617697
17,scenario_100,16695.183036034217,59.69227454224526,-113424878.81421085,Road,access_only_integrated_proxy,113424878.81421085,113441573.99724688
17,scenario_19,25844.067839224328,92.40337104527134,-112975106.91000223,Road,access_only_integrated_proxy,112975106.91000223,113000950.97784145
17,scenario_26,10973.24551459781,39.23395044325474,-113704868.68310507,Road,access_only_integrated_proxy,113704868.68310507,113715841.92861967
17,scenario_44,19606.485797177545,70.1014017329253,-113288246.06374004,Road,access_only_integrated_proxy,113288246.06374004,113307852.54953723
17,scenario_64,24645.76581649916,88.11893923217576,-113045085.98701602,Road,access_only_integrated_proxy,113045085.98701602,113069731.75283252
17,scenario_70,15581.664815159857,55.71098034470563,-113475018.13938047,Road,access_only_integrated_proxy,113475018.13938047,113490599.80419563
17,scenario_75,19583.40991114634,70.0188957716964,-113286157.15695304,Road,access_only_integrated_proxy,113286157.15695304,113305740.56686418
17,scenario_78,27200.17900088145,97.25203665119625,-112923423.25468826,Road,access_only_integrated_proxy,112923423.25468826,112950623.43368915
17,scenario_89,16178.989412578392,57.846666056146205,-113453954.5328348,Road,access_only_integrated_proxy,113453954.5328348,113470133.52224737
17,scenario_96,17435.708164239,62.33996215146905,-113401344.74710803,Road,access_only_integrated_proxy,113401344.74710803,113418780.45527227
176,scenario_100,-38029.57183148456,-135.971653475699,-58252142.93635833,Road,access_only_integrated_proxy,58252142.93635833,58214113.364526846
176,scenario_19,-57490.78480411518,-205.55364399236714,-58182539.563581616,Road,access_only_integrated_proxy,58182539.563581616,58125048.7787775
176,scenario_26,-25886.33993440902,-92.55451149732835,-58295435.90976109,Road,access_only_integrated_proxy,58295435.90976109,58269549.569826685
176,scenario_44,-43992.62061795007,-157.2920513714416,-58230973.278202035,Road,access_only_integrated_proxy,58230973.278202035,58186980.657584086
176,scenario_64,-54629.90857666198,-195.3248127880652,-58193134.83540917,Road,access_only_integrated_proxy,58193134.83540917,58138504.92683251
176,scenario_70,-35800.312631744506,-128.00111778947758,-58259980.70780215,Road,access_only_integrated_proxy,58259980.70780215,58224180.395170406
176,scenario_75,-44085.69913939136,-157.6248460849747,-58230630.46502699,Road,access_only_integrated_proxy,58230630.46502699,58186544.765887596
176,scenario_78,-59889.39580399071,-214.12968332153105,-58174352.22730443,Road,access_only_integrated_proxy,58174352.22730443,58114462.83150044
176,scenario_89,-36818.87662551691,-131.642910839837,-58256592.5851334,Road,access_only_integrated_proxy,58256592.5851334,58219773.70850789
176,scenario_96,-39156.676458704234,-140.00152476855146,-58248395.45322349,Road,access_only_integrated_proxy,58248395.45322349,58209238.77676479
177,scenario_100,-27647.191589689923,-98.85029395196398,-12519724.866703507,Road,access_only_integrated_proxy,12519724.866703507,12492077.675113816
177,scenario_19,-41722.09860478472,-149.17398383833643,-12518328.1259204,Road,access_only_integrated_proxy,12518328.1259204,12476606.027315615
177,scenario_26,-18844.996596281184,-67.37875877999977,-12520107.86947222,Road,access_only_integrated_proxy,12520107.86947222,12501262.87287594
177,scenario_44,-31955.756452306363,-114.255218600425,-12519401.351881223,Road,access_only_integrated_proxy,12519401.351881223,12487445.595428916
177,scenario_64,-39688.38020448135,-141.90258844060372,-12518632.529402073,Road,access_only_integrated_proxy,12518632.529402073,12478944.149197591
177,scenario_70,-26021.46139482875,-93.03762733346593,-12519807.964329803,Road,access_only_integrated_proxy,12519807.964329803,12493786.502934974
177,scenario_75,-32030.33021475574,-114.52185104717137,-12519395.80763137,Road,access_only_integrated_proxy,12519395.80763137,12487365.477416614
177,scenario_78,-43469.374574819674,-155.42122753008152,-12518138.80369671,Road,access_only_integrated_proxy,12518138.80369671,12474669.429121891
177,scenario_89,-26774.060855608986,-95.72848574072486,-12519791.121819818,Road,access_only_integrated_proxy,12519791.121819818,12493017.06096421
177,scenario_96,-28456.90550709476,-101.74536047229412,-12519688.05922624,Road,access_only_integrated_proxy,12519688.05922624,12491231.153719144
195,scenario_100,102610.14812892918,366.8742726397468,-17366168.18574669,Road,access_only_integrated_proxy,17366168.18574669,17468778.33387562
195,scenario_19,154779.08818961194,553.4000918511265,-17112457.49266715,Road,access_only_integrated_proxy,17112457.49266715,17267236.580856763
