mode,development,scenario,tts_hours,tts_minutes,tts_chf_yearly,tts_minutes_metric
Road,761,scenario_19,169.199816709363,10151.98900256178,2839384.4241539976,weighted_peak_minutes
Road,764,scenario_19,-54.04423442719271,-3242.654065631563,-906929.8089813276,weighted_peak_minutes
Road,767,scenario_19,130.61477909232684,7836.88674553961,2191879.26164311,weighted_peak_minutes
Road,770,scenario_19,75.12077974815814,4507.2467848894885,1260620.5851487787,weighted_peak_minutes
Road,775,scenario_19,-689.5376436869731,-41372.25862121838,-11571303.583122017,weighted_peak_minutes
Road,776,scenario_19,-258.43382196619444,-15506.029317971668,-4336842.574870201,weighted_peak_minutes
Road,780,scenario_19,40.637662011460634,2438.259720687638,681950.7656298238,weighted_peak_minutes
Road,789,scenario_19,-504.3524478940002,-30261.146873640013,-8463664.516221192,weighted_peak_minutes
Road,791,scenario_19,-115.15283132912009,-6909.169879747205,-1932408.4507417963,weighted_peak_minutes
Road,809,scenario_19,-121.7396625046269,-7304.379750277614,-2042943.7114057704,weighted_peak_minutes
Road,810,scenario_19,-30.45660181118874,-1827.3961086713243,-511099.84914401104,weighted_peak_minutes
Road,811,scenario_19,-5.851967129283973,-351.11802775703836,-98203.32338829667,weighted_peak_minutes
Road,813,scenario_19,286.7755719869456,17206.534319216735,4812452.567405931,weighted_peak_minutes
Road,822,scenario_19,-72.28238503225536,-4336.9431019353215,-1212988.7738225353,weighted_peak_minutes
Road,831,scenario_19,-182.07338849696873,-10924.403309818124,-3055419.050714757,weighted_peak_minutes
Road,837,scenario_19,12.137102938262979,728.2261762957787,203675.7586827256,weighted_peak_minutes
Road,858,scenario_19,-26.65940458700061,-1599.5642752200365,-447378.133225604,weighted_peak_minutes
Road,863,scenario_19,22.98201656582727,1378.920993949636,385666.9654952888,weighted_peak_minutes
Road,866,scenario_19,-54.25380810671098,-3255.2284864026587,-910446.7172907436,weighted_peak_minutes
Road,873,scenario_19,-585.9139700550256,-35154.83820330154,-9832368.809985898,weighted_peak_minutes
Road,878,scenario_19,-128.94752994294396,-7736.851796576637,-2163900.736855028,weighted_peak_minutes
Road,887,scenario_19,-315.4237852986863,-18925.42711792118,-5293205.39704358,weighted_peak_minutes
Road,895,scenario_19,-530.9899536220473,-31859.39721732284,-8910675.159219982,weighted_peak_minutes
Road,935,scenario_19,-103.92561346764948,-6235.536808058969,-1744001.701003993,weighted_peak_minutes
Road,938,scenario_19,253.0111514132276,15180.669084793655,4245843.384653226,weighted_peak_minutes
Road,940,scenario_19,-89.39773283133788,-5363.863969880273,-1500205.7040758887,weighted_peak_minutes
Road,945,scenario_19,-830.4533337773057,-49827.20002663834,-13936045.007450411,weighted_peak_minutes
Road,952,scenario_19,-503.8562797319028,-30231.37678391417,-8455338.194250993,weighted_peak_minutes
Road,958,scenario_19,45.15390350940094,2709.2342105640564,757738.9432671345,weighted_peak_minutes
Road,964,scenario_19,4.68393224942071,281.03593496524263,78602.2380605913,weighted_peak_minutes
Road,970,scenario_19,-177.42572091118782,-10645.54325467127,-2977425.3790408703,weighted_peak_minutes
Road,971,scenario_19,-5.791324687221398,-347.4794812332839,-97185.66740743408,weighted_peak_minutes
Road,987,scenario_19,-3.364867844203643,-201.89207065221856,-56466.68851054237,weighted_peak_minutes
Road,0,scenario_26,28.965591686672997,1737.9355012003798,486078.8354919813,weighted_peak_minutes
Road,2,scenario_26,-69.54121860511562,-4172.473116306937,-1166988.5747170963,weighted_peak_minutes
Road,12,scenario_26,-15.677851432493968,-940.671085949638,-263093.94435153937,weighted_peak_minutes
Road,15,scenario_26,21.001595102129794,1260.0957061277877,352433.01780761563,weighted_peak_minutes
Road,17,scenario_26,-59.68530296680692,-3581.1181780084153,-1001593.9904117286,weighted_peak_minutes
Road,25,scenario_26,-84.62346077579375,-5077.407646547625,-1420087.4511437889,weighted_peak_minutes
Road,27,scenario_26,-80.68618361194822,-4841.171016716893,-1354015.018738006,weighted_peak_minutes
Road,28,scenario_26,-44.39824690009264,-2663.894814005558,-745058.0807921796,weighted_peak_minutes
Road,57,scenario_26,31.72797669348025,1903.6786016088151,532435.1088874656,weighted_peak_minutes
Road,62,scenario_26,3.8636025225476867,231.8161513528612,64836.07983150337,weighted_peak_minutes
Road,63,scenario_26,-91.08694567535082,-5465.216740521049,-1528552.807114481,weighted_peak_minutes
Road,73,scenario_26,-35.46489497630876,-2127.893698578526,-595145.2688211814,weighted_peak_minutes
Road,90,scenario_26,-0.360434083515914,-21.62604501095484,-6048.534464001432,weighted_peak_minutes
Road,94,scenario_26,0.08394541015053013,5.036724609031808,1408.7089140885837,weighted_peak_minutes
Road,103,scenario_26,-79.0629067817926,-4743.774406907556,-1326774.404431957,weighted_peak_minutes
Road,104,scenario_26,0.4247431969076085,25.484591814456508,7127.7217731058045,weighted_peak_minutes
Road,109,scenario_26,-155.5715288335147,-9334.291730010882,-2610684.7182374187,weighted_peak_minutes
