development,score_id,value,value_mode,development_label,value_mio_chf
101022,rail_construction_cost,1583300.0,standalone_annual_proxy,X22 (101022),1.5833
101022,rail_land_consumption_cost,,standalone_annual_proxy,X22 (101022),
101022,rail_maint_cost,1234974.0,standalone_annual_proxy,X22 (101022),1.234974
101022,rail_noise_cost,,standalone_annual_proxy,X22 (101022),
101022,rail_operation_cost,14714211.47990382,standalone_annual_proxy,X22 (101022),14.71421147990382
101022,rail_tts_cost,2132769.8754125354,standalone_annual_proxy,X22 (101022),2.1327698754125355
101023,rail_accident_cost,,standalone_annual_proxy,X23 (101023),
101023,rail_airpollution_cost,,standalone_annual_proxy,X23 (101023),
101023,rail_co2_cost,,standalone_annual_proxy,X23 (101023),
101023,rail_construction_cost,1583300.0,standalone_annual_proxy,X23 (101023),1.5833
101023,rail_land_consumption_cost,,standalone_annual_proxy,X23 (101023),
101023,rail_maint_cost,1234974.0,standalone_annual_proxy,X23 (101023),1.234974
101023,rail_noise_cost,,standalone_annual_proxy,X23 (101023),
101023,rail_operation_cost,15720251.003409136,standalone_annual_proxy,X23 (101023),15.720251003409135
101023,rail_tts_cost,12183584.331848077,standalone_annual_proxy,X23 (101023),12.183584331848078
101024,rail_accident_cost,,standalone_annual_proxy,X24 (101024),
101024,rail_airpollution_cost,,standalone_annual_proxy,X24 (101024),
101024,rail_co2_cost,,standalone_annual_proxy,X24 (101024),
101024,rail_construction_cost,1583300.0,standalone_annual_proxy,X24 (101024),1.5833
101024,rail_land_consumption_cost,,standalone_annual_proxy,X24 (101024),
101024,rail_maint_cost,1234974.0,standalone_annual_proxy,X24 (101024),1.234974
101024,rail_noise_cost,,standalone_annual_proxy,X24 (101024),
101024,rail_operation_cost,15838427.061850354,standalone_annual_proxy,X24 (101024),15.838427061850354
101024,rail_tts_cost,6113166.191538389,standalone_annual_proxy,X24 (101024),6.113166191538389
101025,rail_accident_cost,,standalone_annual_proxy,X25 (101025),
101025,rail_airpollution_cost,,standalone_annual_proxy,X25 (101025),
101025,rail_co2_cost,,standalone_annual_proxy,X25 (101025),
101025,rail_construction_cost,1583300.0,standalone_annual_proxy,X25 (101025),1.5833
101025,rail_land_consumption_cost,,standalone_annual_proxy,X25 (101025),
101025,rail_maint_cost,1234974.0,standalone_annual_proxy,X25 (101025),1.234974
101025,rail_noise_cost,,standalone_annual_proxy,X25 (101025),
101025,rail_operation_cost,9194299.763564669,standalone_annual_proxy,X25 (101025),9.194299763564668
101025,rail_tts_cost,1936172.8923593573,standalone_annual_proxy,X25 (101025),1.9361728923593573
101026,rail_accident_cost,,standalone_annual_proxy,X26 (101026),
101026,rail_airpollution_cost,,standalone_annual_proxy,X26 (101026),
101026,rail_co2_cost,,standalone_annual_proxy,X26 (101026),
101026,rail_construction_cost,1583300.0,standalone_annual_proxy,X26 (101026),1.5833
101026,rail_land_consumption_cost,,standalone_annual_proxy,X26 (101026),
101026,rail_maint_cost,1234974.0,standalone_annual_proxy,X26 (101026),1.234974
101026,rail_noise_cost,,standalone_annual_proxy,X26 (101026),
101026,rail_operation_cost,8716102.867589945,standalone_annual_proxy,X26 (101026),8.716102867589944
101026,rail_tts_cost,7033610.867026221,standalone_annual_proxy,X26 (101026),7.033610867026221
101027,rail_accident_cost,,standalone_annual_proxy,X27 (101027),
101027,rail_airpollution_cost,,standalone_annual_proxy,X27 (101027),
101027,rail_co2_cost,,standalone_annual_proxy,X27 (101027),
101027,rail_construction_cost,1583300.0,standalone_annual_proxy,X27 (101027),1.5833
101027,rail_land_consumption_cost,,standalone_annual_proxy,X27 (101027),
101027,rail_maint_cost,1234974.0,standalone_annual_proxy,X27 (101027),1.234974
101027,rail_noise_cost,,standalone_annual_proxy,X27 (101027),
101027,rail_operation_cost,7133884.724548768,standalone_annual_proxy,X27 (101027),7.133884724548769
101027,rail_tts_cost,10156398.295510601,standalone_annual_proxy,X27 (101027),10.156398295510602
101028,rail_accident_cost,,standalone_annual_proxy,X28 (101028),
101028,rail_airpollution_cost,,standalone_annual_proxy,X28 (101028),
101028,rail_co2_cost,,standalone_annual_proxy,X28 (101028),
101028,rail_construction_cost,1583300.0,standalone_annual_proxy,X28 (101028),1.5833
101028,rail_land_consumption_cost,,standalone_annual_proxy,X28 (101028),
101028,rail_maint_cost,1234974.0,standalone_annual_proxy,X28 (101028),1.234974
101028,rail_noise_cost,,standalone_annual_proxy,X28 (101028),
101028,rail_operation_cost,11059719.811672827,standalone_annual_proxy,X28 (101028),11.059719811672828
101028,rail_tts_cost,4229303.688780149,standalone_annual_proxy,X28 (101028),4.229303688780149
101029,rail_accident_cost,,standalone_annual_proxy,X29 (101029),
101029,rail_airpollution_cost,,standalone_annual_proxy,X29 (101029),
101029,rail_co2_cost,,standalone_annual_proxy,X29 (101029),
101029,rail_construction_cost,1583300.0,standalone_annual_proxy,X29 (101029),1.5833
101029,rail_land_consumption_cost,,standalone_annual_proxy,X29 (101029),
101029,rail_maint_cost,1234974.0,standalone_annual_proxy,X29 (101029),1.234974
101029,rail_noise_cost,,standalone_annual_proxy,X29 (101029),
101029,rail_operation_cost,12898231.613368692,standalone_annual_proxy,X29 (101029),12.898231613368692
101029,rail_tts_cost,5753830.327885864,standalone_annual_proxy,X29 (101029),5.753830327885864
101030,rail_accident_cost,,standalone_annual_proxy,X30 (101030),
