mode,development,scenario_count,tts_median_chf,tts_mean_chf,cost_median_chf_negative,cost_mean_chf_negative,bcr_median,bcr_mean,bcr_std,cost_median_chf_magnitude,cost_mean_chf_magnitude,tts_median_mio_chf,cost_median_mio_chf_negative,cost_median_mio_chf_magnitude,net_median_mio_chf,development_label,ranking_label
Rail,101032,100,899361.6369697488,920947.5504414242,-9867873.558444353,-9867873.558444353,0.09114036896025358,0.09332786288625788,0.022254921236393877,9867873.558444353,9867873.558444353,0.8993616369697488,-9.867873558444353,9.867873558444353,-8.968511921474605,X32 (101032),Rail X32 (101032)
Road,0,10,2066155.9007429322,2826133.182722616,-6737335.418053958,-6734128.722290123,0.3067053620987461,0.4203722582313384,0.3032161322111703,6737335.418053958,6734128.722290123,2.0661559007429324,-6.7373354180539575,6.7373354180539575,-4.671179517311025,0,Road 0
Road,103,10,-4335724.3882066,-5638206.136899723,-13315647.746562699,-13356357.91255945,-0.32543382643461805,-0.4184443655051485,0.25983311394610253,13315647.746562699,13356357.91255945,-4.3357243882066,-13.315647746562698,13.315647746562698,-17.651372134769296,103,Road 103
Road,104,10,43001.56956703965,59778.19096856137,-5479611.455428165,-5482011.109982566,0.007846767209499053,0.010888060099670962,0.00830208202475261,5479611.455428165,5482011.109982566,0.043001569567039655,-5.479611455428166,5.479611455428166,-5.436609885861126,104,Road 104
Road,109,10,-8875292.038629498,-11641193.552160433,-81334618.58383481,-81396981.64584622,-0.10910512951331663,-0.14268754697437855,0.09231583055951202,81334618.58383481,81396981.64584622,-8.875292038629498,-81.33461858383481,81.33461858383481,-90.2099106224643,109,Road 109
Road,114,10,-202986.01013997564,-275286.16480046435,-7005811.388308492,-7013587.318648815,-0.02896754266968237,-0.03911060594969167,0.02721346542717203,7005811.388308492,7013587.318648815,-0.20298601013997564,-7.005811388308492,7.005811388308492,-7.208797398448468,114,Road 114
Road,12,10,-272275.9515413313,-182092.37980304065,-15504343.043492697,-15517952.640205363,-0.017616844029079197,-0.011777969520405615,0.01148906770814682,15504343.043492697,15517952.640205363,-0.27227595154133133,-15.504343043492698,15.504343043492698,-15.77661899503403,12,Road 12
Road,126,10,-5024832.916292837,-6512044.135705178,-24502279.429002523,-24542326.019567218,-0.20501636054313882,-0.2640884198428701,0.16442631536796842,24502279.429002523,24542326.019567218,-5.024832916292837,-24.502279429002524,24.502279429002524,-29.52711234529536,126,Road 126
Road,140,10,-93783.70949212545,-127835.67950330493,-6256025.560412349,-6257967.14273374,-0.014989989316135153,-0.020407667805872963,0.014383669114855826,6256025.560412349,6257967.14273374,-0.09378370949212544,-6.25602556041235,6.25602556041235,-6.349809269904475,140,Road 140
Road,143,10,-24606.31271438626,-24525.77437597639,-19404715.965119258,-19405094.90483959,-0.0012680578554081065,-0.001263877018069287,0.00010664241249518188,19404715.965119258,19405094.90483959,-0.024606312714386257,-19.40471596511926,19.40471596511926,-19.429322277833645,143,Road 143
Road,144,10,-3743612.885896682,-4825694.072919857,-7752093.793934941,-7776660.102535844,-0.48265434064958207,-0.6150507429562171,0.37269472836019274,7752093.793934941,7776660.102535844,-3.743612885896682,-7.752093793934941,7.752093793934941,-11.495706679831624,144,Road 144
Road,15,10,1480404.2689201632,2020120.289793219,-8593402.282529807,-8590610.275491616,0.17228477271900083,0.2354211440625124,0.16879722955631862,8593402.282529807,8590610.275491616,1.480404268920163,-8.593402282529807,8.593402282529807,-7.112998013609644,15,Road 15
