development,score_id,value,value_mode,development_label,value_mio_chf
240,road_accident_cost,,standalone_annual_proxy,240,
240,road_airpollution_cost,,standalone_annual_proxy,240,
240,road_climate_cost,-154377.49251093605,standalone_annual_proxy,240,-0.15437749251093605
240,road_co2_cost,,standalone_annual_proxy,240,
240,road_construction_cost,-4510707.737560133,standalone_annual_proxy,240,-4.510707737560134
240,road_ecological_disruption_cost,-192378.28103611217,standalone_annual_proxy,240,-0.19237828103611215
240,road_land_consumption_cost,-18747.309233990447,standalone_annual_proxy,240,-0.018747309233990445
240,road_maint_cost,-2618383.4795429665,standalone_annual_proxy,240,-2.6183834795429664
240,road_noise_cost,-6680191.851597967,standalone_annual_proxy,240,-6.680191851597967
240,road_tts_cost,-4599.7453648672035,standalone_annual_proxy,240,-0.004599745364867204
243,road_accident_cost,,standalone_annual_proxy,243,
243,road_airpollution_cost,,standalone_annual_proxy,243,
243,road_climate_cost,-688613.6489748929,standalone_annual_proxy,243,-0.688613648974893
243,road_co2_cost,,standalone_annual_proxy,243,
243,road_construction_cost,-11862438.202991318,standalone_annual_proxy,243,-11.862438202991317
243,road_ecological_disruption_cost,-2079518.918343028,standalone_annual_proxy,243,-2.079518918343028
243,road_land_consumption_cost,-303201.4588231789,standalone_annual_proxy,243,-0.3032014588231789
243,road_maint_cost,-6584098.933666738,standalone_annual_proxy,243,-6.584098933666738
243,road_noise_cost,-13213875.027465824,standalone_annual_proxy,243,-13.213875027465823
243,road_tts_cost,-2299231.994736172,standalone_annual_proxy,243,-2.299231994736172
245,road_accident_cost,,standalone_annual_proxy,245,
245,road_airpollution_cost,,standalone_annual_proxy,245,
245,road_climate_cost,-315818.51993815554,standalone_annual_proxy,245,-0.3158185199381555
245,road_co2_cost,,standalone_annual_proxy,245,
245,road_construction_cost,-5669598.553976122,standalone_annual_proxy,245,-5.6695985539761224
245,road_ecological_disruption_cost,-647889.2046591948,standalone_annual_proxy,245,-0.6478892046591948
245,road_land_consumption_cost,-52390.538884960304,standalone_annual_proxy,245,-0.05239053888496031
245,road_maint_cost,-3444964.9766056845,standalone_annual_proxy,245,-3.4449649766056845
245,road_noise_cost,-26879516.35010324,standalone_annual_proxy,245,-26.87951635010324
245,road_tts_cost,-3797491.743542475,standalone_annual_proxy,245,-3.797491743542475
249,road_accident_cost,,standalone_annual_proxy,249,
249,road_airpollution_cost,,standalone_annual_proxy,249,
249,road_climate_cost,-568517.8440282953,standalone_annual_proxy,249,-0.5685178440282953
249,road_co2_cost,,standalone_annual_proxy,249,
249,road_construction_cost,-5951777.612817527,standalone_annual_proxy,249,-5.951777612817526
249,road_ecological_disruption_cost,-1799157.279425789,standalone_annual_proxy,249,-1.7991572794257888
249,road_land_consumption_cost,-126189.56832589672,standalone_annual_proxy,249,-0.12618956832589673
249,road_maint_cost,-3652559.827668053,standalone_annual_proxy,249,-3.6525598276680533
249,road_noise_cost,-15767327.888513744,standalone_annual_proxy,249,-15.767327888513744
249,road_tts_cost,-4156682.31772641,standalone_annual_proxy,249,-4.15668231772641
25,road_accident_cost,,standalone_annual_proxy,25,
25,road_airpollution_cost,,standalone_annual_proxy,25,
25,road_climate_cost,-229397.5909474288,standalone_annual_proxy,25,-0.22939759094742881
25,road_co2_cost,,standalone_annual_proxy,25,
25,road_construction_cost,-3842050.365645922,standalone_annual_proxy,25,-3.842050365645922
