development,development_label,road_climate_cost,road_construction_cost,road_ecological_disruption_cost,road_land_consumption_cost,road_maint_cost,road_noise_cost,road_tts_cost,road_externalities_total_cost,road_total_cost_without_tts,road_construction_cost_mio_chf,road_maint_cost_mio_chf,road_tts_cost_mio_chf,road_climate_cost_mio_chf,road_land_consumption_cost_mio_chf,road_ecological_disruption_cost_mio_chf,road_noise_cost_mio_chf,road_externalities_total_cost_mio_chf,road_total_cost_without_tts_mio_chf
206,206,-156019.52169874072,-3573399.2561117746,-468560.29895958456,-5106.553484641387,-1953768.115543394,-27297480.82033637,78615.64324196512,-27927167.19447934,-33454334.566134505,-3.5733992561117747,-1.953768115543394,0.07861564324196513,-0.15601952169874073,-0.005106553484641387,-0.46856029895958456,-27.29748082033637,-27.92716719447934,-33.454334566134506
209,209,-399469.5471930178,-6342528.892824883,-1241176.2823896154,-65234.98730372918,-3580073.683422328,-16020512.078218585,176725.75054919004,-17726392.89510495,-27648995.47135216,-6.342528892824883,-3.580073683422328,0.17672575054919004,-0.3994695471930178,-0.06523498730372919,-1.2411762823896155,-16.020512078218584,-17.726392895104947,-27.64899547135216
227,227,-134172.47972749203,-4020969.2679245314,-233992.0589854638,-25237.759822066037,-2270500.8357484313,-3562701.834830711,50760.500740016134,-3956104.133365733,-10247574.237038696,-4.0209692679245315,-2.270500835748431,0.05076050074001613,-0.13417247972749202,-0.025237759822066035,-0.2339920589854638,-3.5627018348307113,-3.956104133365733,-10.247574237038696
233,233,-138633.91150894307,-3450677.4176571323,-418911.3388511013,-5449.497720197919,-1866227.8941063904,-21628804.89514859,-261824.7306119177,-22191799.643228833,-27508704.954992354,-3.450677417657132,-1.8662278941063903,-0.2618247306119177,-0.13863391150894308,-0.005449497720197919,-0.41891133885110127,-21.62880489514859,-22.191799643228833,-27.508704954992353
240,240,-154377.49251093605,-4510707.737560133,-192378.28103611217,-18747.309233990447,-2618383.4795429665,-6680191.851597967,-964.1680155875702,-7045694.934379005,-14174786.151482105,-4.510707737560134,-2.6183834795429664,-0.0009641680155875701,-0.15437749251093605,-0.018747309233990445,-0.19237828103611215,-6.680191851597967,-7.0456949343790045,-14.174786151482106
243,243,-688613.6489748929,-11862438.202991318,-2079518.918343028,-303201.4588231789,-6584098.933666738,-13213875.027465824,-2777881.210775377,-16285209.053606924,-34731746.190264985,-11.862438202991317,-6.584098933666738,-2.7778812107753774,-0.688613648974893,-0.3032014588231789,-2.079518918343028,-13.213875027465823,-16.285209053606923,-34.731746190264985
245,245,-315818.51993815554,-5669598.553976122,-647889.2046591948,-52390.538884960304,-3444964.9766056845,-26879516.35010324,-4905601.2243300015,-27895614.61358555,-37010178.144167356,-5.6695985539761224,-3.4449649766056845,-4.905601224330002,-0.3158185199381555,-0.05239053888496031,-0.6478892046591948,-26.87951635010324,-27.89561461358555,-37.010178144167355
249,249,-568517.8440282953,-5951777.612817527,-1799157.2794257891,-126189.56832589672,-3652559.827668053,-15767327.888513744,-5385646.362273902,-18261192.580293726,-27865530.020779304,-5.951777612817526,-3.6525598276680533,-5.385646362273902,-0.5685178440282953,-0.12618956832589673,-1.799157279425789,-15.767327888513744,-18.261192580293727,-27.865530020779303
25,25,-229397.5909474288,-3842050.365645922,-749441.0232135275,-27799.760918590975,-2146450.6436105366,-26213575.413102664,-5451812.105507873,-27220213.78818221,-33208714.797438666,-3.842050365645922,-2.1464506436105366,-5.451812105507873,-0.22939759094742881,-0.027799760918590974,-0.7494410232135276,-26.213575413102664,-27.22021378818221,-33.20871479743867
250,250,-449814.1391281492,-39033242.38441018,-386189.5829639962,-171031.56157660272,-19240286.715449188,-8636650.340494756,273666.60463793454,-9643685.624163505,-67917214.72402288,-39.03324238441018,-19.240286715449187,0.2736666046379345,-0.4498141391281492,-0.1710315615766027,-0.3861895829639962,-8.636650340494755,-9.643685624163504,-67.91721472402288
255,255,-113310.84828702678,-3527617.033737953,-273438.5229790495,-5242.929282367978,-1920036.121753157,-7045594.961232118,-501015.50825388794,-7437587.261780563,-12885240.417271674,-3.5276170337379527,-1.920036121753157,-0.501015508253888,-0.11331084828702678,-0.005242929282367978,-0.27343852297904947,-7.045594961232118,-7.437587261780563,-12.885240417271673
261,261,-117059.17776759356,-3223784.9981453894,-378643.4407177837,-52468.739541825504,-1704693.9771062352,-4601997.834202288,-2305098.1846053223,-5150169.192229491,-10078648.167481115,-3.223784998145389,-1.7046939771062353,-2.3050981846053222,-0.11705917776759356,-0.0524687395418255,-0.3786434407177837,-4.601997834202288,-5.150169192229491,-10.078648167481115
267,267,-181216.00052623375,-3576878.303255891,-590407.1118088925,-12562.03479726749,-1956982.6053067583,-10742678.877847726,20189.95223863587,-11526864.024980118,-17060724.933542766,-3.576878303255891,-1.9569826053067583,0.02018995223863587,-0.18121600052623374,-0.01256203479726749,-0.5904071118088925,-10.742678877847725,-11.526864024980119,-17.060724933542765
