mode,development,scenario_count,mean_tts_minutes,median_tts_minutes,std_tts_minutes,min_tts_minutes,max_tts_minutes,q1_tts_minutes,q3_tts_minutes,mean_tts_chf_yearly,median_tts_chf_yearly,std_tts_chf_yearly,n_positive,n_negative,iqr_tts_minutes
Road,866,10,-1717.1774160295056,-1315.0873539307504,1103.3740237534194,-3644.400961676846,-441.8548762349237,-2460.4886500478897,-979.2301792028885,-480273.0585457523,-367813.4943025068,308599.9222685345,0,10,1481.2584708450013
Road,270,10,-1691.2533337255736,-1329.243007911602,1012.8157691853818,-3451.910411776509,-498.71987836583867,-2378.895079029753,-1016.3322895956226,-473022.41677637136,-371772.65377527615,283271.9104440365,0,10,1362.5627894341305
Road,602,10,-997.2061125085777,-1334.974994662116,704.6913678888594,-1508.2893027618993,357.87969265063293,-1479.880601696772,-629.2989075402147,-278906.08459224284,-373375.8188195606,197093.36695641535,2,8,850.5816941565572
Road,255,10,-1791.3403647066384,-1344.3201623849745,1209.7127481694642,-3911.9276639225423,-412.0282322279527,-2602.3827745427843,-980.2933683842274,-501015.50825388794,-375989.5454170476,338341.5342536471,0,10,1622.0894061585568
Road,629,10,-1636.415595235137,-1449.8251814111718,629.2358115072595,-2683.5338363295887,-784.6762769709167,-2088.359816047683,-1231.3996786911885,-457684.9867923275,-405497.9804259371,175989.39103093665,0,10,856.9601373564947
Road,648,10,-1668.3191240702174,-1650.8616866789234,292.3402346403811,-2046.8516456387008,-1105.221967193589,-1909.427477626392,-1513.261073959613,-466608.00501338893,-461725.3779930114,81763.9093759816,0,10,396.16640366677893
Road,556,10,-2532.583833500862,-1793.2798383203915,1943.7143724750845,-5968.854994587833,-385.1030417178117,-3824.2038755082176,-1223.1457830953295,-708332.0409322723,-501557.95478023455,543632.6135516252,0,10,2601.058092412888
Road,594,10,-1636.4199996734794,-1823.4846776447957,287.92823918094376,-1856.2544542117391,-1072.870848582359,-1845.585204983916,-1483.2580499882897,-457686.21865867625,-510005.8707787788,80529.92939592022,0,10,362.3271549956262
Road,822,10,-2360.4929354208844,-1852.4332617704058,1419.684419259446,-4828.37777768285,-691.165237171721,-3322.9292379761464,-1413.7865911086556,-660200.3678755285,-518102.4279014104,397067.98601162626,0,10,1909.1426468674908
Road,810,10,-1945.681995401159,-2003.5665413104289,179.66796205386726,-2125.3893210435053,-1602.1900221246178,-2062.5641581720265,-1860.4067544678692,-544182.9330887616,-560372.5170227606,50250.88313694102,0,10,202.15740370415733
Road,308,10,-2034.0321564331039,-2043.600286364468,297.1302530177334,-2367.288382523926,-1406.5625209117716,-2281.751317100192,-1892.9287505847606,-568893.3687523839,-571569.4550925621,83103.61764089733,0,10,388.8225665154314
Road,546,10,-2931.178457836993,-2176.581772144331,2033.5781471318535,-6508.19326349441,-627.0331139159389,-4299.512547398306,-1567.3220986305678,-819813.9749262839,-608762.7143966176,568766.3880259403,0,10,2732.1904487677384
