development,scenario,total_veh_km,new_link_veh_km,rest_network_veh_km,status_quo_veh_km,delta_total_veh_km,delta_rest_network_veh_km
987,scenario_89,347094.0914225251,4.460465820618517,347089.6309567045,347030.8183515454,63.27307097974699,58.81260515912436
0,scenario_96,367570.6562515912,2045.1560965719345,365525.5001550193,368308.10862877563,-737.4523771844106,-2782.6084737563506
2,scenario_96,377264.43777431105,4763.452557248777,372500.9852170623,368308.10862877563,8956.32914553542,4192.876588286657
9,scenario_96,348201.90766457864,0.0,348201.90766457864,368308.10862877563,-20106.200964196993,-20106.200964196993
12,scenario_96,371603.88951156184,3840.359131632433,367763.5303799294,368308.10862877563,3295.7808827862027,-544.5782488462282
15,scenario_96,367665.5638468103,1335.354061093284,366330.209785717,368308.10862877563,-642.54478196532,-1977.8988430586178
17,scenario_96,380016.5597670659,12167.970106251129,367848.5896608148,368308.10862877563,11708.451138290286,-459.51896796084475
25,scenario_96,375487.9332758213,1692.7138755400358,373795.2194002813,368308.10862877563,7179.824647045694,5487.110771505686
27,scenario_96,375250.7020170594,1911.7376986132979,373338.96431844606,368308.10862877563,6942.593388283742,5030.855689670425
28,scenario_96,381766.55421432765,16434.597096526406,365331.95711780124,368308.10862877563,13458.445585552021,-2976.1515109743923
57,scenario_96,368607.6864497434,1640.4442108257158,366967.2422389177,368308.10862877563,299.57782096776646,-1340.8663898579543
62,scenario_96,368541.91448056453,689.1519541740616,367852.7625263905,368308.10862877563,233.80585178890033,-455.3461023851414
63,scenario_96,378914.09450528305,5792.725308840424,373121.36919644265,368308.10862877563,10605.985876507417,4813.260567667021
73,scenario_96,371737.740708103,1152.1864292834546,370585.55427881953,368308.10862877563,3429.6320793273626,2277.4456500438973
90,scenario_96,369361.28400530585,1214.5515245844917,368146.7324807214,368308.10862877563,1053.1753765302128,-161.37614805425983
94,scenario_96,368300.43260052486,79.12981079646936,368221.3027897284,368308.10862877563,-7.676028250774834,-86.80583904724335
103,scenario_96,378175.07813800056,5574.9691089777525,372600.1090290228,368308.10862877563,9866.969509224931,4292.000400247169
104,scenario_96,368808.09311083076,588.7220028680605,368219.3711079627,368308.10862877563,499.9844820551225,-88.73752081295243
109,scenario_96,383527.8868362358,5877.514547159771,377650.37228907604,368308.10862877563,15219.778207460186,9342.263660300407
114,scenario_96,370208.1772534646,1349.102147252861,368859.0751062117,368308.10862877563,1900.0686246889527,550.9664774360717
126,scenario_96,378075.9136961917,4868.016506810403,373207.8971893813,368308.10862877563,9767.805067416048,4899.788560605666
140,scenario_96,368743.47928395006,330.00121784687525,368413.4780661032,368308.10862877563,435.37065517442534,105.36943732755026
143,scenario_96,368412.36782987503,62.99333683273171,368349.3744930423,368308.10862877563,104.25920109939761,41.26586426666472
144,scenario_96,374164.13297370484,1649.9856517484861,372514.14732195635,368308.10862877563,5856.024344929203,4206.038693180715
150,scenario_96,374626.6922369351,2518.6995628477175,372107.99267408735,368308.10862877563,6318.583608159446,3799.8840453117155
152,scenario_96,347492.67199637066,0.0,347492.67199637066,368308.10862877563,-20815.436632404977,-20815.436632404977
176,scenario_96,370110.2909974548,3910.9132695362346,366199.37772791856,368308.10862877563,1802.1823686791467,-2108.7309008570737
177,scenario_96,368369.43818878266,465.19018712396434,367904.2480016587,368308.10862877563,61.329560007026885,-403.8606271169265
189,scenario_96,94389.20286736176,4164.47063340331,90224.73223395845,368308.10862877563,-273918.90576141386,-278083.3763948172
195,scenario_96,374896.88160133857,3098.417612576912,371798.46398876165,368308.10862877563,6588.772972562932,3490.355359986017
197,scenario_96,369695.2327639362,1010.9200963878079,368684.3126675484,368308.10862877563,1387.1241351605859,376.2040387727902
201,scenario_96,378290.3065339652,5305.211138662265,372985.095395303,368308.10862877563,9982.19790518959,4676.986766527349
202,scenario_96,372263.90535833256,2475.435714128911,369788.46964420367,368308.10862877563,3955.796729556925,1480.3610154280323
206,scenario_96,369568.7130391824,1545.1511407711394,368023.56189841125,368308.10862877563,1260.6044104067842,-284.5467303643818
209,scenario_96,372118.3628419028,5160.404715803579,366957.95812609926,368308.10862877563,3810.254213127191,-1350.150502676377
227,scenario_96,369054.8759093486,1014.8015393789018,368040.0743699697,368308.10862877563,746.7672805729671,-268.03425880591385
233,scenario_96,369441.39134210226,1020.4287771744724,368420.96256492776,368308.10862877563,1133.2827133266255,112.85393615212524
240,scenario_96,369152.3892857127,1036.6418097049384,368115.74747600773,368308.10862877563,844.2806569370441,-192.36115276790224
243,scenario_96,379712.50875332404,10380.78046506922,369331.7282882548,368308.10862877563,11404.40012454841,1023.6196594791836
245,scenario_96,374924.6281155009,1610.0467498533383,373314.58136564755,368308.10862877563,6616.519486725272,5006.472736871918
249,scenario_96,378365.2459809682,5665.1146002887535,372700.13138067944,368308.10862877563,10057.137352192542,4392.022751903802
250,scenario_96,371030.0329362727,3141.1379940803895,367888.8949421923,368308.10862877563,2721.9243074970436,-419.21368658333085
254,scenario_96,343968.8547973705,0.0,343968.8547973705,368308.10862877563,-24339.253831405134,-24339.253831405134
255,scenario_96,370057.62286806345,1321.2639176327039,368736.35895043076,368308.10862877563,1749.5142392878188,428.25032165512675
261,scenario_96,371501.5258856141,1235.702676339194,370265.8232092749,368308.10862877563,3193.4172568384674,1957.714580499276
267,scenario_96,368955.247700054,1105.7363973830477,367849.511302671,368308.10862877563,647.1390712783905,-458.5973261046456
270,scenario_96,370281.236850494,1624.2972240918589,368656.93962640216,368308.10862877563,1973.1282217183616,348.83099762653
273,scenario_96,369429.88901124307,1222.519268390771,368207.3697428523,368308.10862877563,1121.7803824674338,-100.73888592334697
277,scenario_96,374143.6636224919,2815.8356573052265,371327.8279651867,368308.10862877563,5835.554993716243,3019.7193364110426
284,scenario_96,370075.8714158413,2026.4584780255075,368049.41293781577,368308.10862877563,1767.7627870656434,-258.6956909598666
285,scenario_96,378655.3904825033,6030.930552121085,372624.4599303822,368308.10862877563,10347.281853727647,4316.35130160657
289,scenario_96,378190.0195772491,5562.293103956384,372627.72647329274,368308.10862877563,9881.910948473494,4319.61784451711
308,scenario_96,373061.90644904313,5027.165229385247,368034.7412196579,368308.10862877563,4753.7978202675,-273.3674091177527
331,scenario_96,378501.66745841847,5170.8962087819955,373330.7712496365,368308.10862877563,10193.558829642832,5022.66262086085
334,scenario_96,367167.6015557476,3023.6386366673337,364143.9629190803,368308.10862877563,-1140.507073028013,-4164.145709695353
348,scenario_96,381308.9063878895,8578.889487311377,372730.01690057816,368308.10862877563,13000.797759113892,4421.908271802531
351,scenario_96,377927.0507534676,1313.6013807794332,376613.4493726882,368308.10862877563,9618.942124691966,8305.340743912559
356,scenario_96,373535.65150570765,1725.565760519294,371810.08574518835,368308.10862877563,5227.542876932013,3501.977116412716
358,scenario_96,377347.2529885255,4842.027081069554,372505.22590745596,368308.10862877563,9039.144359749858,4197.117278680322
390,scenario_96,372436.49391280086,1116.5449973996663,371319.9489154012,368308.10862877563,4128.385284025222,3011.840286625549
