development,scenario,veh_km,case_type
780,scenario_64,515193.12962583505,development
789,scenario_64,528493.8137237733,development
791,scenario_64,518299.6628838178,development
809,scenario_64,518556.58122323814,development
810,scenario_64,519810.03825324296,development
811,scenario_64,513066.73809820146,development
813,scenario_64,520684.5933746,development
822,scenario_64,514966.2352181449,development
831,scenario_64,515435.49211510277,development
837,scenario_64,514431.35367436457,development
858,scenario_64,519741.3673375666,development
863,scenario_64,518583.7258798317,development
866,scenario_64,515050.32278619334,development
873,scenario_64,526817.9814344088,development
878,scenario_64,517591.67802568845,development
887,scenario_64,517042.233085214,development
895,scenario_64,525717.7876297925,development
9,scenario_64,484682.82888755354,development
90,scenario_64,514162.8389428178,development
935,scenario_64,515560.8414338991,development
938,scenario_64,517467.0901876674,development
94,scenario_64,512664.4349179384,development
940,scenario_64,515558.92603819934,development
945,scenario_64,526777.3861722822,development
952,scenario_64,528236.1894142051,development
958,scenario_64,514527.78767357906,development
964,scenario_64,513168.1053018154,development
970,scenario_64,515974.81674028526,development
971,scenario_64,514143.17587118555,development
987,scenario_64,512748.9336621216,development
status_quo,scenario_64,512687.96968057886,status_quo
0,scenario_70,337905.8911925819,development
103,scenario_70,347640.7458492691,development
104,scenario_70,339038.7475760405,development
109,scenario_70,352548.4788819256,development
114,scenario_70,340323.60979843885,development
12,scenario_70,341602.28320204077,development
126,scenario_70,347548.9528499574,development
140,scenario_70,338980.46896885976,development
143,scenario_70,338679.4069238397,development
144,scenario_70,343954.782536057,development
15,scenario_70,337992.857676465,development
150,scenario_70,344378.584070592,development
152,scenario_70,319484.0011035743,development
17,scenario_70,349337.7435893129,development
176,scenario_70,340232.095550763,development
177,scenario_70,338639.0873516988,development
195,scenario_70,344625.43515551666,development
197,scenario_70,339856.58007754636,development
2,scenario_70,346806.11752609495,development
201,scenario_70,347746.35987422284,development
202,scenario_70,342213.5411353971,development
206,scenario_70,339741.38136720815,development
209,scenario_70,342080.06271430233,development
227,scenario_70,339267.07552861073,development
233,scenario_70,339621.9044930163,development
240,scenario_70,339356.40735727956,development
243,scenario_70,349041.35373460845,development
245,scenario_70,344655.9900233703,development
249,scenario_70,347815.40800200036,development
25,scenario_70,345169.3237446327,development
250,scenario_70,341075.91759962286,development
254,scenario_70,316241.89443186513,development
255,scenario_70,340184.7491031133,development
261,scenario_70,341512.8752900038,development
267,scenario_70,339168.46482943033,development
27,scenario_70,344953.26757893036,development
270,scenario_70,340389.86887948733,development
273,scenario_70,339611.04580131854,development
277,scenario_70,343939.7533125246,development
28,scenario_70,350939.90184293943,development
284,scenario_70,340206.37019380013,development
285,scenario_70,348081.3716635448,development
289,scenario_70,347653.8150552954,development
308,scenario_70,342940.58741556556,development
331,scenario_70,347940.9520743133,development
334,scenario_70,337534.24931515695,development
348,scenario_70,350509.99742716184,development
351,scenario_70,347392.61343552405,development
356,scenario_70,343380.93178688735,development
358,scenario_70,346881.8044674829,development
390,scenario_70,342370.47677267675,development
392,scenario_70,338727.3167863197,development
394,scenario_70,340584.987483296,development
423,scenario_70,338688.5765686757,development
459,scenario_70,344068.94868374424,development
464,scenario_70,338597.90169606515,development
469,scenario_70,344384.90543713456,development
486,scenario_70,348088.20709573483,development
493,scenario_70,338622.395271399,development
499,scenario_70,344138.0702721792,development
517,scenario_70,339374.3067138963,development
