development,scenario,veh_km,status_quo_veh_km,delta_veh_km,delta_pct
176,scenario_78,564824.8685305484,562067.9056858013,2756.9628447471187,0.49050351689859234
177,scenario_78,562149.2127510248,562067.9056858013,81.30706522346009,0.014465701457238361
195,scenario_78,572136.3932759623,562067.9056858013,10068.487590161036,1.7913293906856462
197,scenario_78,564192.351915322,562067.9056858013,2124.4462295207195,0.37796967377608914
2,scenario_78,575744.9038888387,562067.9056858013,13676.998203037423,2.4333355569109707
201,scenario_78,577313.7161597557,562067.9056858013,15245.810473954421,2.712449922817138
202,scenario_78,568115.2988177977,562067.9056858013,6047.393131996389,1.0759185982372939
206,scenario_78,564004.1421349673,562067.9056858013,1936.2364491659682,0.3444844349907311
209,scenario_78,567888.7882308285,562067.9056858013,5820.882545027183,1.035619092665484
227,scenario_78,563195.1672989441,562067.9056858013,1127.261613142793,0.20055612529012423
233,scenario_78,563811.086113078,562067.9056858013,1743.1804272767622,0.3101369798280581
240,scenario_78,563345.2217728911,562067.9056858013,1277.3160870898282,0.22725298387769077
243,scenario_78,579485.8508499786,562067.9056858013,17417.945164177334,3.0989040626550293
245,scenario_78,572156.9736273817,562067.9056858013,10089.067941580433,1.794990932504919
249,scenario_78,577428.6843730247,562067.9056858013,15360.778687223443,2.7329044287773643
25,scenario_78,573019.3543824798,562067.9056858013,10951.448696678504,1.9484209267056813
250,scenario_78,566209.315514951,562067.9056858013,4141.409829149721,0.7368166350107863
254,scenario_78,524921.4672820175,562067.9056858013,-37146.43840378383,-6.60888800588249
255,scenario_78,564747.8281264253,562067.9056858013,2679.922440623981,0.47679691608687413
261,scenario_78,566953.317429282,562067.9056858013,4885.411743480712,0.8691853233498235
267,scenario_78,563071.1892815921,562067.9056858013,1003.2835957908537,0.1784986450287902
27,scenario_78,572655.8413447383,562067.9056858013,10587.93565893697,1.883746706017347
270,scenario_78,565089.3477374676,562067.9056858013,3021.442051666323,0.5375581884505115
273,scenario_78,563765.3668654452,562067.9056858013,1697.4611796438694,0.3020028652183458
277,scenario_78,570982.795766895,562067.9056858013,8914.890081093763,1.5860877290647564
28,scenario_78,582610.8307800974,562067.9056858013,20542.925094296108,3.65488313538039
284,scenario_78,564775.2880430736,562067.9056858013,2707.3823572723195,0.4816824319419084
285,scenario_78,577871.4582999103,562067.9056858013,15803.552614109009,2.8116803066395453
289,scenario_78,577159.4922435805,562067.9056858013,15091.586557779228,2.685011260225824
308,scenario_78,569333.3428360843,562067.9056858013,7265.437150283018,1.2926262248363338
331,scenario_78,577635.3911809614,562067.9056858013,15567.485495160101,2.7696805559758118
334,scenario_78,560315.0364225273,562067.9056858013,-1752.869263274013,-0.31186076371595495
348,scenario_78,581922.2425772165,562067.9056858013,19854.33689141518,3.5323733468094245
351,scenario_78,576769.1450533407,562067.9056858013,14701.239367539412,2.6155628561644786
356,scenario_78,570054.3423055814,562067.9056858013,7986.436619780143,1.420902445948337
358,scenario_78,575871.2583521841,562067.9056858013,13803.352666382794,2.455815841244445
390,scenario_78,568375.2022856035,562067.9056858013,6307.296599802212,1.1221591797002588
392,scenario_78,562288.3375033784,562067.9056858013,220.43181757710408,0.03921800468364165
394,scenario_78,565389.4631083921,562067.9056858013,3321.5574225907912,0.5909530483755387
423,scenario_78,562237.7767364614,562067.9056858013,169.8710506601492,0.030222513853176296
