development,scenario,origin_access_savings,destination_access_savings,access_savings,network_savings,total_tts,positive_tts,monetized_savings_yearly,monetized_savings
565,scenario_19,-269.8550403840454,-269.85504038404906,-539.7100807680945,5223.476697165286,4683.766616396839,True,1531981.997446466,76599099.8723233
57,scenario_29,1168.2492272506752,1168.2492272506715,2336.4984545013467,2202.38649197435,4538.884946475737,True,1484593.617909772,74229680.8954886
206,scenario_19,245.5999108261385,245.59991082614212,491.19982165228066,3938.626507656416,4429.826329308329,True,1448922.361877933,72446118.09389663
569,scenario_30,239.1836194363532,239.1836194363532,478.3672388727064,3874.486919787014,4352.854158659698,True,1423746.0477282763,71187302.38641381
761,scenario_29,33.35173647842021,33.35173647842021,66.70347295684041,4138.087524895673,4204.790997852455,True,1375317.0555475736,68765852.77737868
837,scenario_19,262.2193210137048,262.2193210137048,524.4386420274096,3642.477412916021,4166.916054943344,True,1362928.792971052,68146439.6485526
673,scenario_29,71.53557175403694,71.5355717540333,143.07114350807024,3475.9851726593915,3619.056316167582,True,1183733.0034131466,59186650.17065733
90,scenario_19,227.68752537688488,227.6875253768885,455.3750507537734,3061.838907580357,3517.2139583341777,True,1150422.0655384706,57521103.27692353
770,scenario_30,94.368887750672,94.368887750672,188.737775501344,3282.1063770692563,3470.8441525705857,True,1135255.2749032958,56762763.74516479
767,scenario_29,149.60965479330844,149.60965479330116,299.2193095866096,3163.241618343047,3462.460927929613,True,1132513.261843644,56625663.09218221
209,scenario_30,-116.27833925118102,-116.27833925117376,-232.55667850235477,3484.3886961649405,3251.8320176625857,True,1063620.0557771374,53181002.78885687
540,scenario_29,326.1548337297645,326.15483372976087,652.3096674595254,2441.4945698480587,3093.804237307515,True,1011931.8026193328,50596590.13096665
858,scenario_19,-215.7534346541397,-215.75343465414332,-431.50686930828306,3438.4658711205702,3006.95900181192,True,983526.1735093154,49176308.67546577
104,scenario_19,102.77021383214014,102.77021383214378,205.54042766428392,2785.7519068196416,2991.2923344839364,True,978401.867737454,48920093.38687271
62,scenario_30,93.61738323108511,93.61738323108511,187.23476646217023,2437.367723808042,2624.602490270161,True,858463.7311925318,42923186.55962659
308,scenario_19,318.48626617026457,318.48626617026457,636.9725323405291,1896.280335373944,2533.252867714269,True,828584.7921482088,41429239.60741044
392,scenario_19,132.79802905649922,132.79802905650286,265.5960581130021,2025.296457041288,2290.8925151543226,True,749312.7601650596,37465638.00825298
206,scenario_30,245.59990999484216,245.5999099948458,491.19981998968797,1758.3824790030485,2249.582298992784,True,735800.876962223,36790043.848111145
837,scenario_30,262.21932010249657,262.21932010249657,524.4386402049931,1628.6705461835954,2153.109186388552,True,704246.1297145889,35212306.48572944
28,scenario_29,1069.272092998381,1069.272092998377,2138.5441859967577,7.769540538662113,2146.313726535416,True,702023.4480542924,35101172.40271462
177,scenario_19,-62.49788333762263,-62.49788333762263,-124.99576667524526,2269.241319398163,2144.245552722597,True,701346.9828696828,35067349.143484145
694,scenario_29,120.19846055314338,120.19846055313974,240.39692110628312,1833.8318055561977,2074.228726662579,True,678445.6460125518,33922282.30062759
569,scenario_29,239.18361902571635,239.1836190257054,478.36723805142174,1439.260137721314,1917.627375772805,True,627223.9541590216,31361197.70795108
90,scenario_30,227.68752454019705,227.6875245401934,455.37504908039045,1424.5610301773995,1879.9360792578664,True,614895.7592572605,30744787.962863024
863,scenario_30,-97.23011664401928,-97.23011664401928,-194.46023328803855,2042.7994234412909,1848.339190153172,True,604560.9434459334,30228047.17229667
780,scenario_30,307.5442300964751,307.5442300964787,615.0884601929538,1214.509627598105,1829.5980877911209,True,598431.0412150123,29921552.06075061
770,scenario_29,94.36888765617186,94.36888765616824,188.7377753123401,1631.6959263971075,1820.4337017093785,True,595433.5232674425,29771676.163372125
267,scenario_19,87.56864931133168,87.56864931133168,175.13729862266337,1573.1377514684573,1748.2750500910915,True,571831.6309672944,28591581.54836472
958,scenario_30,139.7654978339815,139.76549783398514,279.53099566796664,1458.0832870183513,1737.614282686263,True,568344.6716286319,28417233.581431597
594,scenario_19,-45.79855352947561,-45.79855352947561,-91.59710705895122,1813.3729161601516,1721.775809100829,True,563164.1708933961,28158208.544669807
104,scenario_30,102.77021307591347,102.77021307591347,205.54042615182695,1498.6810735741165,1704.2214997259434,True,557422.448868694,27871122.4434347
764,scenario_19,395.03617394877074,395.03617394877074,790.0723478975415,860.6851544904057,1650.7575023879765,True,539935.2664060672,26996763.32030336
550,scenario_30,311.9927409439406,311.9927409439369,623.9854818878775,904.3712155176328,1528.3566974054556,True,499900.0031097011,24995000.155485056
538,scenario_30,182.58317356204495,182.5831735620413,365.16634712408626,1135.0905477020424,1500.2568948261903,True,490709.0260160665,24535451.30080333
62,scenario_29,93.61738326363776,93.61738326363776,187.23476652727553,1234.9126647496596,1422.1474312769717,True,465160.7223135094,23258036.115675468
964,scenario_19,61.74329009494977,61.74329009494977,123.48658018989954,1271.998359336285,1395.484939526068,True,456439.8656366514,22821993.28183257
94,scenario_19,-9.110201827312268,-9.110201827308629,-18.220403654620895,1288.4541194923222,1270.2337158373557,True,415472.2778884684,20773613.89442342
12,scenario_30,75.48102396549803,75.48102396549439,150.9620479309924,995.2315952372736,1146.1936431683134,True,374900.8374529692,18745041.87264846
680,scenario_30,104.02891920346885,104.02891920346885,208.0578384069377,931.0401464439929,1139.0979848508723,True,372579.9658783061,18628998.293915305
